Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,cat7-clock3,dot,726.2119140625,556.06298828125,1,0
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,cat6-clock3,dot,726.2119140625,642.3357543945312,1,0
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,bear4-clock3,dot,726.2119140625,564.204345703125,1,0
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,boat3-clock3,dot,726.2119140625,629.5107421875,1,0
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,boat7-clock3,dot,726.2119140625,573.8109130859375,1,0
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,boat5-clock3,dot,726.2119140625,731.67724609375,0,1
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,oven3-clock3,dot,726.2119140625,692.6588134765625,1,0
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,oven1-clock3,dot,726.2119140625,692.450439453125,1,0
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,chair8-clock3,dot,726.2119140625,496.0477600097656,1,0
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,truck1-clock3,dot,726.2119140625,670.0817260742188,1,0
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,truck3-clock3,dot,726.2119140625,803.652587890625,0,1
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,bird2-clock3,dot,726.2119140625,663.3427734375,1,0
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,bird1-clock3,dot,726.2119140625,544.3409423828125,1,0
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,airplane7-clock3,dot,726.2119140625,554.8719482421875,1,0
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,bicycle8-clock3,dot,726.2119140625,616.783935546875,1,0
resnet50,chair7-clock3,chair7,clock3,chair7-airplane1,bicycle7-clock3,dot,726.2119140625,603.8541870117188,1,0
