Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,car5-cat1,dot,460.5760192871094,621.5964965820312,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,car9-cat1,dot,460.5760192871094,640.6260986328125,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,car8-cat1,dot,460.5760192871094,707.662353515625,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,dog2-cat1,dot,460.5760192871094,583.8628540039062,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,dog9-cat1,dot,460.5760192871094,612.9454345703125,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,dog6-cat1,dot,460.5760192871094,621.2974243164062,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,bear3-cat1,dot,460.5760192871094,639.2492065429688,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,boat6-cat1,dot,460.5760192871094,604.93310546875,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,boat10-cat1,dot,460.5760192871094,544.3909301757812,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,oven7-cat1,dot,460.5760192871094,707.44482421875,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,oven1-cat1,dot,460.5760192871094,673.9819946289062,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,chair10-cat1,dot,460.5760192871094,608.0069580078125,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,chair7-cat1,dot,460.5760192871094,558.6346435546875,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,truck1-cat1,dot,460.5760192871094,648.306396484375,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,truck3-cat1,dot,460.5760192871094,704.5035400390625,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,bird10-cat1,dot,460.5760192871094,601.6663818359375,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,bird3-cat1,dot,460.5760192871094,643.0870361328125,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,airplane3-cat1,dot,460.5760192871094,460.900146484375,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,airplane2-cat1,dot,460.5760192871094,606.6947021484375,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,bicycle4-cat1,dot,460.5760192871094,525.077392578125,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,bicycle5-cat1,dot,460.5760192871094,607.9512939453125,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,bicycle7-cat1,dot,460.5760192871094,549.9151611328125,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,bicycle6-cat1,dot,460.5760192871094,613.5167236328125,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,bottle5-cat1,dot,460.5760192871094,548.375,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,keyboard5-cat1,dot,460.5760192871094,565.2908935546875,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,keyboard3-cat1,dot,460.5760192871094,488.4757080078125,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,keyboard9-cat1,dot,460.5760192871094,585.6304931640625,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,clock3-cat1,dot,460.5760192871094,723.809326171875,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,clock8-cat1,dot,460.5760192871094,748.2841796875,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,clock10-cat1,dot,460.5760192871094,653.6455078125,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,knife3-cat1,dot,460.5760192871094,546.63623046875,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,elephant7-cat1,dot,460.5760192871094,596.1868896484375,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,elephant8-cat1,dot,460.5760192871094,556.3314208984375,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-airplane1,elephant2-cat1,dot,460.5760192871094,552.3441162109375,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,car5-cat1,dot,637.6201171875,621.5964965820312,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,car9-cat1,dot,637.6201171875,640.6260986328125,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,car8-cat1,dot,637.6201171875,707.662353515625,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,dog2-cat1,dot,637.6201171875,583.8628540039062,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,dog9-cat1,dot,637.6201171875,612.9454345703125,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,dog6-cat1,dot,637.6201171875,621.2974243164062,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,bear3-cat1,dot,637.6201171875,639.2492065429688,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,boat6-cat1,dot,637.6201171875,604.93310546875,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,boat10-cat1,dot,637.6201171875,544.3909301757812,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,oven7-cat1,dot,637.6201171875,707.44482421875,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,oven1-cat1,dot,637.6201171875,673.9819946289062,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,chair10-cat1,dot,637.6201171875,608.0069580078125,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,chair7-cat1,dot,637.6201171875,558.6346435546875,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,truck1-cat1,dot,637.6201171875,648.306396484375,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,truck3-cat1,dot,637.6201171875,704.5035400390625,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,bird10-cat1,dot,637.6201171875,601.6663818359375,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,bird3-cat1,dot,637.6201171875,643.0870361328125,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,airplane3-cat1,dot,637.6201171875,460.900146484375,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,airplane2-cat1,dot,637.6201171875,606.6947021484375,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,bicycle4-cat1,dot,637.6201171875,525.077392578125,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,bicycle5-cat1,dot,637.6201171875,607.9512939453125,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,bicycle7-cat1,dot,637.6201171875,549.9151611328125,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,bicycle6-cat1,dot,637.6201171875,613.5167236328125,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,bottle5-cat1,dot,637.6201171875,548.375,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,keyboard5-cat1,dot,637.6201171875,565.2908935546875,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,keyboard3-cat1,dot,637.6201171875,488.4757080078125,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,keyboard9-cat1,dot,637.6201171875,585.6304931640625,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,clock3-cat1,dot,637.6201171875,723.809326171875,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,clock8-cat1,dot,637.6201171875,748.2841796875,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,clock10-cat1,dot,637.6201171875,653.6455078125,0,1
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,knife3-cat1,dot,637.6201171875,546.63623046875,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,elephant7-cat1,dot,637.6201171875,596.1868896484375,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,elephant8-cat1,dot,637.6201171875,556.3314208984375,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-chair3,elephant2-cat1,dot,637.6201171875,552.3441162109375,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-bird2,car5-cat1,dot,649.9886474609375,621.5964965820312,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-bird2,car9-cat1,dot,649.9886474609375,640.6260986328125,1,0
resnet50,clock9-cat1,clock9,cat1,clock9-bird2,car8-cat1,dot,649.9886474609375,707.662353515625,0,1
