Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,cat9-bottle2,dot,566.926025390625,691.1358032226562,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,dog8-bottle2,dot,566.926025390625,744.6810913085938,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,dog2-bottle2,dot,566.926025390625,798.7738037109375,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,bear9-bottle2,dot,566.926025390625,892.7076416015625,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,boat2-bottle2,dot,566.926025390625,696.9454956054688,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,boat4-bottle2,dot,566.926025390625,685.18408203125,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,boat6-bottle2,dot,566.926025390625,616.7559814453125,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,oven4-bottle2,dot,566.926025390625,710.075927734375,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,truck4-bottle2,dot,566.926025390625,922.8795776367188,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,truck8-bottle2,dot,566.926025390625,684.642333984375,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,truck9-bottle2,dot,566.926025390625,763.4901733398438,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,bird3-bottle2,dot,566.926025390625,740.401611328125,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,airplane6-bottle2,dot,566.926025390625,584.197265625,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,keyboard4-bottle2,dot,566.926025390625,735.0820922851562,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,keyboard6-bottle2,dot,566.926025390625,639.0311279296875,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,clock7-bottle2,dot,566.926025390625,683.406982421875,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,knife9-bottle2,dot,566.926025390625,653.9678955078125,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,knife2-bottle2,dot,566.926025390625,755.6326904296875,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,elephant5-bottle2,dot,566.926025390625,820.505859375,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-bicycle1,elephant6-bottle2,dot,566.926025390625,808.8976440429688,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-cat3,cat9-bottle2,dot,465.1983642578125,691.1358032226562,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-cat3,dog8-bottle2,dot,465.1983642578125,744.6810913085938,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-cat3,dog2-bottle2,dot,465.1983642578125,798.7738037109375,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-cat3,bear9-bottle2,dot,465.1983642578125,892.7076416015625,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-cat3,boat2-bottle2,dot,465.1983642578125,696.9454956054688,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-cat3,boat4-bottle2,dot,465.1983642578125,685.18408203125,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-cat3,boat6-bottle2,dot,465.1983642578125,616.7559814453125,0,1
resnet50,dog4-bottle2,dog4,bottle2,dog4-cat3,oven4-bottle2,dot,465.1983642578125,710.075927734375,0,1
