Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,car8-chair1,dot,449.0045166015625,617.497802734375,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,car10-chair1,dot,449.0045166015625,550.8230590820312,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,car2-chair1,dot,449.0045166015625,621.1546020507812,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,dog4-chair1,dot,449.0045166015625,472.1213073730469,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,dog1-chair1,dot,449.0045166015625,517.7449340820312,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,bear6-chair1,dot,449.0045166015625,578.8089599609375,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,bear5-chair1,dot,449.0045166015625,481.1908874511719,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,boat7-chair1,dot,449.0045166015625,512.3091430664062,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,oven9-chair1,dot,449.0045166015625,555.1387329101562,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,oven4-chair1,dot,449.0045166015625,619.8344116210938,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,oven2-chair1,dot,449.0045166015625,596.3922119140625,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,oven8-chair1,dot,449.0045166015625,708.171630859375,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,truck2-chair1,dot,449.0045166015625,633.7525634765625,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,bird8-chair1,dot,449.0045166015625,556.454833984375,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,bird5-chair1,dot,449.0045166015625,513.5078735351562,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,bird10-chair1,dot,449.0045166015625,513.970458984375,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,bird9-chair1,dot,449.0045166015625,541.2258911132812,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,airplane8-chair1,dot,449.0045166015625,527.2532958984375,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,bicycle9-chair1,dot,449.0045166015625,449.6065979003906,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,bicycle1-chair1,dot,449.0045166015625,481.36102294921875,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,bottle5-chair1,dot,449.0045166015625,475.573974609375,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,clock4-chair1,dot,449.0045166015625,593.021240234375,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,knife10-chair1,dot,449.0045166015625,564.9003295898438,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,knife1-chair1,dot,449.0045166015625,485.1214599609375,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,knife9-chair1,dot,449.0045166015625,444.5422058105469,1,0
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,elephant1-chair1,dot,449.0045166015625,558.0712890625,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-bear2,elephant3-chair1,dot,449.0045166015625,567.34033203125,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-boat2,car8-chair1,dot,510.1802062988281,617.497802734375,0,1
resnet50,keyboard6-chair1,keyboard6,chair1,keyboard6-boat2,car10-chair1,dot,510.1802062988281,550.8230590820312,0,1
