Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,cat7-truck2,dot,692.7688598632812,748.7687377929688,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,dog5-truck2,dot,692.7688598632812,755.8842163085938,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,dog4-truck2,dot,692.7688598632812,675.55322265625,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,dog3-truck2,dot,692.7688598632812,714.233642578125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,dog10-truck2,dot,692.7688598632812,886.851806640625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,dog6-truck2,dot,692.7688598632812,760.04833984375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,boat8-truck2,dot,692.7688598632812,967.2257080078125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,boat7-truck2,dot,692.7688598632812,672.6697998046875,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,oven10-truck2,dot,692.7688598632812,827.807861328125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,chair4-truck2,dot,692.7688598632812,664.7630004882812,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,chair6-truck2,dot,692.7688598632812,878.1737060546875,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,bird6-truck2,dot,692.7688598632812,873.0999755859375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,bird7-truck2,dot,692.7688598632812,771.437255859375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,bird5-truck2,dot,692.7688598632812,749.8593139648438,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,airplane4-truck2,dot,692.7688598632812,706.5308227539062,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,bottle7-truck2,dot,692.7688598632812,845.1744384765625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,clock8-truck2,dot,692.7688598632812,669.3062744140625,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,clock10-truck2,dot,692.7688598632812,686.3427124023438,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,knife1-truck2,dot,692.7688598632812,576.6344604492188,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,knife2-truck2,dot,692.7688598632812,756.9618530273438,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-bottle1,elephant2-truck2,dot,692.7688598632812,759.703125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,cat7-truck2,dot,587.1660766601562,748.7687377929688,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,dog5-truck2,dot,587.1660766601562,755.8842163085938,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,dog4-truck2,dot,587.1660766601562,675.55322265625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,dog3-truck2,dot,587.1660766601562,714.233642578125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,dog10-truck2,dot,587.1660766601562,886.851806640625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,dog6-truck2,dot,587.1660766601562,760.04833984375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,boat8-truck2,dot,587.1660766601562,967.2257080078125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,boat7-truck2,dot,587.1660766601562,672.6697998046875,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,oven10-truck2,dot,587.1660766601562,827.807861328125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,chair4-truck2,dot,587.1660766601562,664.7630004882812,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,chair6-truck2,dot,587.1660766601562,878.1737060546875,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,bird6-truck2,dot,587.1660766601562,873.0999755859375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,bird7-truck2,dot,587.1660766601562,771.437255859375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,bird5-truck2,dot,587.1660766601562,749.8593139648438,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,airplane4-truck2,dot,587.1660766601562,706.5308227539062,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,bottle7-truck2,dot,587.1660766601562,845.1744384765625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,clock8-truck2,dot,587.1660766601562,669.3062744140625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,clock10-truck2,dot,587.1660766601562,686.3427124023438,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,knife1-truck2,dot,587.1660766601562,576.6344604492188,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,knife2-truck2,dot,587.1660766601562,756.9618530273438,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-chair3,elephant2-truck2,dot,587.1660766601562,759.703125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,cat7-truck2,dot,692.1969604492188,748.7687377929688,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,dog5-truck2,dot,692.1969604492188,755.8842163085938,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,dog4-truck2,dot,692.1969604492188,675.55322265625,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,dog3-truck2,dot,692.1969604492188,714.233642578125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,dog10-truck2,dot,692.1969604492188,886.851806640625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,dog6-truck2,dot,692.1969604492188,760.04833984375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,boat8-truck2,dot,692.1969604492188,967.2257080078125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,boat7-truck2,dot,692.1969604492188,672.6697998046875,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,oven10-truck2,dot,692.1969604492188,827.807861328125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,chair4-truck2,dot,692.1969604492188,664.7630004882812,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,chair6-truck2,dot,692.1969604492188,878.1737060546875,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,bird6-truck2,dot,692.1969604492188,873.0999755859375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,bird7-truck2,dot,692.1969604492188,771.437255859375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,bird5-truck2,dot,692.1969604492188,749.8593139648438,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,airplane4-truck2,dot,692.1969604492188,706.5308227539062,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,bottle7-truck2,dot,692.1969604492188,845.1744384765625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,clock8-truck2,dot,692.1969604492188,669.3062744140625,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,clock10-truck2,dot,692.1969604492188,686.3427124023438,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,knife1-truck2,dot,692.1969604492188,576.6344604492188,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,knife2-truck2,dot,692.1969604492188,756.9618530273438,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-car3,elephant2-truck2,dot,692.1969604492188,759.703125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,cat7-truck2,dot,696.9165649414062,748.7687377929688,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,dog5-truck2,dot,696.9165649414062,755.8842163085938,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,dog4-truck2,dot,696.9165649414062,675.55322265625,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,dog3-truck2,dot,696.9165649414062,714.233642578125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,dog10-truck2,dot,696.9165649414062,886.851806640625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,dog6-truck2,dot,696.9165649414062,760.04833984375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,boat8-truck2,dot,696.9165649414062,967.2257080078125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,boat7-truck2,dot,696.9165649414062,672.6697998046875,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,oven10-truck2,dot,696.9165649414062,827.807861328125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,chair4-truck2,dot,696.9165649414062,664.7630004882812,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,chair6-truck2,dot,696.9165649414062,878.1737060546875,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,bird6-truck2,dot,696.9165649414062,873.0999755859375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,bird7-truck2,dot,696.9165649414062,771.437255859375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,bird5-truck2,dot,696.9165649414062,749.8593139648438,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,airplane4-truck2,dot,696.9165649414062,706.5308227539062,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,bottle7-truck2,dot,696.9165649414062,845.1744384765625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,clock8-truck2,dot,696.9165649414062,669.3062744140625,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,clock10-truck2,dot,696.9165649414062,686.3427124023438,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,knife1-truck2,dot,696.9165649414062,576.6344604492188,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,knife2-truck2,dot,696.9165649414062,756.9618530273438,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-knife1,elephant2-truck2,dot,696.9165649414062,759.703125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,cat7-truck2,dot,596.1185302734375,748.7687377929688,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,dog5-truck2,dot,596.1185302734375,755.8842163085938,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,dog4-truck2,dot,596.1185302734375,675.55322265625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,dog3-truck2,dot,596.1185302734375,714.233642578125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,dog10-truck2,dot,596.1185302734375,886.851806640625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,dog6-truck2,dot,596.1185302734375,760.04833984375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,boat8-truck2,dot,596.1185302734375,967.2257080078125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,boat7-truck2,dot,596.1185302734375,672.6697998046875,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,oven10-truck2,dot,596.1185302734375,827.807861328125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,chair4-truck2,dot,596.1185302734375,664.7630004882812,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,chair6-truck2,dot,596.1185302734375,878.1737060546875,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,bird6-truck2,dot,596.1185302734375,873.0999755859375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,bird7-truck2,dot,596.1185302734375,771.437255859375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,bird5-truck2,dot,596.1185302734375,749.8593139648438,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,airplane4-truck2,dot,596.1185302734375,706.5308227539062,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,bottle7-truck2,dot,596.1185302734375,845.1744384765625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,clock8-truck2,dot,596.1185302734375,669.3062744140625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,clock10-truck2,dot,596.1185302734375,686.3427124023438,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,knife1-truck2,dot,596.1185302734375,576.6344604492188,1,0
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,knife2-truck2,dot,596.1185302734375,756.9618530273438,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-dog1,elephant2-truck2,dot,596.1185302734375,759.703125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-clock3,cat7-truck2,dot,652.179931640625,748.7687377929688,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-clock3,dog5-truck2,dot,652.179931640625,755.8842163085938,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-clock3,dog4-truck2,dot,652.179931640625,675.55322265625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-clock3,dog3-truck2,dot,652.179931640625,714.233642578125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-clock3,dog10-truck2,dot,652.179931640625,886.851806640625,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-clock3,dog6-truck2,dot,652.179931640625,760.04833984375,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-clock3,boat8-truck2,dot,652.179931640625,967.2257080078125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-clock3,boat7-truck2,dot,652.179931640625,672.6697998046875,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-clock3,oven10-truck2,dot,652.179931640625,827.807861328125,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-clock3,chair4-truck2,dot,652.179931640625,664.7630004882812,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-clock3,chair6-truck2,dot,652.179931640625,878.1737060546875,0,1
resnet50,keyboard7-truck2,keyboard7,truck2,keyboard7-clock3,bird6-truck2,dot,652.179931640625,873.0999755859375,0,1
