Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,cat7-boat3,dot,716.876220703125,670.2283935546875,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,car8-boat3,dot,716.876220703125,661.4143676757812,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,car7-boat3,dot,716.876220703125,623.9031982421875,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,dog8-boat3,dot,716.876220703125,603.4237060546875,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,dog5-boat3,dot,716.876220703125,662.8814086914062,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,dog1-boat3,dot,716.876220703125,715.16943359375,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,bear6-boat3,dot,716.876220703125,726.6593017578125,0,1
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,oven1-boat3,dot,716.876220703125,605.0462036132812,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,oven3-boat3,dot,716.876220703125,629.1446533203125,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,oven2-boat3,dot,716.876220703125,623.8951416015625,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,chair5-boat3,dot,716.876220703125,713.7371826171875,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,chair7-boat3,dot,716.876220703125,731.6734619140625,0,1
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,truck9-boat3,dot,716.876220703125,652.3723754882812,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,truck2-boat3,dot,716.876220703125,711.9652099609375,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,bird3-boat3,dot,716.876220703125,613.4090576171875,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,bird8-boat3,dot,716.876220703125,764.9877319335938,0,1
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,airplane10-boat3,dot,716.876220703125,699.8895874023438,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,airplane5-boat3,dot,716.876220703125,615.4222412109375,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,airplane4-boat3,dot,716.876220703125,588.1577758789062,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,bicycle10-boat3,dot,716.876220703125,525.9759521484375,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,bicycle1-boat3,dot,716.876220703125,618.5611572265625,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,bottle3-boat3,dot,716.876220703125,553.6259765625,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,bottle7-boat3,dot,716.876220703125,559.6009521484375,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,bottle10-boat3,dot,716.876220703125,608.7977294921875,1,0
resnet50,truck4-boat3,truck4,boat3,truck4-bottle2,bottle6-boat3,dot,716.876220703125,547.19189453125,1,0
