Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,cat4-knife1,dot,767.1224365234375,659.9052734375,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,car9-knife1,dot,767.1224365234375,651.2955322265625,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,car6-knife1,dot,767.1224365234375,696.697998046875,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,bear4-knife1,dot,767.1224365234375,619.56884765625,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,boat8-knife1,dot,767.1224365234375,671.3206787109375,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,oven3-knife1,dot,767.1224365234375,746.35986328125,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,chair3-knife1,dot,767.1224365234375,679.8088989257812,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,chair2-knife1,dot,767.1224365234375,658.3499755859375,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,truck1-knife1,dot,767.1224365234375,710.3260498046875,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,bird2-knife1,dot,767.1224365234375,684.5307006835938,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,airplane5-knife1,dot,767.1224365234375,610.8226318359375,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,airplane6-knife1,dot,767.1224365234375,616.302001953125,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,airplane4-knife1,dot,767.1224365234375,693.2801513671875,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,bottle8-knife1,dot,767.1224365234375,614.5001220703125,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,bottle5-knife1,dot,767.1224365234375,582.6098022460938,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,keyboard7-knife1,dot,767.1224365234375,688.5177001953125,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,keyboard2-knife1,dot,767.1224365234375,679.2022705078125,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,clock4-knife1,dot,767.1224365234375,763.4365844726562,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,clock2-knife1,dot,767.1224365234375,571.4925537109375,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,clock8-knife1,dot,767.1224365234375,604.6079711914062,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-bottle2,elephant3-knife1,dot,767.1224365234375,769.9564208984375,0,1
resnet50,truck4-knife1,truck4,knife1,truck4-boat3,cat4-knife1,dot,639.08056640625,659.9052734375,0,1
resnet50,truck4-knife1,truck4,knife1,truck4-boat3,car9-knife1,dot,639.08056640625,651.2955322265625,0,1
resnet50,truck4-knife1,truck4,knife1,truck4-boat3,car6-knife1,dot,639.08056640625,696.697998046875,0,1
resnet50,truck4-knife1,truck4,knife1,truck4-boat3,bear4-knife1,dot,639.08056640625,619.56884765625,1,0
resnet50,truck4-knife1,truck4,knife1,truck4-boat3,boat8-knife1,dot,639.08056640625,671.3206787109375,0,1
