Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,cat2-car3,dot,1871706.25,2047268.75,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,dog10-car3,dot,1871706.25,2046661.5,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,dog5-car3,dot,1871706.25,2003262.5,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,bear4-car3,dot,1871706.25,1987962.5,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,boat3-car3,dot,1871706.25,2022459.75,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,boat4-car3,dot,1871706.25,1891895.375,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,boat5-car3,dot,1871706.25,1833839.75,1,0
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,oven7-car3,dot,1871706.25,2001348.25,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,chair3-car3,dot,1871706.25,2026486.5,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,truck10-car3,dot,1871706.25,2008696.5,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,truck1-car3,dot,1871706.25,2042791.375,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,truck3-car3,dot,1871706.25,1978258.625,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,truck2-car3,dot,1871706.25,2086553.625,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,bird6-car3,dot,1871706.25,1971703.25,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,bird2-car3,dot,1871706.25,2055988.75,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,bicycle5-car3,dot,1871706.25,1936735.875,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,bottle9-car3,dot,1871706.25,1969934.375,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,bottle4-car3,dot,1871706.25,1960234.75,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,keyboard1-car3,dot,1871706.25,2011381.125,0,1
resnet50_random,airplane10-car3,airplane10,car3,airplane10-boat3,keyboard7-car3,dot,1871706.25,2127175.25,0,1
