Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,cat9-truck1,dot,1609624.25,2172592.0,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,car3-truck1,dot,1609624.25,2286581.0,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,bear10-truck1,dot,1609624.25,2381239.0,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,bear7-truck1,dot,1609624.25,2372062.25,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,boat10-truck1,dot,1609624.25,2168631.75,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,oven3-truck1,dot,1609624.25,2452336.5,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,oven6-truck1,dot,1609624.25,2414165.0,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,airplane9-truck1,dot,1609624.25,2129342.75,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,airplane10-truck1,dot,1609624.25,2038537.25,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,airplane7-truck1,dot,1609624.25,2077937.25,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,bicycle1-truck1,dot,1609624.25,2173627.25,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,bicycle8-truck1,dot,1609624.25,2156550.0,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,bottle5-truck1,dot,1609624.25,2150241.5,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,bottle4-truck1,dot,1609624.25,2148611.25,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,bottle9-truck1,dot,1609624.25,2109160.0,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,keyboard10-truck1,dot,1609624.25,2152037.0,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,knife6-truck1,dot,1609624.25,1873047.25,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,elephant5-truck1,dot,1609624.25,2205104.5,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird1-oven1,elephant3-truck1,dot,1609624.25,2364121.5,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird10-cat1,cat9-truck1,dot,1377787.75,2172592.0,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird10-cat1,car3-truck1,dot,1377787.75,2286581.0,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird10-cat1,bear10-truck1,dot,1377787.75,2381239.0,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird10-cat1,bear7-truck1,dot,1377787.75,2372062.25,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird10-cat1,boat10-truck1,dot,1377787.75,2168631.75,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird10-cat1,oven3-truck1,dot,1377787.75,2452336.5,0,1
resnet50_random,bird1-truck1,bird1,truck1,bird10-cat1,oven6-truck1,dot,1377787.75,2414165.0,0,1
