Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,cat9-dog2,dot,1002355.125,590069.5,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,car3-dog2,dot,1002355.125,602599.875,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,car1-dog2,dot,1002355.125,598834.5,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,boat9-dog2,dot,1002355.125,600933.375,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,boat4-dog2,dot,1002355.125,549884.75,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,oven7-dog2,dot,1002355.125,586834.375,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,chair9-dog2,dot,1002355.125,595510.4375,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,chair3-dog2,dot,1002355.125,597618.25,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,truck6-dog2,dot,1002355.125,581137.875,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,bird9-dog2,dot,1002355.125,581429.75,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,bird5-dog2,dot,1002355.125,583839.125,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,airplane4-dog2,dot,1002355.125,563175.25,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,bicycle5-dog2,dot,1002355.125,566987.875,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,bicycle6-dog2,dot,1002355.125,592780.5,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,bottle1-dog2,dot,1002355.125,573590.125,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,bottle8-dog2,dot,1002355.125,596598.0,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,bottle4-dog2,dot,1002355.125,596743.0625,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,keyboard6-dog2,dot,1002355.125,566311.625,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,clock3-dog2,dot,1002355.125,566313.25,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,clock1-dog2,dot,1002355.125,562696.125,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,clock7-dog2,dot,1002355.125,571595.875,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,knife6-dog2,dot,1002355.125,535517.5625,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,elephant6-dog2,dot,1002355.125,577678.625,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-clock3,elephant1-dog2,dot,1002355.125,625744.25,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,cat9-dog2,dot,1081388.75,590069.5,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,car3-dog2,dot,1081388.75,602599.875,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,car1-dog2,dot,1081388.75,598834.5,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,boat9-dog2,dot,1081388.75,600933.375,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,boat4-dog2,dot,1081388.75,549884.75,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,oven7-dog2,dot,1081388.75,586834.375,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,chair9-dog2,dot,1081388.75,595510.4375,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,chair3-dog2,dot,1081388.75,597618.25,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,truck6-dog2,dot,1081388.75,581137.875,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,bird9-dog2,dot,1081388.75,581429.75,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,bird5-dog2,dot,1081388.75,583839.125,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,airplane4-dog2,dot,1081388.75,563175.25,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,bicycle5-dog2,dot,1081388.75,566987.875,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,bicycle6-dog2,dot,1081388.75,592780.5,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,bottle1-dog2,dot,1081388.75,573590.125,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,bottle8-dog2,dot,1081388.75,596598.0,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,bottle4-dog2,dot,1081388.75,596743.0625,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,keyboard6-dog2,dot,1081388.75,566311.625,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,clock3-dog2,dot,1081388.75,566313.25,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,clock1-dog2,dot,1081388.75,562696.125,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,clock7-dog2,dot,1081388.75,571595.875,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,knife6-dog2,dot,1081388.75,535517.5625,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,elephant6-dog2,dot,1081388.75,577678.625,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-knife1,elephant1-dog2,dot,1081388.75,625744.25,1,0
resnet50_random,bird2-dog2,bird2,dog2,bird2-car3,cat9-dog2,dot,1161368.75,590069.5,1,0
