Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,car5-bear3,dot,1744002.25,1630392.5,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,car4-bear3,dot,1744002.25,1647108.375,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,dog3-bear3,dot,1744002.25,1495247.25,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,dog8-bear3,dot,1744002.25,1346431.5,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,dog5-bear3,dot,1744002.25,1560064.0,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,dog9-bear3,dot,1744002.25,1311283.875,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,boat2-bear3,dot,1744002.25,1245181.625,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,boat10-bear3,dot,1744002.25,1470659.0,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,oven2-bear3,dot,1744002.25,1718861.25,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,truck3-bear3,dot,1744002.25,1444432.0,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,bird3-bear3,dot,1744002.25,1197914.625,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,bird5-bear3,dot,1744002.25,1322776.125,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,bird9-bear3,dot,1744002.25,1407600.0,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,airplane10-bear3,dot,1744002.25,1424280.25,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,airplane4-bear3,dot,1744002.25,1344945.125,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,airplane6-bear3,dot,1744002.25,1304658.25,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,keyboard5-bear3,dot,1744002.25,1604438.5,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,clock3-bear3,dot,1744002.25,1478937.75,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,knife10-bear3,dot,1744002.25,1279393.25,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,knife9-bear3,dot,1744002.25,1074204.5,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,elephant7-bear3,dot,1744002.25,1559504.375,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-airplane2,elephant2-bear3,dot,1744002.25,1550453.75,1,0
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,car5-bear3,dot,916617.25,1630392.5,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,car4-bear3,dot,916617.25,1647108.375,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,dog3-bear3,dot,916617.25,1495247.25,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,dog8-bear3,dot,916617.25,1346431.5,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,dog5-bear3,dot,916617.25,1560064.0,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,dog9-bear3,dot,916617.25,1311283.875,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,boat2-bear3,dot,916617.25,1245181.625,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,boat10-bear3,dot,916617.25,1470659.0,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,oven2-bear3,dot,916617.25,1718861.25,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,truck3-bear3,dot,916617.25,1444432.0,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,bird3-bear3,dot,916617.25,1197914.625,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,bird5-bear3,dot,916617.25,1322776.125,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,bird9-bear3,dot,916617.25,1407600.0,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,airplane10-bear3,dot,916617.25,1424280.25,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,airplane4-bear3,dot,916617.25,1344945.125,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,airplane6-bear3,dot,916617.25,1304658.25,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,keyboard5-bear3,dot,916617.25,1604438.5,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,clock3-bear3,dot,916617.25,1478937.75,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,knife10-bear3,dot,916617.25,1279393.25,0,1
resnet50_random,boat9-bear3,boat9,bear3,boat9-dog2,knife9-bear3,dot,916617.25,1074204.5,0,1
