Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,cat8-car2,dot,1476136.75,1645563.625,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,cat4-car2,dot,1476136.75,1698153.75,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,cat5-car2,dot,1476136.75,1713150.5,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,cat1-car2,dot,1476136.75,1809399.0,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,dog1-car2,dot,1476136.75,1615109.375,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,dog7-car2,dot,1476136.75,1812474.625,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,bear3-car2,dot,1476136.75,1898104.875,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,bear2-car2,dot,1476136.75,1835856.625,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,bear10-car2,dot,1476136.75,1827000.125,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,bear6-car2,dot,1476136.75,1675729.875,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,boat1-car2,dot,1476136.75,1603137.5,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,oven3-car2,dot,1476136.75,1862486.375,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,oven9-car2,dot,1476136.75,1915685.5,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,chair10-car2,dot,1476136.75,1706896.25,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,chair7-car2,dot,1476136.75,1865014.0,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,bird7-car2,dot,1476136.75,1585429.0,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,bird8-car2,dot,1476136.75,1680673.0,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,bird5-car2,dot,1476136.75,1711110.125,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,airplane9-car2,dot,1476136.75,1708762.0,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,bicycle2-car2,dot,1476136.75,1661163.5,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,bicycle4-car2,dot,1476136.75,1797339.125,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,bicycle6-car2,dot,1476136.75,1720908.375,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,keyboard6-car2,dot,1476136.75,1704022.125,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,keyboard3-car2,dot,1476136.75,1598313.125,0,1
resnet50_random,bottle2-car2,bottle2,car2,bottle2-chair3,clock3-car2,dot,1476136.75,1700139.875,0,1
