Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,car6-chair3,car6,chair3,car6-truck3,cat5-chair3,dot,1543528.5,1259403.5,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,cat6-chair3,dot,1543528.5,1315992.5,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,car1-chair3,dot,1543528.5,1396528.25,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,dog8-chair3,dot,1543528.5,1299186.0,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,boat3-chair3,dot,1543528.5,1365881.25,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,boat1-chair3,dot,1543528.5,1290446.875,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,oven6-chair3,dot,1543528.5,1351527.5,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,truck9-chair3,dot,1543528.5,1381576.25,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,airplane5-chair3,dot,1543528.5,1370234.125,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,airplane6-chair3,dot,1543528.5,1262024.875,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,airplane3-chair3,dot,1543528.5,1217951.5,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,bottle3-chair3,dot,1543528.5,1284890.25,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,bottle2-chair3,dot,1543528.5,1325874.75,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,keyboard7-chair3,dot,1543528.5,1345007.5,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,clock6-chair3,dot,1543528.5,1335165.0,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,clock9-chair3,dot,1543528.5,1315058.5,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,clock5-chair3,dot,1543528.5,1280575.0,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,knife6-chair3,dot,1543528.5,1242422.5,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,elephant4-chair3,dot,1543528.5,1350228.25,1,0
resnet50_random,car6-chair3,car6,chair3,car6-truck3,elephant5-chair3,dot,1543528.5,1266960.625,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,cat5-chair3,dot,1860363.0,1259403.5,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,cat6-chair3,dot,1860363.0,1315992.5,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,car1-chair3,dot,1860363.0,1396528.25,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,dog8-chair3,dot,1860363.0,1299186.0,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,boat3-chair3,dot,1860363.0,1365881.25,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,boat1-chair3,dot,1860363.0,1290446.875,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,oven6-chair3,dot,1860363.0,1351527.5,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,truck9-chair3,dot,1860363.0,1381576.25,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,airplane5-chair3,dot,1860363.0,1370234.125,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,airplane6-chair3,dot,1860363.0,1262024.875,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,airplane3-chair3,dot,1860363.0,1217951.5,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,bottle3-chair3,dot,1860363.0,1284890.25,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,bottle2-chair3,dot,1860363.0,1325874.75,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,keyboard7-chair3,dot,1860363.0,1345007.5,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,clock6-chair3,dot,1860363.0,1335165.0,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,clock9-chair3,dot,1860363.0,1315058.5,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,clock5-chair3,dot,1860363.0,1280575.0,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,knife6-chair3,dot,1860363.0,1242422.5,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,elephant4-chair3,dot,1860363.0,1350228.25,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bottle1,elephant5-chair3,dot,1860363.0,1266960.625,1,0
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,cat5-chair3,dot,1129556.625,1259403.5,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,cat6-chair3,dot,1129556.625,1315992.5,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,car1-chair3,dot,1129556.625,1396528.25,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,dog8-chair3,dot,1129556.625,1299186.0,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,boat3-chair3,dot,1129556.625,1365881.25,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,boat1-chair3,dot,1129556.625,1290446.875,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,oven6-chair3,dot,1129556.625,1351527.5,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,truck9-chair3,dot,1129556.625,1381576.25,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,airplane5-chair3,dot,1129556.625,1370234.125,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,airplane6-chair3,dot,1129556.625,1262024.875,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,airplane3-chair3,dot,1129556.625,1217951.5,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,bottle3-chair3,dot,1129556.625,1284890.25,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,bottle2-chair3,dot,1129556.625,1325874.75,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,keyboard7-chair3,dot,1129556.625,1345007.5,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,clock6-chair3,dot,1129556.625,1335165.0,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,clock9-chair3,dot,1129556.625,1315058.5,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,clock5-chair3,dot,1129556.625,1280575.0,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,knife6-chair3,dot,1129556.625,1242422.5,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,elephant4-chair3,dot,1129556.625,1350228.25,0,1
resnet50_random,car6-chair3,car6,chair3,car6-elephant3,elephant5-chair3,dot,1129556.625,1266960.625,0,1
resnet50_random,car6-chair3,car6,chair3,car6-bear1,cat5-chair3,dot,1244962.25,1259403.5,0,1
resnet50_random,car6-chair3,car6,chair3,car6-bear1,cat6-chair3,dot,1244962.25,1315992.5,0,1
resnet50_random,car6-chair3,car6,chair3,car6-bear1,car1-chair3,dot,1244962.25,1396528.25,0,1
resnet50_random,car6-chair3,car6,chair3,car6-bear1,dog8-chair3,dot,1244962.25,1299186.0,0,1
resnet50_random,car6-chair3,car6,chair3,car6-bear1,boat3-chair3,dot,1244962.25,1365881.25,0,1
resnet50_random,car6-chair3,car6,chair3,car6-bear1,boat1-chair3,dot,1244962.25,1290446.875,0,1
resnet50_random,car6-chair3,car6,chair3,car6-bear1,oven6-chair3,dot,1244962.25,1351527.5,0,1
resnet50_random,car6-chair3,car6,chair3,car6-bear1,truck9-chair3,dot,1244962.25,1381576.25,0,1
resnet50_random,car6-chair3,car6,chair3,car6-bear1,airplane5-chair3,dot,1244962.25,1370234.125,0,1
resnet50_random,car6-chair3,car6,chair3,car6-bear1,airplane6-chair3,dot,1244962.25,1262024.875,0,1
resnet50_random,car6-chair3,car6,chair3,car6-bear1,airplane3-chair3,dot,1244962.25,1217951.5,1,0
resnet50_random,car6-chair3,car6,chair3,car6-bear1,bottle3-chair3,dot,1244962.25,1284890.25,0,1
resnet50_random,car6-chair3,car6,chair3,car6-bear1,bottle2-chair3,dot,1244962.25,1325874.75,0,1
resnet50_random,car6-chair3,car6,chair3,car6-bear1,keyboard7-chair3,dot,1244962.25,1345007.5,0,1
resnet50_random,car6-chair3,car6,chair3,car6-bear1,clock6-chair3,dot,1244962.25,1335165.0,0,1
