Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,car8-bear1,car8,bear1,car8-dog1,cat6-bear1,dot,1147662.5,1163566.75,0,1
resnet50_random,car8-bear1,car8,bear1,car8-dog1,cat10-bear1,dot,1147662.5,1181463.0,0,1
resnet50_random,car8-bear1,car8,bear1,car8-dog1,cat8-bear1,dot,1147662.5,1121104.5,1,0
resnet50_random,car8-bear1,car8,bear1,car8-dog1,car7-bear1,dot,1147662.5,1137555.0,1,0
resnet50_random,car8-bear1,car8,bear1,car8-dog1,car6-bear1,dot,1147662.5,1170636.0,0,1
resnet50_random,car8-bear1,car8,bear1,car8-dog1,dog1-bear1,dot,1147662.5,1075375.0,1,0
resnet50_random,car8-bear1,car8,bear1,car8-dog1,boat6-bear1,dot,1147662.5,1080026.0,1,0
resnet50_random,car8-bear1,car8,bear1,car8-dog1,boat1-bear1,dot,1147662.5,1056658.875,1,0
resnet50_random,car8-bear1,car8,bear1,car8-dog1,oven10-bear1,dot,1147662.5,1277378.125,0,1
resnet50_random,car8-bear1,car8,bear1,car8-dog1,chair9-bear1,dot,1147662.5,1125953.0,1,0
resnet50_random,car8-bear1,car8,bear1,car8-dog1,chair8-bear1,dot,1147662.5,1083516.5,1,0
resnet50_random,car8-bear1,car8,bear1,car8-dog1,chair1-bear1,dot,1147662.5,1102669.0,1,0
resnet50_random,car8-bear1,car8,bear1,car8-dog1,truck4-bear1,dot,1147662.5,1274034.5,0,1
resnet50_random,car8-bear1,car8,bear1,car8-dog1,truck1-bear1,dot,1147662.5,1110964.875,1,0
resnet50_random,car8-bear1,car8,bear1,car8-dog1,bird1-bear1,dot,1147662.5,1030615.0,1,0
resnet50_random,car8-bear1,car8,bear1,car8-dog1,airplane2-bear1,dot,1147662.5,1063959.625,1,0
resnet50_random,car8-bear1,car8,bear1,car8-dog1,bicycle9-bear1,dot,1147662.5,1133528.375,1,0
resnet50_random,car8-bear1,car8,bear1,car8-dog1,bicycle5-bear1,dot,1147662.5,1097799.375,1,0
resnet50_random,car8-bear1,car8,bear1,car8-dog1,bicycle1-bear1,dot,1147662.5,1145221.5,1,0
