Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,cat4-airplane1,dot,1332305.0,1958624.75,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,car1-airplane1,dot,1332305.0,1779024.75,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,dog10-airplane1,dot,1332305.0,2007038.25,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,bear3-airplane1,dot,1332305.0,1897038.0,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,bear8-airplane1,dot,1332305.0,1891951.25,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,bear2-airplane1,dot,1332305.0,1911720.5,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,boat2-airplane1,dot,1332305.0,1902878.25,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,boat5-airplane1,dot,1332305.0,1815074.5,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,oven3-airplane1,dot,1332305.0,1916237.625,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,oven5-airplane1,dot,1332305.0,2035493.75,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,chair7-airplane1,dot,1332305.0,1921487.0,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,chair8-airplane1,dot,1332305.0,1906089.25,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,truck10-airplane1,dot,1332305.0,1922776.0,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,bird4-airplane1,dot,1332305.0,1998796.125,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,bicycle4-airplane1,dot,1332305.0,2006575.75,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,bottle4-airplane1,dot,1332305.0,1934121.375,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,bottle6-airplane1,dot,1332305.0,1906354.0,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,bottle5-airplane1,dot,1332305.0,1959984.25,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,clock4-airplane1,dot,1332305.0,1850196.5,0,1
resnet50_random,cat1-airplane1,cat1,airplane1,cat10-elephant3,clock9-airplane1,dot,1332305.0,1919647.0,0,1
