Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,cat10-bird2,dot,1270651.75,1173820.125,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,cat8-bird2,dot,1270651.75,1134368.75,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,car3-bird2,dot,1270651.75,1207187.5,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,dog3-bird2,dot,1270651.75,1197387.625,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,bear6-bird2,dot,1270651.75,1186130.75,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,bear1-bird2,dot,1270651.75,1104414.75,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,boat8-bird2,dot,1270651.75,1162377.875,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,oven2-bird2,dot,1270651.75,1195581.25,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,chair6-bird2,dot,1270651.75,1139260.0,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,truck3-bird2,dot,1270651.75,1168608.75,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,truck5-bird2,dot,1270651.75,1179967.125,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,truck2-bird2,dot,1270651.75,1190504.125,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,truck7-bird2,dot,1270651.75,1137829.625,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,airplane5-bird2,dot,1270651.75,1232614.125,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,bicycle8-bird2,dot,1270651.75,1210115.625,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,keyboard1-bird2,dot,1270651.75,1199644.375,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,clock9-bird2,dot,1270651.75,1210797.875,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,knife1-bird2,dot,1270651.75,1050021.0,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-truck3,elephant8-bird2,dot,1270651.75,1169823.0,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-oven1,cat10-bird2,dot,1322816.375,1173820.125,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-oven1,cat8-bird2,dot,1322816.375,1134368.75,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-oven1,car3-bird2,dot,1322816.375,1207187.5,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-oven1,dog3-bird2,dot,1322816.375,1197387.625,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-oven1,bear6-bird2,dot,1322816.375,1186130.75,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-oven1,bear1-bird2,dot,1322816.375,1104414.75,1,0
resnet50_random,cat4-bird2,cat4,bird2,cat4-oven1,boat8-bird2,dot,1322816.375,1162377.875,1,0
