Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,cat8-bicycle3,dot,2105985.5,1818197.75,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,car4-bicycle3,dot,2105985.5,1841949.125,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,car6-bicycle3,dot,2105985.5,1828177.75,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,dog9-bicycle3,dot,2105985.5,1662473.0,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,bear5-bicycle3,dot,2105985.5,1858176.75,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,bear8-bicycle3,dot,2105985.5,1818206.75,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,bear1-bicycle3,dot,2105985.5,1770782.875,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,boat4-bicycle3,dot,2105985.5,1765197.5,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,boat5-bicycle3,dot,2105985.5,1759829.5,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,chair8-bicycle3,dot,2105985.5,1783382.25,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,chair9-bicycle3,dot,2105985.5,1821046.5,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,chair3-bicycle3,dot,2105985.5,1815777.0,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,truck1-bicycle3,dot,2105985.5,1780975.25,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,bird9-bicycle3,dot,2105985.5,1764269.875,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,airplane8-bicycle3,dot,2105985.5,1732255.75,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,bottle6-bicycle3,dot,2105985.5,1809479.0,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,bottle3-bicycle3,dot,2105985.5,1778448.625,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,keyboard2-bicycle3,dot,2105985.5,1825322.5,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,knife2-bicycle3,dot,2105985.5,1720950.25,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,elephant8-bicycle3,dot,2105985.5,1824027.0,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-bottle1,elephant5-bicycle3,dot,2105985.5,1814118.5,1,0
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,cat8-bicycle3,dot,1420049.5,1818197.75,0,1
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,car4-bicycle3,dot,1420049.5,1841949.125,0,1
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,car6-bicycle3,dot,1420049.5,1828177.75,0,1
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,dog9-bicycle3,dot,1420049.5,1662473.0,0,1
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,bear5-bicycle3,dot,1420049.5,1858176.75,0,1
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,bear8-bicycle3,dot,1420049.5,1818206.75,0,1
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,bear1-bicycle3,dot,1420049.5,1770782.875,0,1
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,boat4-bicycle3,dot,1420049.5,1765197.5,0,1
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,boat5-bicycle3,dot,1420049.5,1759829.5,0,1
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,chair8-bicycle3,dot,1420049.5,1783382.25,0,1
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,chair9-bicycle3,dot,1420049.5,1821046.5,0,1
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,chair3-bicycle3,dot,1420049.5,1815777.0,0,1
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,truck1-bicycle3,dot,1420049.5,1780975.25,0,1
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,bird9-bicycle3,dot,1420049.5,1764269.875,0,1
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,airplane8-bicycle3,dot,1420049.5,1732255.75,0,1
resnet50_random,cat5-bicycle3,cat5,bicycle3,cat5-dog3,bottle6-bicycle3,dot,1420049.5,1809479.0,0,1
