Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,cat3-elephant2,dot,1195433.125,592228.5625,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,car10-elephant2,dot,1195433.125,550039.375,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,dog3-elephant2,dot,1195433.125,585705.625,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,dog4-elephant2,dot,1195433.125,565626.3125,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,dog6-elephant2,dot,1195433.125,606629.625,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,bear4-elephant2,dot,1195433.125,587275.5,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,bear8-elephant2,dot,1195433.125,609778.125,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,boat4-elephant2,dot,1195433.125,552815.125,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,boat6-elephant2,dot,1195433.125,577865.375,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,oven6-elephant2,dot,1195433.125,609817.4375,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,chair6-elephant2,dot,1195433.125,579549.125,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,truck7-elephant2,dot,1195433.125,551585.0,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,bird9-elephant2,dot,1195433.125,577261.25,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,bird1-elephant2,dot,1195433.125,538745.125,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,bird6-elephant2,dot,1195433.125,573982.375,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,bird10-elephant2,dot,1195433.125,577879.125,1,0
resnet50_random,cat5-elephant2,cat5,elephant2,cat5-bottle1,bicycle7-elephant2,dot,1195433.125,582323.5625,1,0
