Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,cat6-keyboard3,dot,1489735.25,1012199.375,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,cat1-keyboard3,dot,1489735.25,1079826.5,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,car5-keyboard3,dot,1489735.25,1103052.25,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,car7-keyboard3,dot,1489735.25,1027453.5625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,dog8-keyboard3,dot,1489735.25,874996.1875,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,dog7-keyboard3,dot,1489735.25,1137033.25,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,bear4-keyboard3,dot,1489735.25,991985.625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,bear10-keyboard3,dot,1489735.25,1156864.75,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,bear9-keyboard3,dot,1489735.25,1330167.125,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,boat1-keyboard3,dot,1489735.25,907863.125,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,boat7-keyboard3,dot,1489735.25,1012937.5625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,oven8-keyboard3,dot,1489735.25,1190438.0,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,oven4-keyboard3,dot,1489735.25,995174.25,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,chair8-keyboard3,dot,1489735.25,929767.625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,truck3-keyboard3,dot,1489735.25,982780.5625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,truck7-keyboard3,dot,1489735.25,908372.75,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,bird1-keyboard3,dot,1489735.25,822621.75,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,bird7-keyboard3,dot,1489735.25,998134.0625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,airplane4-keyboard3,dot,1489735.25,933287.0625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,airplane6-keyboard3,dot,1489735.25,864627.5,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,bicycle5-keyboard3,dot,1489735.25,994304.8125,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,bicycle4-keyboard3,dot,1489735.25,1128410.0,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,bicycle9-keyboard3,dot,1489735.25,1053319.25,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,bottle1-keyboard3,dot,1489735.25,908901.5,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,bottle8-keyboard3,dot,1489735.25,977979.5,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,clock3-keyboard3,dot,1489735.25,971979.75,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,knife5-keyboard3,dot,1489735.25,789694.5,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,knife1-keyboard3,dot,1489735.25,801855.0625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,knife10-keyboard3,dot,1489735.25,765016.75,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,knife3-keyboard3,dot,1489735.25,646496.625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,elephant2-keyboard3,dot,1489735.25,1121112.0,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,elephant1-keyboard3,dot,1489735.25,1242272.75,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-bottle1,elephant7-keyboard3,dot,1489735.25,1099450.75,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,cat6-keyboard3,dot,1003860.1875,1012199.375,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,cat1-keyboard3,dot,1003860.1875,1079826.5,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,car5-keyboard3,dot,1003860.1875,1103052.25,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,car7-keyboard3,dot,1003860.1875,1027453.5625,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,dog8-keyboard3,dot,1003860.1875,874996.1875,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,dog7-keyboard3,dot,1003860.1875,1137033.25,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,bear4-keyboard3,dot,1003860.1875,991985.625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,bear10-keyboard3,dot,1003860.1875,1156864.75,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,bear9-keyboard3,dot,1003860.1875,1330167.125,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,boat1-keyboard3,dot,1003860.1875,907863.125,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,boat7-keyboard3,dot,1003860.1875,1012937.5625,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,oven8-keyboard3,dot,1003860.1875,1190438.0,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,oven4-keyboard3,dot,1003860.1875,995174.25,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,chair8-keyboard3,dot,1003860.1875,929767.625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,truck3-keyboard3,dot,1003860.1875,982780.5625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,truck7-keyboard3,dot,1003860.1875,908372.75,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,bird1-keyboard3,dot,1003860.1875,822621.75,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,bird7-keyboard3,dot,1003860.1875,998134.0625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,airplane4-keyboard3,dot,1003860.1875,933287.0625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,airplane6-keyboard3,dot,1003860.1875,864627.5,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,bicycle5-keyboard3,dot,1003860.1875,994304.8125,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,bicycle4-keyboard3,dot,1003860.1875,1128410.0,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,bicycle9-keyboard3,dot,1003860.1875,1053319.25,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,bottle1-keyboard3,dot,1003860.1875,908901.5,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,bottle8-keyboard3,dot,1003860.1875,977979.5,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,clock3-keyboard3,dot,1003860.1875,971979.75,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,knife5-keyboard3,dot,1003860.1875,789694.5,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,knife1-keyboard3,dot,1003860.1875,801855.0625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,knife10-keyboard3,dot,1003860.1875,765016.75,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,knife3-keyboard3,dot,1003860.1875,646496.625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,elephant2-keyboard3,dot,1003860.1875,1121112.0,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,elephant1-keyboard3,dot,1003860.1875,1242272.75,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-dog3,elephant7-keyboard3,dot,1003860.1875,1099450.75,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,cat6-keyboard3,dot,1041905.625,1012199.375,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,cat1-keyboard3,dot,1041905.625,1079826.5,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,car5-keyboard3,dot,1041905.625,1103052.25,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,car7-keyboard3,dot,1041905.625,1027453.5625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,dog8-keyboard3,dot,1041905.625,874996.1875,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,dog7-keyboard3,dot,1041905.625,1137033.25,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,bear4-keyboard3,dot,1041905.625,991985.625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,bear10-keyboard3,dot,1041905.625,1156864.75,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,bear9-keyboard3,dot,1041905.625,1330167.125,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,boat1-keyboard3,dot,1041905.625,907863.125,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,boat7-keyboard3,dot,1041905.625,1012937.5625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,oven8-keyboard3,dot,1041905.625,1190438.0,0,1
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,oven4-keyboard3,dot,1041905.625,995174.25,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,chair8-keyboard3,dot,1041905.625,929767.625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,truck3-keyboard3,dot,1041905.625,982780.5625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,truck7-keyboard3,dot,1041905.625,908372.75,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,bird1-keyboard3,dot,1041905.625,822621.75,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,bird7-keyboard3,dot,1041905.625,998134.0625,1,0
resnet50_random,cat5-keyboard3,cat5,keyboard3,cat5-chair3,airplane4-keyboard3,dot,1041905.625,933287.0625,1,0
