Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,cat4-oven1,dot,1250879.625,1423770.125,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,cat1-oven1,dot,1250879.625,1414101.0,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,dog5-oven1,dot,1250879.625,1328710.0,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,dog4-oven1,dot,1250879.625,1441948.75,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,bear10-oven1,dot,1250879.625,1501090.25,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,bear2-oven1,dot,1250879.625,1470135.5,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,boat10-oven1,dot,1250879.625,1411417.25,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,boat8-oven1,dot,1250879.625,1389488.0,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,boat1-oven1,dot,1250879.625,1293749.5,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,chair10-oven1,dot,1250879.625,1431188.5,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,chair8-oven1,dot,1250879.625,1363947.875,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,bird1-oven1,dot,1250879.625,1339382.25,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,bird6-oven1,dot,1250879.625,1448476.75,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,bird3-oven1,dot,1250879.625,1364119.5,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,airplane3-oven1,dot,1250879.625,1328172.875,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,bicycle1-oven1,dot,1250879.625,1442761.0,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,bicycle7-oven1,dot,1250879.625,1356554.75,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,keyboard8-oven1,dot,1250879.625,1368729.75,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,clock4-oven1,dot,1250879.625,1282269.0,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,clock5-oven1,dot,1250879.625,1290817.25,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,clock6-oven1,dot,1250879.625,1497187.875,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,knife1-oven1,dot,1250879.625,1300769.25,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,elephant4-oven1,dot,1250879.625,1445230.625,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,elephant3-oven1,dot,1250879.625,1420333.0,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-bear1,elephant6-oven1,dot,1250879.625,1327629.75,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,cat4-oven1,dot,1231614.375,1423770.125,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,cat1-oven1,dot,1231614.375,1414101.0,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,dog5-oven1,dot,1231614.375,1328710.0,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,dog4-oven1,dot,1231614.375,1441948.75,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,bear10-oven1,dot,1231614.375,1501090.25,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,bear2-oven1,dot,1231614.375,1470135.5,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,boat10-oven1,dot,1231614.375,1411417.25,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,boat8-oven1,dot,1231614.375,1389488.0,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,boat1-oven1,dot,1231614.375,1293749.5,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,chair10-oven1,dot,1231614.375,1431188.5,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,chair8-oven1,dot,1231614.375,1363947.875,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,bird1-oven1,dot,1231614.375,1339382.25,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,bird6-oven1,dot,1231614.375,1448476.75,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,bird3-oven1,dot,1231614.375,1364119.5,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,airplane3-oven1,dot,1231614.375,1328172.875,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,bicycle1-oven1,dot,1231614.375,1442761.0,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,bicycle7-oven1,dot,1231614.375,1356554.75,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,keyboard8-oven1,dot,1231614.375,1368729.75,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,clock4-oven1,dot,1231614.375,1282269.0,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,clock5-oven1,dot,1231614.375,1290817.25,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,clock6-oven1,dot,1231614.375,1497187.875,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,knife1-oven1,dot,1231614.375,1300769.25,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,elephant4-oven1,dot,1231614.375,1445230.625,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,elephant3-oven1,dot,1231614.375,1420333.0,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-keyboard3,elephant6-oven1,dot,1231614.375,1327629.75,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,cat4-oven1,dot,1468969.5,1423770.125,1,0
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,cat1-oven1,dot,1468969.5,1414101.0,1,0
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,dog5-oven1,dot,1468969.5,1328710.0,1,0
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,dog4-oven1,dot,1468969.5,1441948.75,1,0
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,bear10-oven1,dot,1468969.5,1501090.25,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,bear2-oven1,dot,1468969.5,1470135.5,0,1
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,boat10-oven1,dot,1468969.5,1411417.25,1,0
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,boat8-oven1,dot,1468969.5,1389488.0,1,0
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,boat1-oven1,dot,1468969.5,1293749.5,1,0
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,chair10-oven1,dot,1468969.5,1431188.5,1,0
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,chair8-oven1,dot,1468969.5,1363947.875,1,0
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,bird1-oven1,dot,1468969.5,1339382.25,1,0
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,bird6-oven1,dot,1468969.5,1448476.75,1,0
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,bird3-oven1,dot,1468969.5,1364119.5,1,0
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,airplane3-oven1,dot,1468969.5,1328172.875,1,0
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,bicycle1-oven1,dot,1468969.5,1442761.0,1,0
resnet50_random,cat6-oven1,cat6,oven1,cat6-clock3,bicycle7-oven1,dot,1468969.5,1356554.75,1,0
