Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,cat5-knife2,dot,1424576.75,1068800.75,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,cat9-knife2,dot,1424576.75,1151460.75,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,car8-knife2,dot,1424576.75,1210062.25,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,car5-knife2,dot,1424576.75,1288851.625,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,dog5-knife2,dot,1424576.75,1143275.5,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,bear9-knife2,dot,1424576.75,1334107.0,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,bear2-knife2,dot,1424576.75,1295428.75,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,bear10-knife2,dot,1424576.75,1319400.0,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,boat6-knife2,dot,1424576.75,1109175.25,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,boat9-knife2,dot,1424576.75,1088761.375,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,boat4-knife2,dot,1424576.75,1027907.4375,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,boat5-knife2,dot,1424576.75,826835.6875,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,oven4-knife2,dot,1424576.75,1252082.0,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,oven8-knife2,dot,1424576.75,1340962.0,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,chair7-knife2,dot,1424576.75,1338685.125,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,chair8-knife2,dot,1424576.75,1028490.625,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,truck3-knife2,dot,1424576.75,1169672.625,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,truck6-knife2,dot,1424576.75,1098886.5,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,bird8-knife2,dot,1424576.75,1097280.875,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,bird7-knife2,dot,1424576.75,1092692.5,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,bicycle2-knife2,dot,1424576.75,1112575.75,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,bicycle7-knife2,dot,1424576.75,1145200.375,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,keyboard5-knife2,dot,1424576.75,1257448.5,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,keyboard4-knife2,dot,1424576.75,1145641.625,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,keyboard6-knife2,dot,1424576.75,1165962.25,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,clock6-knife2,dot,1424576.75,1213928.5,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,elephant6-knife2,dot,1424576.75,1219346.25,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,elephant8-knife2,dot,1424576.75,1160375.0,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-airplane2,elephant7-knife2,dot,1424576.75,1227547.75,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,cat5-knife2,dot,1190411.0,1068800.75,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,cat9-knife2,dot,1190411.0,1151460.75,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,car8-knife2,dot,1190411.0,1210062.25,0,1
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,car5-knife2,dot,1190411.0,1288851.625,0,1
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,dog5-knife2,dot,1190411.0,1143275.5,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,bear9-knife2,dot,1190411.0,1334107.0,0,1
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,bear2-knife2,dot,1190411.0,1295428.75,0,1
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,bear10-knife2,dot,1190411.0,1319400.0,0,1
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,boat6-knife2,dot,1190411.0,1109175.25,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,boat9-knife2,dot,1190411.0,1088761.375,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,boat4-knife2,dot,1190411.0,1027907.4375,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,boat5-knife2,dot,1190411.0,826835.6875,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,oven4-knife2,dot,1190411.0,1252082.0,0,1
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,oven8-knife2,dot,1190411.0,1340962.0,0,1
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,chair7-knife2,dot,1190411.0,1338685.125,0,1
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,chair8-knife2,dot,1190411.0,1028490.625,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,truck3-knife2,dot,1190411.0,1169672.625,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,truck6-knife2,dot,1190411.0,1098886.5,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,bird8-knife2,dot,1190411.0,1097280.875,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,bird7-knife2,dot,1190411.0,1092692.5,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,bicycle2-knife2,dot,1190411.0,1112575.75,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,bicycle7-knife2,dot,1190411.0,1145200.375,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,keyboard5-knife2,dot,1190411.0,1257448.5,0,1
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,keyboard4-knife2,dot,1190411.0,1145641.625,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,keyboard6-knife2,dot,1190411.0,1165962.25,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,clock6-knife2,dot,1190411.0,1213928.5,0,1
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,elephant6-knife2,dot,1190411.0,1219346.25,0,1
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,elephant8-knife2,dot,1190411.0,1160375.0,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-clock3,elephant7-knife2,dot,1190411.0,1227547.75,0,1
resnet50_random,cat7-knife2,cat7,knife2,cat7-boat3,cat5-knife2,dot,1362687.25,1068800.75,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-boat3,cat9-knife2,dot,1362687.25,1151460.75,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-boat3,car8-knife2,dot,1362687.25,1210062.25,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-boat3,car5-knife2,dot,1362687.25,1288851.625,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-boat3,dog5-knife2,dot,1362687.25,1143275.5,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-boat3,bear9-knife2,dot,1362687.25,1334107.0,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-boat3,bear2-knife2,dot,1362687.25,1295428.75,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-boat3,bear10-knife2,dot,1362687.25,1319400.0,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-boat3,boat6-knife2,dot,1362687.25,1109175.25,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-boat3,boat9-knife2,dot,1362687.25,1088761.375,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-boat3,boat4-knife2,dot,1362687.25,1027907.4375,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-boat3,boat5-knife2,dot,1362687.25,826835.6875,1,0
resnet50_random,cat7-knife2,cat7,knife2,cat7-boat3,oven4-knife2,dot,1362687.25,1252082.0,1,0
