Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,car5-cat1,dot,1797011.25,1008965.625,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,car9-cat1,dot,1797011.25,953082.8125,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,car8-cat1,dot,1797011.25,1003076.5625,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,dog2-cat1,dot,1797011.25,900828.75,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,dog9-cat1,dot,1797011.25,927940.0,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,dog6-cat1,dot,1797011.25,1012918.4375,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,bear3-cat1,dot,1797011.25,1038999.6875,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,boat6-cat1,dot,1797011.25,940742.875,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,boat10-cat1,dot,1797011.25,963920.125,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,oven7-cat1,dot,1797011.25,965914.875,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,oven1-cat1,dot,1797011.25,901884.5,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,chair7-cat1,dot,1797011.25,1030834.0,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,truck1-cat1,dot,1797011.25,985257.625,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,truck3-cat1,dot,1797011.25,918126.25,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,bird10-cat1,dot,1797011.25,958065.625,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,bird3-cat1,dot,1797011.25,867741.6875,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,airplane3-cat1,dot,1797011.25,863581.0,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,airplane2-cat1,dot,1797011.25,864135.125,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,bicycle4-cat1,dot,1797011.25,1001284.75,1,0
resnet50_random,chair10-cat1,chair10,cat1,chair10-bottle3,bicycle5-cat1,dot,1797011.25,908368.375,1,0
