Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,cat9-dog2,dot,787993.5625,541694.625,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,car3-dog2,dot,787993.5625,553236.8125,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,car1-dog2,dot,787993.5625,549686.6875,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,boat9-dog2,dot,787993.5625,551885.125,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,boat4-dog2,dot,787993.5625,504972.71875,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,oven7-dog2,dot,787993.5625,538711.875,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,chair9-dog2,dot,787993.5625,546522.0,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,chair3-dog2,dot,787993.5625,548593.125,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,truck6-dog2,dot,787993.5625,533812.625,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,bird2-dog2,dot,787993.5625,562696.125,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,bird9-dog2,dot,787993.5625,533852.25,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,bird5-dog2,dot,787993.5625,536072.3125,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,airplane4-dog2,dot,787993.5625,517133.53125,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,bicycle5-dog2,dot,787993.5625,520644.28125,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,bicycle6-dog2,dot,787993.5625,544171.8125,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,bottle1-dog2,dot,787993.5625,526458.375,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,bottle8-dog2,dot,787993.5625,547642.25,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,bottle4-dog2,dot,787993.5625,547830.75,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,keyboard6-dog2,dot,787993.5625,519898.125,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,clock3-dog2,dot,787993.5625,520037.5625,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,clock7-dog2,dot,787993.5625,524788.4375,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,knife6-dog2,dot,787993.5625,491621.5625,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,elephant6-dog2,dot,787993.5625,530350.125,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock10-oven2,elephant1-dog2,dot,787993.5625,574304.875,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock1-boat3,cat9-dog2,dot,976702.875,541694.625,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock1-boat3,car3-dog2,dot,976702.875,553236.8125,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock1-boat3,car1-dog2,dot,976702.875,549686.6875,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock1-boat3,boat9-dog2,dot,976702.875,551885.125,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock1-boat3,boat4-dog2,dot,976702.875,504972.71875,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock1-boat3,oven7-dog2,dot,976702.875,538711.875,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock1-boat3,chair9-dog2,dot,976702.875,546522.0,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock1-boat3,chair3-dog2,dot,976702.875,548593.125,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock1-boat3,truck6-dog2,dot,976702.875,533812.625,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock1-boat3,bird2-dog2,dot,976702.875,562696.125,1,0
resnet50_random,clock1-dog2,clock1,dog2,clock1-boat3,bird9-dog2,dot,976702.875,533852.25,1,0
