Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,cat1-chair2,dot,1420315.125,1376591.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,cat4-chair2,dot,1420315.125,1276318.5,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,cat9-chair2,dot,1420315.125,1283535.25,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,dog9-chair2,dot,1420315.125,1184572.5,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,dog7-chair2,dot,1420315.125,1420273.25,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,bear3-chair2,dot,1420315.125,1457081.0,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,bear1-chair2,dot,1420315.125,1322855.125,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,bear10-chair2,dot,1420315.125,1410674.25,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,boat4-chair2,dot,1420315.125,1202576.875,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,boat9-chair2,dot,1420315.125,1295811.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,truck7-chair2,dot,1420315.125,1254203.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,truck1-chair2,dot,1420315.125,1326238.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,truck3-chair2,dot,1420315.125,1324820.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,bird1-chair2,dot,1420315.125,1208375.5,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,airplane1-chair2,dot,1420315.125,1190165.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,bicycle8-chair2,dot,1420315.125,1372665.5,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,bicycle5-chair2,dot,1420315.125,1292734.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,bicycle4-chair2,dot,1420315.125,1402529.875,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,bottle1-chair2,dot,1420315.125,1273851.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,bottle6-chair2,dot,1420315.125,1242357.625,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,keyboard8-chair2,dot,1420315.125,1421970.0,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,keyboard1-chair2,dot,1420315.125,1388965.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,keyboard9-chair2,dot,1420315.125,1412175.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,knife7-chair2,dot,1420315.125,1113849.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-keyboard1,elephant9-chair2,dot,1420315.125,1351765.25,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,cat1-chair2,dot,1492278.0,1376591.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,cat4-chair2,dot,1492278.0,1276318.5,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,cat9-chair2,dot,1492278.0,1283535.25,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,dog9-chair2,dot,1492278.0,1184572.5,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,dog7-chair2,dot,1492278.0,1420273.25,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,bear3-chair2,dot,1492278.0,1457081.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,bear1-chair2,dot,1492278.0,1322855.125,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,bear10-chair2,dot,1492278.0,1410674.25,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,boat4-chair2,dot,1492278.0,1202576.875,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,boat9-chair2,dot,1492278.0,1295811.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,truck7-chair2,dot,1492278.0,1254203.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,truck1-chair2,dot,1492278.0,1326238.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,truck3-chair2,dot,1492278.0,1324820.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,bird1-chair2,dot,1492278.0,1208375.5,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,airplane1-chair2,dot,1492278.0,1190165.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,bicycle8-chair2,dot,1492278.0,1372665.5,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,bicycle5-chair2,dot,1492278.0,1292734.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,bicycle4-chair2,dot,1492278.0,1402529.875,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,bottle1-chair2,dot,1492278.0,1273851.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,bottle6-chair2,dot,1492278.0,1242357.625,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,keyboard8-chair2,dot,1492278.0,1421970.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,keyboard1-chair2,dot,1492278.0,1388965.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,keyboard9-chair2,dot,1492278.0,1412175.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,knife7-chair2,dot,1492278.0,1113849.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-truck2,elephant9-chair2,dot,1492278.0,1351765.25,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,cat1-chair2,dot,1167239.0,1376591.75,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,cat4-chair2,dot,1167239.0,1276318.5,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,cat9-chair2,dot,1167239.0,1283535.25,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,dog9-chair2,dot,1167239.0,1184572.5,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,dog7-chair2,dot,1167239.0,1420273.25,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,bear3-chair2,dot,1167239.0,1457081.0,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,bear1-chair2,dot,1167239.0,1322855.125,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,bear10-chair2,dot,1167239.0,1410674.25,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,boat4-chair2,dot,1167239.0,1202576.875,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,boat9-chair2,dot,1167239.0,1295811.0,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,truck7-chair2,dot,1167239.0,1254203.75,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,truck1-chair2,dot,1167239.0,1326238.0,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,truck3-chair2,dot,1167239.0,1324820.0,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,bird1-chair2,dot,1167239.0,1208375.5,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,airplane1-chair2,dot,1167239.0,1190165.75,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,bicycle8-chair2,dot,1167239.0,1372665.5,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,bicycle5-chair2,dot,1167239.0,1292734.0,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,bicycle4-chair2,dot,1167239.0,1402529.875,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,bottle1-chair2,dot,1167239.0,1273851.75,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,bottle6-chair2,dot,1167239.0,1242357.625,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,keyboard8-chair2,dot,1167239.0,1421970.0,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,keyboard1-chair2,dot,1167239.0,1388965.75,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,keyboard9-chair2,dot,1167239.0,1412175.75,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,knife7-chair2,dot,1167239.0,1113849.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-oven3,elephant9-chair2,dot,1167239.0,1351765.25,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,cat1-chair2,dot,1085902.75,1376591.75,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,cat4-chair2,dot,1085902.75,1276318.5,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,cat9-chair2,dot,1085902.75,1283535.25,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,dog9-chair2,dot,1085902.75,1184572.5,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,dog7-chair2,dot,1085902.75,1420273.25,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,bear3-chair2,dot,1085902.75,1457081.0,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,bear1-chair2,dot,1085902.75,1322855.125,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,bear10-chair2,dot,1085902.75,1410674.25,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,boat4-chair2,dot,1085902.75,1202576.875,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,boat9-chair2,dot,1085902.75,1295811.0,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,truck7-chair2,dot,1085902.75,1254203.75,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,truck1-chair2,dot,1085902.75,1326238.0,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,truck3-chair2,dot,1085902.75,1324820.0,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,bird1-chair2,dot,1085902.75,1208375.5,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,airplane1-chair2,dot,1085902.75,1190165.75,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,bicycle8-chair2,dot,1085902.75,1372665.5,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,bicycle5-chair2,dot,1085902.75,1292734.0,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,bicycle4-chair2,dot,1085902.75,1402529.875,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,bottle1-chair2,dot,1085902.75,1273851.75,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,bottle6-chair2,dot,1085902.75,1242357.625,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,keyboard8-chair2,dot,1085902.75,1421970.0,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,keyboard1-chair2,dot,1085902.75,1388965.75,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,keyboard9-chair2,dot,1085902.75,1412175.75,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,knife7-chair2,dot,1085902.75,1113849.75,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-cat1,elephant9-chair2,dot,1085902.75,1351765.25,0,1
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,cat1-chair2,dot,1654062.75,1376591.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,cat4-chair2,dot,1654062.75,1276318.5,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,cat9-chair2,dot,1654062.75,1283535.25,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,dog9-chair2,dot,1654062.75,1184572.5,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,dog7-chair2,dot,1654062.75,1420273.25,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,bear3-chair2,dot,1654062.75,1457081.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,bear1-chair2,dot,1654062.75,1322855.125,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,bear10-chair2,dot,1654062.75,1410674.25,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,boat4-chair2,dot,1654062.75,1202576.875,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,boat9-chair2,dot,1654062.75,1295811.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,truck7-chair2,dot,1654062.75,1254203.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,truck1-chair2,dot,1654062.75,1326238.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,truck3-chair2,dot,1654062.75,1324820.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,bird1-chair2,dot,1654062.75,1208375.5,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,airplane1-chair2,dot,1654062.75,1190165.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,bicycle8-chair2,dot,1654062.75,1372665.5,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,bicycle5-chair2,dot,1654062.75,1292734.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,bicycle4-chair2,dot,1654062.75,1402529.875,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,bottle1-chair2,dot,1654062.75,1273851.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,bottle6-chair2,dot,1654062.75,1242357.625,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,keyboard8-chair2,dot,1654062.75,1421970.0,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,keyboard1-chair2,dot,1654062.75,1388965.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,keyboard9-chair2,dot,1654062.75,1412175.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,knife7-chair2,dot,1654062.75,1113849.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-airplane2,elephant9-chair2,dot,1654062.75,1351765.25,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-boat1,cat1-chair2,dot,1721666.25,1376591.75,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-boat1,cat4-chair2,dot,1721666.25,1276318.5,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-boat1,cat9-chair2,dot,1721666.25,1283535.25,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-boat1,dog9-chair2,dot,1721666.25,1184572.5,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-boat1,dog7-chair2,dot,1721666.25,1420273.25,1,0
resnet50_random,clock8-chair2,clock8,chair2,clock8-boat1,bear3-chair2,dot,1721666.25,1457081.0,1,0
