Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,cat7-elephant1,dot,1259948.625,741095.875,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,cat2-elephant1,dot,1259948.625,767414.625,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,dog5-elephant1,dot,1259948.625,764813.6875,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,bear10-elephant1,dot,1259948.625,778491.625,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,bear2-elephant1,dot,1259948.625,758358.75,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,bear1-elephant1,dot,1259948.625,718000.0625,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,boat8-elephant1,dot,1259948.625,753177.125,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,oven7-elephant1,dot,1259948.625,746484.8125,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,oven5-elephant1,dot,1259948.625,769315.8125,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,chair9-elephant1,dot,1259948.625,748228.3125,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,chair7-elephant1,dot,1259948.625,757359.0,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,chair1-elephant1,dot,1259948.625,755555.0,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,chair8-elephant1,dot,1259948.625,748250.0,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,truck9-elephant1,dot,1259948.625,764349.5,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,truck8-elephant1,dot,1259948.625,759313.25,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,truck2-elephant1,dot,1259948.625,744469.5625,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,bird8-elephant1,dot,1259948.625,727102.625,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,airplane1-elephant1,dot,1259948.625,732496.0,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,airplane4-elephant1,dot,1259948.625,739821.25,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,airplane10-elephant1,dot,1259948.625,759060.3125,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,airplane3-elephant1,dot,1259948.625,724592.0,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,bicycle5-elephant1,dot,1259948.625,748534.4375,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,bottle5-elephant1,dot,1259948.625,758627.5,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,bottle2-elephant1,dot,1259948.625,716429.25,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,keyboard2-elephant1,dot,1259948.625,741275.9375,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,keyboard6-elephant1,dot,1259948.625,745879.0625,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-airplane1,knife1-elephant1,dot,1259948.625,714724.75,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,cat7-elephant1,dot,1299081.5,741095.875,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,cat2-elephant1,dot,1299081.5,767414.625,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,dog5-elephant1,dot,1299081.5,764813.6875,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,bear10-elephant1,dot,1299081.5,778491.625,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,bear2-elephant1,dot,1299081.5,758358.75,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,bear1-elephant1,dot,1299081.5,718000.0625,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,boat8-elephant1,dot,1299081.5,753177.125,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,oven7-elephant1,dot,1299081.5,746484.8125,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,oven5-elephant1,dot,1299081.5,769315.8125,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,chair9-elephant1,dot,1299081.5,748228.3125,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,chair7-elephant1,dot,1299081.5,757359.0,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,chair1-elephant1,dot,1299081.5,755555.0,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,chair8-elephant1,dot,1299081.5,748250.0,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,truck9-elephant1,dot,1299081.5,764349.5,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,truck8-elephant1,dot,1299081.5,759313.25,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,truck2-elephant1,dot,1299081.5,744469.5625,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,bird8-elephant1,dot,1299081.5,727102.625,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,airplane1-elephant1,dot,1299081.5,732496.0,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,airplane4-elephant1,dot,1299081.5,739821.25,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,airplane10-elephant1,dot,1299081.5,759060.3125,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,airplane3-elephant1,dot,1299081.5,724592.0,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,bicycle5-elephant1,dot,1299081.5,748534.4375,1,0
resnet50_random,dog10-elephant1,dog10,elephant1,dog10-car3,bottle5-elephant1,dot,1299081.5,758627.5,1,0
