Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,cat4-knife1,dot,2588443.0,1827536.0,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,car9-knife1,dot,2588443.0,1977698.25,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,car6-knife1,dot,2588443.0,2068744.625,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,bear4-knife1,dot,2588443.0,1862864.375,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,boat8-knife1,dot,2588443.0,1937648.5,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,oven3-knife1,dot,2588443.0,2210931.0,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,chair3-knife1,dot,2588443.0,2024249.375,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,chair2-knife1,dot,2588443.0,2000740.25,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,truck1-knife1,dot,2588443.0,1974759.375,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,truck4-knife1,dot,2588443.0,2293837.0,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,bird2-knife1,dot,2588443.0,2081918.5,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,airplane5-knife1,dot,2588443.0,1983323.875,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,airplane6-knife1,dot,2588443.0,1721108.75,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,airplane4-knife1,dot,2588443.0,1687295.125,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,bottle8-knife1,dot,2588443.0,1856026.75,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,bottle5-knife1,dot,2588443.0,1875666.0,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,keyboard2-knife1,dot,2588443.0,1780006.25,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,clock4-knife1,dot,2588443.0,2076359.25,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,clock2-knife1,dot,2588443.0,1835217.0,1,0
resnet50_random,keyboard7-knife1,keyboard7,knife1,keyboard7-bottle1,clock8-knife1,dot,2588443.0,1982343.0,1,0
