Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,cat4-airplane1,dot,1337772.25,1864079.5,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,cat1-airplane1,dot,1337772.25,1870458.0,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,car1-airplane1,dot,1337772.25,1692227.625,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,dog10-airplane1,dot,1337772.25,1909986.875,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,bear3-airplane1,dot,1337772.25,1805592.875,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,bear8-airplane1,dot,1337772.25,1800238.625,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,bear2-airplane1,dot,1337772.25,1819443.25,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,boat2-airplane1,dot,1337772.25,1811415.0,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,boat5-airplane1,dot,1337772.25,1728207.5,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,oven3-airplane1,dot,1337772.25,1823608.5,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,oven5-airplane1,dot,1337772.25,1936904.375,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,chair7-airplane1,dot,1337772.25,1828237.25,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,chair8-airplane1,dot,1337772.25,1814262.5,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,truck10-airplane1,dot,1337772.25,1829910.5,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,bird4-airplane1,dot,1337772.25,1902337.25,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,bicycle4-airplane1,dot,1337772.25,1909645.375,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,bottle4-airplane1,dot,1337772.25,1841025.25,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,bottle6-airplane1,dot,1337772.25,1814571.5,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,bottle5-airplane1,dot,1337772.25,1865488.25,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,clock4-airplane1,dot,1337772.25,1760506.75,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,clock9-airplane1,dot,1337772.25,1827052.625,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,clock10-airplane1,dot,1337772.25,1847074.25,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,clock5-airplane1,dot,1337772.25,1775877.75,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife10-chair1,knife6-airplane1,dot,1337772.25,1798169.25,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,cat4-airplane1,dot,1109166.25,1864079.5,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,cat1-airplane1,dot,1109166.25,1870458.0,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,car1-airplane1,dot,1109166.25,1692227.625,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,dog10-airplane1,dot,1109166.25,1909986.875,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,bear3-airplane1,dot,1109166.25,1805592.875,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,bear8-airplane1,dot,1109166.25,1800238.625,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,bear2-airplane1,dot,1109166.25,1819443.25,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,boat2-airplane1,dot,1109166.25,1811415.0,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,boat5-airplane1,dot,1109166.25,1728207.5,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,oven3-airplane1,dot,1109166.25,1823608.5,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,oven5-airplane1,dot,1109166.25,1936904.375,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,chair7-airplane1,dot,1109166.25,1828237.25,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,chair8-airplane1,dot,1109166.25,1814262.5,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,truck10-airplane1,dot,1109166.25,1829910.5,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,bird4-airplane1,dot,1109166.25,1902337.25,0,1
resnet50_random,knife1-airplane1,knife1,airplane1,knife1-keyboard3,bicycle4-airplane1,dot,1109166.25,1909645.375,0,1
