Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,cat9-bottle2,dot,1232103.125,1969176.0,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,dog4-bottle2,dot,1232103.125,2016062.875,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,dog8-bottle2,dot,1232103.125,2024008.25,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,dog2-bottle2,dot,1232103.125,1855236.25,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,bear9-bottle2,dot,1232103.125,2425621.25,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,boat2-bottle2,dot,1232103.125,1864712.5,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,boat4-bottle2,dot,1232103.125,1800739.75,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,boat6-bottle2,dot,1232103.125,1880625.375,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,oven4-bottle2,dot,1232103.125,2286247.75,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,truck4-bottle2,dot,1232103.125,2489284.5,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,truck8-bottle2,dot,1232103.125,2104582.5,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,truck9-bottle2,dot,1232103.125,2480786.0,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,bird3-bottle2,dot,1232103.125,1777896.25,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,airplane6-bottle2,dot,1232103.125,1852759.75,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,keyboard4-bottle2,dot,1232103.125,2244832.0,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,keyboard6-bottle2,dot,1232103.125,2001763.25,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,clock7-bottle2,dot,1232103.125,2081837.25,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,knife9-bottle2,dot,1232103.125,1718968.25,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,elephant5-bottle2,dot,1232103.125,2066546.0,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-bear2,elephant6-bottle2,dot,1232103.125,2155267.0,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-cat3,cat9-bottle2,dot,910934.125,1969176.0,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-cat3,dog4-bottle2,dot,910934.125,2016062.875,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-cat3,dog8-bottle2,dot,910934.125,2024008.25,0,1
resnet50_random,knife2-bottle2,knife2,bottle2,knife2-cat3,dog2-bottle2,dot,910934.125,1855236.25,0,1
