Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,cat9-clock2,dot,969979.4375,1560742.75,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,cat4-clock2,dot,969979.4375,1543701.375,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,car8-clock2,dot,969979.4375,1662622.0,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,car9-clock2,dot,969979.4375,1630451.5,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,car1-clock2,dot,969979.4375,1832852.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,dog8-clock2,dot,969979.4375,1583250.125,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,bear1-clock2,dot,969979.4375,1587784.625,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,boat6-clock2,dot,969979.4375,1500283.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,oven9-clock2,dot,969979.4375,1786140.75,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,oven4-clock2,dot,969979.4375,1735552.625,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,oven7-clock2,dot,969979.4375,1646583.625,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,chair1-clock2,dot,969979.4375,1629912.875,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,chair5-clock2,dot,969979.4375,1653366.75,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,truck6-clock2,dot,969979.4375,1538236.0,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,airplane8-clock2,dot,969979.4375,1489068.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,bicycle10-clock2,dot,969979.4375,1677941.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,bottle10-clock2,dot,969979.4375,1649338.375,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,keyboard4-clock2,dot,969979.4375,1612770.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,knife6-clock2,dot,969979.4375,1367429.75,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,knife1-clock2,dot,969979.4375,1425414.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,elephant8-clock2,dot,969979.4375,1688582.5,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,elephant7-clock2,dot,969979.4375,1687365.5,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,cat9-clock2,dot,775867.0,1560742.75,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,cat4-clock2,dot,775867.0,1543701.375,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,car8-clock2,dot,775867.0,1662622.0,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,car9-clock2,dot,775867.0,1630451.5,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,car1-clock2,dot,775867.0,1832852.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,dog8-clock2,dot,775867.0,1583250.125,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,bear1-clock2,dot,775867.0,1587784.625,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,boat6-clock2,dot,775867.0,1500283.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,oven9-clock2,dot,775867.0,1786140.75,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,oven4-clock2,dot,775867.0,1735552.625,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,oven7-clock2,dot,775867.0,1646583.625,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,chair1-clock2,dot,775867.0,1629912.875,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,chair5-clock2,dot,775867.0,1653366.75,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,truck6-clock2,dot,775867.0,1538236.0,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,airplane8-clock2,dot,775867.0,1489068.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,bicycle10-clock2,dot,775867.0,1677941.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,bottle10-clock2,dot,775867.0,1649338.375,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,keyboard4-clock2,dot,775867.0,1612770.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,knife6-clock2,dot,775867.0,1367429.75,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,knife1-clock2,dot,775867.0,1425414.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,elephant8-clock2,dot,775867.0,1688582.5,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,elephant7-clock2,dot,775867.0,1687365.5,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,cat9-clock2,dot,1066416.875,1560742.75,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,cat4-clock2,dot,1066416.875,1543701.375,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,car8-clock2,dot,1066416.875,1662622.0,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,car9-clock2,dot,1066416.875,1630451.5,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,car1-clock2,dot,1066416.875,1832852.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,dog8-clock2,dot,1066416.875,1583250.125,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,bear1-clock2,dot,1066416.875,1587784.625,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,boat6-clock2,dot,1066416.875,1500283.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,oven9-clock2,dot,1066416.875,1786140.75,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,oven4-clock2,dot,1066416.875,1735552.625,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,oven7-clock2,dot,1066416.875,1646583.625,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,chair1-clock2,dot,1066416.875,1629912.875,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,chair5-clock2,dot,1066416.875,1653366.75,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,truck6-clock2,dot,1066416.875,1538236.0,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,airplane8-clock2,dot,1066416.875,1489068.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,bicycle10-clock2,dot,1066416.875,1677941.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,bottle10-clock2,dot,1066416.875,1649338.375,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,keyboard4-clock2,dot,1066416.875,1612770.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,knife6-clock2,dot,1066416.875,1367429.75,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,knife1-clock2,dot,1066416.875,1425414.25,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,elephant8-clock2,dot,1066416.875,1688582.5,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,elephant7-clock2,dot,1066416.875,1687365.5,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,cat9-clock2,cos,0.999668300151825,0.9987534880638123,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,cat4-clock2,cos,0.999668300151825,0.9987837076187134,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,car8-clock2,cos,0.999668300151825,0.9989142417907715,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,car9-clock2,cos,0.999668300151825,0.9986849427223206,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,car1-clock2,cos,0.999668300151825,0.9988550543785095,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,dog8-clock2,cos,0.999668300151825,0.998990535736084,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,bear1-clock2,cos,0.999668300151825,0.9987542033195496,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,boat6-clock2,cos,0.999668300151825,0.9993480443954468,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,oven9-clock2,cos,0.999668300151825,0.9987794160842896,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,oven4-clock2,cos,0.999668300151825,0.9987885355949402,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,oven7-clock2,cos,0.999668300151825,0.9992051720619202,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,chair1-clock2,cos,0.999668300151825,0.9992120862007141,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,chair5-clock2,cos,0.999668300151825,0.9989683032035828,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,truck6-clock2,cos,0.999668300151825,0.9982699155807495,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,airplane8-clock2,cos,0.999668300151825,0.9990005493164062,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,bicycle10-clock2,cos,0.999668300151825,0.998936116695404,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,bottle10-clock2,cos,0.999668300151825,0.9989438652992249,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,keyboard4-clock2,cos,0.999668300151825,0.9991642236709595,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,knife6-clock2,cos,0.999668300151825,0.9994014501571655,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,knife1-clock2,cos,0.999668300151825,0.9996959567070007,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,elephant8-clock2,cos,0.999668300151825,0.9987968802452087,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-cat1,elephant7-clock2,cos,0.999668300151825,0.9985806941986084,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,cat9-clock2,cos,0.9949107766151428,0.9987534880638123,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,cat4-clock2,cos,0.9949107766151428,0.9987837076187134,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,car8-clock2,cos,0.9949107766151428,0.9989142417907715,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,car9-clock2,cos,0.9949107766151428,0.9986849427223206,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,car1-clock2,cos,0.9949107766151428,0.9988550543785095,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,dog8-clock2,cos,0.9949107766151428,0.998990535736084,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,bear1-clock2,cos,0.9949107766151428,0.9987542033195496,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,boat6-clock2,cos,0.9949107766151428,0.9993480443954468,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,oven9-clock2,cos,0.9949107766151428,0.9987794160842896,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,oven4-clock2,cos,0.9949107766151428,0.9987885355949402,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,oven7-clock2,cos,0.9949107766151428,0.9992051720619202,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,chair1-clock2,cos,0.9949107766151428,0.9992120862007141,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,chair5-clock2,cos,0.9949107766151428,0.9989683032035828,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,truck6-clock2,cos,0.9949107766151428,0.9982699155807495,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,airplane8-clock2,cos,0.9949107766151428,0.9990005493164062,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,bicycle10-clock2,cos,0.9949107766151428,0.998936116695404,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,bottle10-clock2,cos,0.9949107766151428,0.9989438652992249,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,keyboard4-clock2,cos,0.9949107766151428,0.9991642236709595,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,knife6-clock2,cos,0.9949107766151428,0.9994014501571655,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,knife1-clock2,cos,0.9949107766151428,0.9996959567070007,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,elephant8-clock2,cos,0.9949107766151428,0.9987968802452087,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-keyboard3,elephant7-clock2,cos,0.9949107766151428,0.9985806941986084,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,cat9-clock2,cos,0.9993119239807129,0.9987534880638123,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,cat4-clock2,cos,0.9993119239807129,0.9987837076187134,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,car8-clock2,cos,0.9993119239807129,0.9989142417907715,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,car9-clock2,cos,0.9993119239807129,0.9986849427223206,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,car1-clock2,cos,0.9993119239807129,0.9988550543785095,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,dog8-clock2,cos,0.9993119239807129,0.998990535736084,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,bear1-clock2,cos,0.9993119239807129,0.9987542033195496,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,boat6-clock2,cos,0.9993119239807129,0.9993480443954468,0,1
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,oven9-clock2,cos,0.9993119239807129,0.9987794160842896,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,oven4-clock2,cos,0.9993119239807129,0.9987885355949402,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,oven7-clock2,cos,0.9993119239807129,0.9992051720619202,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,chair1-clock2,cos,0.9993119239807129,0.9992120862007141,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,chair5-clock2,cos,0.9993119239807129,0.9989683032035828,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,truck6-clock2,cos,0.9993119239807129,0.9982699155807495,1,0
resnet50_random,knife3-clock2,knife3,clock2,knife3-bear2,airplane8-clock2,cos,0.9993119239807129,0.9990005493164062,1,0
