Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,cat6-bear1,dot,1737272.75,1246852.25,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,cat10-bear1,dot,1737272.75,1265724.0,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,cat8-bear1,dot,1737272.75,1200777.25,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,car8-bear1,dot,1737272.75,1277378.125,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,car7-bear1,dot,1737272.75,1218240.75,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,car6-bear1,dot,1737272.75,1254290.625,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,dog1-bear1,dot,1737272.75,1151801.0,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,boat6-bear1,dot,1737272.75,1157401.0,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,boat1-bear1,dot,1737272.75,1131503.75,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,chair9-bear1,dot,1737272.75,1206127.25,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,chair8-bear1,dot,1737272.75,1160427.125,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,chair1-bear1,dot,1737272.75,1181242.5,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,truck4-bear1,dot,1737272.75,1365007.0,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,truck1-bear1,dot,1737272.75,1190196.75,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,bird1-bear1,dot,1737272.75,1104166.25,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,airplane2-bear1,dot,1737272.75,1139640.375,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,bicycle9-bear1,dot,1737272.75,1214006.75,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,bicycle5-bear1,dot,1737272.75,1176106.625,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,bicycle1-bear1,dot,1737272.75,1226766.375,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,bottle7-bear1,dot,1737272.75,1096989.75,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,bottle1-bear1,dot,1737272.75,1135185.75,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,clock1-bear1,dot,1737272.75,1157541.375,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,knife4-bear1,dot,1737272.75,969441.375,1,0
resnet50_random,oven10-bear1,oven10,bear1,oven10-boat2,elephant10-bear1,dot,1737272.75,1212254.5,1,0
