Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,cat7-elephant1,dot,1127008.0,736327.6875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,cat2-elephant1,dot,1127008.0,762454.5,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,dog10-elephant1,dot,1127008.0,769315.8125,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,dog5-elephant1,dot,1127008.0,759818.6875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,bear10-elephant1,dot,1127008.0,773160.75,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,bear2-elephant1,dot,1127008.0,753376.125,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,bear1-elephant1,dot,1127008.0,713486.9375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,boat8-elephant1,dot,1127008.0,747966.625,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,oven7-elephant1,dot,1127008.0,741672.9375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,chair9-elephant1,dot,1127008.0,743451.1875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,chair7-elephant1,dot,1127008.0,752346.4375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,chair1-elephant1,dot,1127008.0,750538.0,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,chair8-elephant1,dot,1127008.0,743374.875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,truck9-elephant1,dot,1127008.0,759394.625,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,truck8-elephant1,dot,1127008.0,754450.75,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,truck2-elephant1,dot,1127008.0,739601.5,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,bird8-elephant1,dot,1127008.0,722634.75,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,airplane1-elephant1,dot,1127008.0,727763.5,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,airplane4-elephant1,dot,1127008.0,734961.375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,airplane10-elephant1,dot,1127008.0,754040.5,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,airplane3-elephant1,dot,1127008.0,719826.375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,bicycle5-elephant1,dot,1127008.0,743633.875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,bottle5-elephant1,dot,1127008.0,753647.875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,bottle2-elephant1,dot,1127008.0,711749.0,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,keyboard2-elephant1,dot,1127008.0,736350.375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,keyboard6-elephant1,dot,1127008.0,741004.0,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-keyboard2,knife1-elephant1,dot,1127008.0,709809.125,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,cat7-elephant1,dot,1660546.625,736327.6875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,cat2-elephant1,dot,1660546.625,762454.5,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,dog10-elephant1,dot,1660546.625,769315.8125,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,dog5-elephant1,dot,1660546.625,759818.6875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,bear10-elephant1,dot,1660546.625,773160.75,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,bear2-elephant1,dot,1660546.625,753376.125,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,bear1-elephant1,dot,1660546.625,713486.9375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,boat8-elephant1,dot,1660546.625,747966.625,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,oven7-elephant1,dot,1660546.625,741672.9375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,chair9-elephant1,dot,1660546.625,743451.1875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,chair7-elephant1,dot,1660546.625,752346.4375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,chair1-elephant1,dot,1660546.625,750538.0,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,chair8-elephant1,dot,1660546.625,743374.875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,truck9-elephant1,dot,1660546.625,759394.625,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,truck8-elephant1,dot,1660546.625,754450.75,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,truck2-elephant1,dot,1660546.625,739601.5,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,bird8-elephant1,dot,1660546.625,722634.75,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,airplane1-elephant1,dot,1660546.625,727763.5,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,airplane4-elephant1,dot,1660546.625,734961.375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,airplane10-elephant1,dot,1660546.625,754040.5,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,airplane3-elephant1,dot,1660546.625,719826.375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,bicycle5-elephant1,dot,1660546.625,743633.875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,bottle5-elephant1,dot,1660546.625,753647.875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,bottle2-elephant1,dot,1660546.625,711749.0,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,keyboard2-elephant1,dot,1660546.625,736350.375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,keyboard6-elephant1,dot,1660546.625,741004.0,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bottle3,knife1-elephant1,dot,1660546.625,709809.125,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,cat7-elephant1,dot,997883.25,736327.6875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,cat2-elephant1,dot,997883.25,762454.5,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,dog10-elephant1,dot,997883.25,769315.8125,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,dog5-elephant1,dot,997883.25,759818.6875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,bear10-elephant1,dot,997883.25,773160.75,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,bear2-elephant1,dot,997883.25,753376.125,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,bear1-elephant1,dot,997883.25,713486.9375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,boat8-elephant1,dot,997883.25,747966.625,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,oven7-elephant1,dot,997883.25,741672.9375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,chair9-elephant1,dot,997883.25,743451.1875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,chair7-elephant1,dot,997883.25,752346.4375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,chair1-elephant1,dot,997883.25,750538.0,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,chair8-elephant1,dot,997883.25,743374.875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,truck9-elephant1,dot,997883.25,759394.625,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,truck8-elephant1,dot,997883.25,754450.75,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,truck2-elephant1,dot,997883.25,739601.5,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,bird8-elephant1,dot,997883.25,722634.75,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,airplane1-elephant1,dot,997883.25,727763.5,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,airplane4-elephant1,dot,997883.25,734961.375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,airplane10-elephant1,dot,997883.25,754040.5,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,airplane3-elephant1,dot,997883.25,719826.375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,bicycle5-elephant1,dot,997883.25,743633.875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,bottle5-elephant1,dot,997883.25,753647.875,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,bottle2-elephant1,dot,997883.25,711749.0,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,keyboard2-elephant1,dot,997883.25,736350.375,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,keyboard6-elephant1,dot,997883.25,741004.0,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-dog3,knife1-elephant1,dot,997883.25,709809.125,1,0
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bird1,cat7-elephant1,dot,678822.1875,736327.6875,0,1
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bird1,cat2-elephant1,dot,678822.1875,762454.5,0,1
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bird1,dog10-elephant1,dot,678822.1875,769315.8125,0,1
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bird1,dog5-elephant1,dot,678822.1875,759818.6875,0,1
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bird1,bear10-elephant1,dot,678822.1875,773160.75,0,1
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bird1,bear2-elephant1,dot,678822.1875,753376.125,0,1
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bird1,bear1-elephant1,dot,678822.1875,713486.9375,0,1
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bird1,boat8-elephant1,dot,678822.1875,747966.625,0,1
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bird1,oven7-elephant1,dot,678822.1875,741672.9375,0,1
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bird1,chair9-elephant1,dot,678822.1875,743451.1875,0,1
resnet50_random,oven5-elephant1,oven5,elephant1,oven5-bird1,chair7-elephant1,dot,678822.1875,752346.4375,0,1
