Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,cat7-airplane2,dot,2513202.25,2331137.75,1,0
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,cat5-airplane2,dot,2513202.25,2360428.0,1,0
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,car7-airplane2,dot,2513202.25,2633270.75,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,dog2-airplane2,dot,2513202.25,2365732.0,1,0
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,boat9-airplane2,dot,2513202.25,2474542.5,1,0
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,boat3-airplane2,dot,2513202.25,2642300.25,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,boat6-airplane2,dot,2513202.25,2403119.25,1,0
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,oven10-airplane2,dot,2513202.25,2859182.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,chair3-airplane2,dot,2513202.25,2684232.25,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,chair10-airplane2,dot,2513202.25,2486797.5,1,0
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,chair1-airplane2,dot,2513202.25,2463243.5,1,0
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,truck9-airplane2,dot,2513202.25,3012544.25,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,truck5-airplane2,dot,2513202.25,2696257.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,bird6-airplane2,dot,2513202.25,2567125.0,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,bird1-airplane2,dot,2513202.25,2295702.5,1,0
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,bicycle9-airplane2,dot,2513202.25,2598756.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,bicycle1-airplane2,dot,2513202.25,2592728.0,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,bicycle6-airplane2,dot,2513202.25,2587167.75,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,bicycle10-airplane2,dot,2513202.25,2625810.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,bottle3-airplane2,dot,2513202.25,2360709.0,1,0
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,keyboard1-airplane2,dot,2513202.25,2739640.75,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,keyboard8-airplane2,dot,2513202.25,2512505.0,1,0
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,clock8-airplane2,dot,2513202.25,2408757.0,1,0
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,knife9-airplane2,dot,2513202.25,2158517.5,1,0
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,elephant9-airplane2,dot,2513202.25,2430191.5,1,0
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-car2,elephant1-airplane2,dot,2513202.25,2836049.75,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,cat7-airplane2,dot,2189195.0,2331137.75,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,cat5-airplane2,dot,2189195.0,2360428.0,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,car7-airplane2,dot,2189195.0,2633270.75,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,dog2-airplane2,dot,2189195.0,2365732.0,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,boat9-airplane2,dot,2189195.0,2474542.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,boat3-airplane2,dot,2189195.0,2642300.25,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,boat6-airplane2,dot,2189195.0,2403119.25,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,oven10-airplane2,dot,2189195.0,2859182.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,chair3-airplane2,dot,2189195.0,2684232.25,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,chair10-airplane2,dot,2189195.0,2486797.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,chair1-airplane2,dot,2189195.0,2463243.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,truck9-airplane2,dot,2189195.0,3012544.25,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,truck5-airplane2,dot,2189195.0,2696257.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,bird6-airplane2,dot,2189195.0,2567125.0,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,bird1-airplane2,dot,2189195.0,2295702.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,bicycle9-airplane2,dot,2189195.0,2598756.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,bicycle1-airplane2,dot,2189195.0,2592728.0,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,bicycle6-airplane2,dot,2189195.0,2587167.75,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,bicycle10-airplane2,dot,2189195.0,2625810.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,bottle3-airplane2,dot,2189195.0,2360709.0,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,keyboard1-airplane2,dot,2189195.0,2739640.75,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,keyboard8-airplane2,dot,2189195.0,2512505.0,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,clock8-airplane2,dot,2189195.0,2408757.0,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,knife9-airplane2,dot,2189195.0,2158517.5,1,0
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,elephant9-airplane2,dot,2189195.0,2430191.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-knife3,elephant1-airplane2,dot,2189195.0,2836049.75,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,cat7-airplane2,dot,2329928.0,2331137.75,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,cat5-airplane2,dot,2329928.0,2360428.0,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,car7-airplane2,dot,2329928.0,2633270.75,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,dog2-airplane2,dot,2329928.0,2365732.0,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,boat9-airplane2,dot,2329928.0,2474542.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,boat3-airplane2,dot,2329928.0,2642300.25,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,boat6-airplane2,dot,2329928.0,2403119.25,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,oven10-airplane2,dot,2329928.0,2859182.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,chair3-airplane2,dot,2329928.0,2684232.25,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,chair10-airplane2,dot,2329928.0,2486797.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,chair1-airplane2,dot,2329928.0,2463243.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,truck9-airplane2,dot,2329928.0,3012544.25,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,truck5-airplane2,dot,2329928.0,2696257.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,bird6-airplane2,dot,2329928.0,2567125.0,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,bird1-airplane2,dot,2329928.0,2295702.5,1,0
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,bicycle9-airplane2,dot,2329928.0,2598756.5,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,bicycle1-airplane2,dot,2329928.0,2592728.0,0,1
resnet50_random,oven9-airplane2,oven9,airplane2,oven9-chair1,bicycle6-airplane2,dot,2329928.0,2587167.75,0,1
