Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,car5-cat1,dot,1002729.625,962481.25,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,car9-cat1,dot,1002729.625,909308.0625,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,car8-cat1,dot,1002729.625,956277.125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,dog2-cat1,dot,1002729.625,858314.9375,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,dog9-cat1,dot,1002729.625,885024.75,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,dog6-cat1,dot,1002729.625,965020.8125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,bear3-cat1,dot,1002729.625,990782.125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,boat6-cat1,dot,1002729.625,896029.0,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,boat10-cat1,dot,1002729.625,918683.1875,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,oven7-cat1,dot,1002729.625,920375.8125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,oven1-cat1,dot,1002729.625,860331.6875,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,chair10-cat1,dot,1002729.625,918126.25,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,chair7-cat1,dot,1002729.625,982287.625,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,truck1-cat1,dot,1002729.625,940163.3125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,bird10-cat1,dot,1002729.625,913078.5,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,bird3-cat1,dot,1002729.625,827777.25,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,airplane3-cat1,dot,1002729.625,822719.75,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,airplane2-cat1,dot,1002729.625,824211.375,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,bicycle4-cat1,dot,1002729.625,954855.8125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,bicycle5-cat1,dot,1002729.625,866529.3125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,bicycle7-cat1,dot,1002729.625,890492.8125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,bicycle6-cat1,dot,1002729.625,893497.75,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,bottle5-cat1,dot,1002729.625,924264.3125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,keyboard5-cat1,dot,1002729.625,919657.9375,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,keyboard3-cat1,dot,1002729.625,850904.875,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,keyboard9-cat1,dot,1002729.625,932263.0,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,clock3-cat1,dot,1002729.625,868963.875,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,clock9-cat1,dot,1002729.625,897018.4375,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,clock8-cat1,dot,1002729.625,872951.8125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,clock10-cat1,dot,1002729.625,888929.125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,knife3-cat1,dot,1002729.625,785049.875,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,elephant7-cat1,dot,1002729.625,930121.0625,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,elephant8-cat1,dot,1002729.625,918331.4375,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bird2,elephant2-cat1,dot,1002729.625,942753.75,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,car5-cat1,dot,1131482.25,962481.25,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,car9-cat1,dot,1131482.25,909308.0625,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,car8-cat1,dot,1131482.25,956277.125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,dog2-cat1,dot,1131482.25,858314.9375,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,dog9-cat1,dot,1131482.25,885024.75,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,dog6-cat1,dot,1131482.25,965020.8125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,bear3-cat1,dot,1131482.25,990782.125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,boat6-cat1,dot,1131482.25,896029.0,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,boat10-cat1,dot,1131482.25,918683.1875,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,oven7-cat1,dot,1131482.25,920375.8125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,oven1-cat1,dot,1131482.25,860331.6875,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,chair10-cat1,dot,1131482.25,918126.25,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,chair7-cat1,dot,1131482.25,982287.625,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,truck1-cat1,dot,1131482.25,940163.3125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,bird10-cat1,dot,1131482.25,913078.5,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,bird3-cat1,dot,1131482.25,827777.25,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,airplane3-cat1,dot,1131482.25,822719.75,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,airplane2-cat1,dot,1131482.25,824211.375,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,bicycle4-cat1,dot,1131482.25,954855.8125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,bicycle5-cat1,dot,1131482.25,866529.3125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,bicycle7-cat1,dot,1131482.25,890492.8125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,bicycle6-cat1,dot,1131482.25,893497.75,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,bottle5-cat1,dot,1131482.25,924264.3125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,keyboard5-cat1,dot,1131482.25,919657.9375,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,keyboard3-cat1,dot,1131482.25,850904.875,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,keyboard9-cat1,dot,1131482.25,932263.0,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,clock3-cat1,dot,1131482.25,868963.875,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,clock9-cat1,dot,1131482.25,897018.4375,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,clock8-cat1,dot,1131482.25,872951.8125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,clock10-cat1,dot,1131482.25,888929.125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,knife3-cat1,dot,1131482.25,785049.875,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,elephant7-cat1,dot,1131482.25,930121.0625,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,elephant8-cat1,dot,1131482.25,918331.4375,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bear3,elephant2-cat1,dot,1131482.25,942753.75,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bicycle1,car5-cat1,dot,1597753.875,962481.25,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bicycle1,car9-cat1,dot,1597753.875,909308.0625,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bicycle1,car8-cat1,dot,1597753.875,956277.125,1,0
resnet50_random,truck3-cat1,truck3,cat1,truck3-bicycle1,dog2-cat1,dot,1597753.875,858314.9375,1,0
