Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,cat7-clock3,dot,2485897.0,2031390.0,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,cat6-clock3,dot,2485897.0,2220246.0,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,boat3-clock3,dot,2485897.0,2193565.5,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,boat7-clock3,dot,2485897.0,2290044.25,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,boat5-clock3,dot,2485897.0,2273014.75,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,oven3-clock3,dot,2485897.0,2074395.875,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,oven1-clock3,dot,2485897.0,1776511.75,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,chair7-clock3,dot,2485897.0,2172486.0,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,chair8-clock3,dot,2485897.0,2432993.5,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,truck1-clock3,dot,2485897.0,1971739.75,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,truck3-clock3,dot,2485897.0,2066921.625,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,bird2-clock3,dot,2485897.0,2229298.5,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,bird1-clock3,dot,2485897.0,2246428.75,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,airplane7-clock3,dot,2485897.0,2362540.0,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,bicycle8-clock3,dot,2485897.0,2516941.75,0,1
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,bicycle7-clock3,dot,2485897.0,2512705.5,0,1
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,bicycle1-clock3,dot,2485897.0,2563380.25,0,1
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,bicycle4-clock3,dot,2485897.0,2534845.0,0,1
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,bottle5-clock3,dot,2485897.0,2407045.75,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,keyboard7-clock3,dot,2485897.0,2110499.0,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,keyboard3-clock3,dot,2485897.0,2315162.5,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,knife4-clock3,dot,2485897.0,2275148.0,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,elephant4-clock3,dot,2485897.0,2124204.0,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-boat2,elephant9-clock3,dot,2485897.0,2048630.25,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,cat7-clock3,dot,2507256.75,2031390.0,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,cat6-clock3,dot,2507256.75,2220246.0,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,boat3-clock3,dot,2507256.75,2193565.5,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,boat7-clock3,dot,2507256.75,2290044.25,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,boat5-clock3,dot,2507256.75,2273014.75,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,oven3-clock3,dot,2507256.75,2074395.875,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,oven1-clock3,dot,2507256.75,1776511.75,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,chair7-clock3,dot,2507256.75,2172486.0,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,chair8-clock3,dot,2507256.75,2432993.5,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,truck1-clock3,dot,2507256.75,1971739.75,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,truck3-clock3,dot,2507256.75,2066921.625,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,bird2-clock3,dot,2507256.75,2229298.5,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,bird1-clock3,dot,2507256.75,2246428.75,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,airplane7-clock3,dot,2507256.75,2362540.0,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,bicycle8-clock3,dot,2507256.75,2516941.75,0,1
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,bicycle7-clock3,dot,2507256.75,2512705.5,0,1
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,bicycle1-clock3,dot,2507256.75,2563380.25,0,1
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,bicycle4-clock3,dot,2507256.75,2534845.0,0,1
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,bottle5-clock3,dot,2507256.75,2407045.75,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,keyboard7-clock3,dot,2507256.75,2110499.0,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,keyboard3-clock3,dot,2507256.75,2315162.5,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,knife4-clock3,dot,2507256.75,2275148.0,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,elephant4-clock3,dot,2507256.75,2124204.0,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-car3,elephant9-clock3,dot,2507256.75,2048630.25,1,0
resnet50_random,bear4-clock3,bear4,clock3,bear4-elephant2,cat7-clock3,dot,1744564.75,2031390.0,0,1
resnet50_random,bear4-clock3,bear4,clock3,bear4-elephant2,cat6-clock3,dot,1744564.75,2220246.0,0,1
resnet50_random,bear4-clock3,bear4,clock3,bear4-elephant2,boat3-clock3,dot,1744564.75,2193565.5,0,1
resnet50_random,bear4-clock3,bear4,clock3,bear4-elephant2,boat7-clock3,dot,1744564.75,2290044.25,0,1
resnet50_random,bear4-clock3,bear4,clock3,bear4-elephant2,boat5-clock3,dot,1744564.75,2273014.75,0,1
resnet50_random,bear4-clock3,bear4,clock3,bear4-elephant2,oven3-clock3,dot,1744564.75,2074395.875,0,1
