Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,cat4-knife1,dot,2385241.5,2130215.0,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,car9-knife1,dot,2385241.5,2034582.625,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,car6-knife1,dot,2385241.5,1898885.5,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,boat8-knife1,dot,2385241.5,2088674.0,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,oven3-knife1,dot,2385241.5,2045198.375,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,chair3-knife1,dot,2385241.5,2165704.75,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,chair2-knife1,dot,2385241.5,2170719.5,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,truck1-knife1,dot,2385241.5,1784141.625,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,truck4-knife1,dot,2385241.5,2114353.25,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,bird2-knife1,dot,2385241.5,2132074.0,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,airplane5-knife1,dot,2385241.5,2146494.75,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,airplane6-knife1,dot,2385241.5,2097329.75,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,airplane4-knife1,dot,2385241.5,2115993.0,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,bottle8-knife1,dot,2385241.5,2167957.5,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,bottle5-knife1,dot,2385241.5,2218287.5,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,keyboard7-knife1,dot,2385241.5,2113245.0,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,keyboard2-knife1,dot,2385241.5,1860532.0,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,clock4-knife1,dot,2385241.5,1885034.5,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,clock2-knife1,dot,2385241.5,1786876.5,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,clock8-knife1,dot,2385241.5,1940124.375,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-boat2,elephant3-knife1,dot,2385241.5,2094751.75,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,cat4-knife1,dot,2405643.25,2130215.0,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,car9-knife1,dot,2405643.25,2034582.625,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,car6-knife1,dot,2405643.25,1898885.5,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,boat8-knife1,dot,2405643.25,2088674.0,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,oven3-knife1,dot,2405643.25,2045198.375,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,chair3-knife1,dot,2405643.25,2165704.75,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,chair2-knife1,dot,2405643.25,2170719.5,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,truck1-knife1,dot,2405643.25,1784141.625,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,truck4-knife1,dot,2405643.25,2114353.25,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,bird2-knife1,dot,2405643.25,2132074.0,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,airplane5-knife1,dot,2405643.25,2146494.75,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,airplane6-knife1,dot,2405643.25,2097329.75,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,airplane4-knife1,dot,2405643.25,2115993.0,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,bottle8-knife1,dot,2405643.25,2167957.5,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,bottle5-knife1,dot,2405643.25,2218287.5,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,keyboard7-knife1,dot,2405643.25,2113245.0,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,keyboard2-knife1,dot,2405643.25,1860532.0,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,clock4-knife1,dot,2405643.25,1885034.5,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,clock2-knife1,dot,2405643.25,1786876.5,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,clock8-knife1,dot,2405643.25,1940124.375,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-car3,elephant3-knife1,dot,2405643.25,2094751.75,1,0
resnet50_random,bear4-knife1,bear4,knife1,bear4-elephant2,cat4-knife1,dot,1673854.75,2130215.0,0,1
resnet50_random,bear4-knife1,bear4,knife1,bear4-elephant2,car9-knife1,dot,1673854.75,2034582.625,0,1
resnet50_random,bear4-knife1,bear4,knife1,bear4-elephant2,car6-knife1,dot,1673854.75,1898885.5,0,1
resnet50_random,bear4-knife1,bear4,knife1,bear4-elephant2,boat8-knife1,dot,1673854.75,2088674.0,0,1
resnet50_random,bear4-knife1,bear4,knife1,bear4-elephant2,oven3-knife1,dot,1673854.75,2045198.375,0,1
resnet50_random,bear4-knife1,bear4,knife1,bear4-elephant2,chair3-knife1,dot,1673854.75,2165704.75,0,1
resnet50_random,bear4-knife1,bear4,knife1,bear4-elephant2,chair2-knife1,dot,1673854.75,2170719.5,0,1
resnet50_random,bear4-knife1,bear4,knife1,bear4-elephant2,truck1-knife1,dot,1673854.75,1784141.625,0,1
resnet50_random,bear4-knife1,bear4,knife1,bear4-elephant2,truck4-knife1,dot,1673854.75,2114353.25,0,1
resnet50_random,bear4-knife1,bear4,knife1,bear4-elephant2,bird2-knife1,dot,1673854.75,2132074.0,0,1
resnet50_random,bear4-knife1,bear4,knife1,bear4-elephant2,airplane5-knife1,dot,1673854.75,2146494.75,0,1
resnet50_random,bear4-knife1,bear4,knife1,bear4-elephant2,airplane6-knife1,dot,1673854.75,2097329.75,0,1
