Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,cat3-oven2,dot,2098887.0,1701033.875,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,cat10-oven2,dot,2098887.0,1638809.5,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,car7-oven2,dot,2098887.0,1623799.375,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,car5-oven2,dot,2098887.0,1639036.25,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,car4-oven2,dot,2098887.0,1693377.5,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,dog10-oven2,dot,2098887.0,1797626.25,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,dog7-oven2,dot,2098887.0,1745213.25,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,chair4-oven2,dot,2098887.0,1673082.25,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,chair5-oven2,dot,2098887.0,1676772.25,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,truck7-oven2,dot,2098887.0,1365185.5,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,truck3-oven2,dot,2098887.0,1523652.25,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,truck4-oven2,dot,2098887.0,1785930.5,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,airplane10-oven2,dot,2098887.0,1692778.25,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,airplane8-oven2,dot,2098887.0,1628118.5,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,airplane9-oven2,dot,2098887.0,1710567.875,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,bottle7-oven2,dot,2098887.0,1613683.0,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,bottle5-oven2,dot,2098887.0,1753985.375,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,bottle4-oven2,dot,2098887.0,1738594.25,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,bottle9-oven2,dot,2098887.0,1654859.0,1,0
resnet50_random,bear4-oven2,bear4,oven2,bear4-boat2,keyboard4-oven2,dot,2098887.0,1473927.5,1,0
