Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,cat5-dog3,dot,2724280.5,2153695.0,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,cat4-dog3,dot,2724280.5,2515107.0,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,cat7-dog3,dot,2724280.5,2130933.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,car7-dog3,dot,2724280.5,2427706.0,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,bear3-dog3,dot,2724280.5,2094190.25,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,bear7-dog3,dot,2724280.5,1849880.875,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,boat8-dog3,dot,2724280.5,2329599.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,boat3-dog3,dot,2724280.5,2272652.75,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,oven2-dog3,dot,2724280.5,1835595.75,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,oven5-dog3,dot,2724280.5,2256441.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,oven1-dog3,dot,2724280.5,1750302.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,truck5-dog3,dot,2724280.5,2154518.75,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,truck3-dog3,dot,2724280.5,2138489.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,truck8-dog3,dot,2724280.5,2289349.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,bird4-dog3,dot,2724280.5,2396318.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,airplane10-dog3,dot,2724280.5,2559117.0,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,airplane5-dog3,dot,2724280.5,2419087.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,bicycle10-dog3,dot,2724280.5,2480133.75,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,bottle6-dog3,dot,2724280.5,2491584.0,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,keyboard1-dog3,dot,2724280.5,2341786.75,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,keyboard8-dog3,dot,2724280.5,2130852.0,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,keyboard5-dog3,dot,2724280.5,2035187.625,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,clock10-dog3,dot,2724280.5,2480524.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-clock2,elephant9-dog3,dot,2724280.5,2096432.0,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,cat5-dog3,dot,2483097.25,2153695.0,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,cat4-dog3,dot,2483097.25,2515107.0,0,1
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,cat7-dog3,dot,2483097.25,2130933.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,car7-dog3,dot,2483097.25,2427706.0,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,bear3-dog3,dot,2483097.25,2094190.25,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,bear7-dog3,dot,2483097.25,1849880.875,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,boat8-dog3,dot,2483097.25,2329599.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,boat3-dog3,dot,2483097.25,2272652.75,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,oven2-dog3,dot,2483097.25,1835595.75,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,oven5-dog3,dot,2483097.25,2256441.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,oven1-dog3,dot,2483097.25,1750302.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,truck5-dog3,dot,2483097.25,2154518.75,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,truck3-dog3,dot,2483097.25,2138489.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,truck8-dog3,dot,2483097.25,2289349.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,bird4-dog3,dot,2483097.25,2396318.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,airplane10-dog3,dot,2483097.25,2559117.0,0,1
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,airplane5-dog3,dot,2483097.25,2419087.5,1,0
resnet50_random,bicycle1-dog3,bicycle1,dog3,bicycle10-boat3,bicycle10-dog3,dot,2483097.25,2480133.75,1,0
