Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,cat6-keyboard3,dot,1466811.75,1072490.25,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,cat1-keyboard3,dot,1466811.75,1126898.5,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,cat5-keyboard3,dot,1466811.75,929776.0,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,car5-keyboard3,dot,1466811.75,1093209.25,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,car7-keyboard3,dot,1466811.75,1105602.0,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,dog8-keyboard3,dot,1466811.75,1067225.375,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,dog7-keyboard3,dot,1466811.75,1132255.375,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,bear4-keyboard3,dot,1466811.75,1030624.75,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,bear10-keyboard3,dot,1466811.75,1180020.5,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,bear9-keyboard3,dot,1466811.75,1148904.5,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,boat1-keyboard3,dot,1466811.75,942964.0,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,boat7-keyboard3,dot,1466811.75,913108.9375,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,oven8-keyboard3,dot,1466811.75,1053156.25,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,oven4-keyboard3,dot,1466811.75,947754.875,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,chair8-keyboard3,dot,1466811.75,934754.875,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,truck3-keyboard3,dot,1466811.75,991088.625,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,truck7-keyboard3,dot,1466811.75,855643.625,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,bird7-keyboard3,dot,1466811.75,982352.625,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,airplane4-keyboard3,dot,1466811.75,1015992.125,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,airplane6-keyboard3,dot,1466811.75,1010334.25,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,bicycle5-keyboard3,dot,1466811.75,1000295.8125,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,bicycle4-keyboard3,dot,1466811.75,1079587.75,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,bicycle9-keyboard3,dot,1466811.75,1071164.75,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,bottle1-keyboard3,dot,1466811.75,1085604.5,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,bottle8-keyboard3,dot,1466811.75,1134411.0,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,clock3-keyboard3,dot,1466811.75,876804.5,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,knife5-keyboard3,dot,1466811.75,1039001.0,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,knife1-keyboard3,dot,1466811.75,903065.625,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,knife10-keyboard3,dot,1466811.75,1024481.875,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,knife3-keyboard3,dot,1466811.75,928350.4375,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,elephant2-keyboard3,dot,1466811.75,1164851.375,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,elephant1-keyboard3,dot,1466811.75,1167926.75,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird1-oven1,elephant7-keyboard3,dot,1466811.75,1184158.0,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,cat6-keyboard3,dot,1333257.25,1072490.25,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,cat1-keyboard3,dot,1333257.25,1126898.5,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,cat5-keyboard3,dot,1333257.25,929776.0,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,car5-keyboard3,dot,1333257.25,1093209.25,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,car7-keyboard3,dot,1333257.25,1105602.0,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,dog8-keyboard3,dot,1333257.25,1067225.375,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,dog7-keyboard3,dot,1333257.25,1132255.375,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,bear4-keyboard3,dot,1333257.25,1030624.75,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,bear10-keyboard3,dot,1333257.25,1180020.5,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,bear9-keyboard3,dot,1333257.25,1148904.5,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,boat1-keyboard3,dot,1333257.25,942964.0,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,boat7-keyboard3,dot,1333257.25,913108.9375,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,oven8-keyboard3,dot,1333257.25,1053156.25,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,oven4-keyboard3,dot,1333257.25,947754.875,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,chair8-keyboard3,dot,1333257.25,934754.875,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,truck3-keyboard3,dot,1333257.25,991088.625,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,truck7-keyboard3,dot,1333257.25,855643.625,1,0
resnet50_random,bird1-keyboard3,bird1,keyboard3,bird10-cat1,bird7-keyboard3,dot,1333257.25,982352.625,1,0
