Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,cat7-clock3,dot,2159835.5,1974704.5,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,cat6-clock3,dot,2159835.5,2157894.0,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,bear4-clock3,dot,2159835.5,2229298.5,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,boat3-clock3,dot,2159835.5,2131896.5,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,boat7-clock3,dot,2159835.5,2225355.5,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,boat5-clock3,dot,2159835.5,2209016.5,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,oven3-clock3,dot,2159835.5,2016758.375,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,oven1-clock3,dot,2159835.5,1727110.125,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,chair7-clock3,dot,2159835.5,2111990.25,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,chair8-clock3,dot,2159835.5,2364140.0,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,truck1-clock3,dot,2159835.5,1916150.5,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,truck3-clock3,dot,2159835.5,2008781.75,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,bird1-clock3,dot,2159835.5,2183231.5,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,airplane7-clock3,dot,2159835.5,2295692.75,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,bicycle8-clock3,dot,2159835.5,2445705.5,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,bicycle7-clock3,dot,2159835.5,2441664.0,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,bicycle1-clock3,dot,2159835.5,2491132.25,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,bicycle4-clock3,dot,2159835.5,2463282.25,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,bottle5-clock3,dot,2159835.5,2339007.25,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,keyboard7-clock3,dot,2159835.5,2051231.0,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,keyboard3-clock3,dot,2159835.5,2249402.0,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,knife4-clock3,dot,2159835.5,2210633.75,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,elephant4-clock3,dot,2159835.5,2064605.0,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-knife1,elephant9-clock3,dot,2159835.5,1991201.875,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,cat7-clock3,dot,1709977.375,1974704.5,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,cat6-clock3,dot,1709977.375,2157894.0,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,bear4-clock3,dot,1709977.375,2229298.5,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,boat3-clock3,dot,1709977.375,2131896.5,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,boat7-clock3,dot,1709977.375,2225355.5,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,boat5-clock3,dot,1709977.375,2209016.5,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,oven3-clock3,dot,1709977.375,2016758.375,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,oven1-clock3,dot,1709977.375,1727110.125,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,chair7-clock3,dot,1709977.375,2111990.25,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,chair8-clock3,dot,1709977.375,2364140.0,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,truck1-clock3,dot,1709977.375,1916150.5,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,truck3-clock3,dot,1709977.375,2008781.75,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,bird1-clock3,dot,1709977.375,2183231.5,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,airplane7-clock3,dot,1709977.375,2295692.75,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,bicycle8-clock3,dot,1709977.375,2445705.5,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,bicycle7-clock3,dot,1709977.375,2441664.0,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,bicycle1-clock3,dot,1709977.375,2491132.25,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,bicycle4-clock3,dot,1709977.375,2463282.25,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,bottle5-clock3,dot,1709977.375,2339007.25,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,keyboard7-clock3,dot,1709977.375,2051231.0,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,keyboard3-clock3,dot,1709977.375,2249402.0,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,knife4-clock3,dot,1709977.375,2210633.75,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,elephant4-clock3,dot,1709977.375,2064605.0,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-dog2,elephant9-clock3,dot,1709977.375,1991201.875,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,cat7-clock3,dot,2422652.75,1974704.5,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,cat6-clock3,dot,2422652.75,2157894.0,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,bear4-clock3,dot,2422652.75,2229298.5,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,boat3-clock3,dot,2422652.75,2131896.5,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,boat7-clock3,dot,2422652.75,2225355.5,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,boat5-clock3,dot,2422652.75,2209016.5,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,oven3-clock3,dot,2422652.75,2016758.375,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,oven1-clock3,dot,2422652.75,1727110.125,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,chair7-clock3,dot,2422652.75,2111990.25,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,chair8-clock3,dot,2422652.75,2364140.0,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,truck1-clock3,dot,2422652.75,1916150.5,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,truck3-clock3,dot,2422652.75,2008781.75,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,bird1-clock3,dot,2422652.75,2183231.5,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,airplane7-clock3,dot,2422652.75,2295692.75,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,bicycle8-clock3,dot,2422652.75,2445705.5,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,bicycle7-clock3,dot,2422652.75,2441664.0,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,bicycle1-clock3,dot,2422652.75,2491132.25,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,bicycle4-clock3,dot,2422652.75,2463282.25,0,1
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,bottle5-clock3,dot,2422652.75,2339007.25,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,keyboard7-clock3,dot,2422652.75,2051231.0,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,keyboard3-clock3,dot,2422652.75,2249402.0,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,knife4-clock3,dot,2422652.75,2210633.75,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,elephant4-clock3,dot,2422652.75,2064605.0,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-car3,elephant9-clock3,dot,2422652.75,1991201.875,1,0
resnet50_random,bird2-clock3,bird2,clock3,bird2-airplane3,cat7-clock3,dot,2174986.25,1974704.5,1,0
