Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,cat2-car3,dot,2573980.75,2701091.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,dog10-car3,dot,2573980.75,2882138.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,dog5-car3,dot,2573980.75,2702153.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,bear4-car3,dot,2573980.75,2795648.25,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,boat3-car3,dot,2573980.75,2758364.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,boat4-car3,dot,2573980.75,2669395.75,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,boat5-car3,dot,2573980.75,2777104.25,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,oven7-car3,dot,2573980.75,2556485.5,1,0
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,chair3-car3,dot,2573980.75,2846763.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,truck10-car3,dot,2573980.75,2585340.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,truck1-car3,dot,2573980.75,2584720.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,truck3-car3,dot,2573980.75,2629047.75,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,truck2-car3,dot,2573980.75,2750234.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,bird2-car3,dot,2573980.75,2778970.25,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,airplane10-car3,dot,2573980.75,2893655.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,bicycle5-car3,dot,2573980.75,2924743.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,bottle9-car3,dot,2573980.75,2829498.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,bottle4-car3,dot,2573980.75,2884319.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,keyboard1-car3,dot,2573980.75,2780887.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,keyboard7-car3,dot,2573980.75,2696603.75,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,knife1-car3,dot,2573980.75,2785597.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,knife2-car3,dot,2573980.75,2748770.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,elephant7-car3,dot,2573980.75,2837734.75,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,elephant6-car3,dot,2573980.75,2563617.5,1,0
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,elephant1-car3,dot,2573980.75,2767141.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-truck2,elephant4-car3,dot,2573980.75,2696277.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,cat2-car3,dot,2556198.5,2701091.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,dog10-car3,dot,2556198.5,2882138.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,dog5-car3,dot,2556198.5,2702153.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,bear4-car3,dot,2556198.5,2795648.25,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,boat3-car3,dot,2556198.5,2758364.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,boat4-car3,dot,2556198.5,2669395.75,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,boat5-car3,dot,2556198.5,2777104.25,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,oven7-car3,dot,2556198.5,2556485.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,chair3-car3,dot,2556198.5,2846763.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,truck10-car3,dot,2556198.5,2585340.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,truck1-car3,dot,2556198.5,2584720.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,truck3-car3,dot,2556198.5,2629047.75,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,truck2-car3,dot,2556198.5,2750234.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,bird2-car3,dot,2556198.5,2778970.25,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,airplane10-car3,dot,2556198.5,2893655.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,bicycle5-car3,dot,2556198.5,2924743.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,bottle9-car3,dot,2556198.5,2829498.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,bottle4-car3,dot,2556198.5,2884319.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,keyboard1-car3,dot,2556198.5,2780887.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,keyboard7-car3,dot,2556198.5,2696603.75,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,knife1-car3,dot,2556198.5,2785597.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,knife2-car3,dot,2556198.5,2748770.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,elephant7-car3,dot,2556198.5,2837734.75,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,elephant6-car3,dot,2556198.5,2563617.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,elephant1-car3,dot,2556198.5,2767141.0,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-oven1,elephant4-car3,dot,2556198.5,2696277.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-elephant2,cat2-car3,dot,1937643.25,2701091.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-elephant2,dog10-car3,dot,1937643.25,2882138.5,0,1
resnet50_random,bird6-car3,bird6,car3,bird6-elephant2,dog5-car3,dot,1937643.25,2702153.0,0,1
