Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,cat2-car3,dot,2637161.5,2630106.25,1,0
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,dog10-car3,dot,2637161.5,2806244.25,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,dog5-car3,dot,2637161.5,2631107.75,1,0
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,bear4-car3,dot,2637161.5,2721815.5,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,boat3-car3,dot,2637161.5,2686157.75,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,boat4-car3,dot,2637161.5,2599615.5,1,0
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,oven7-car3,dot,2637161.5,2489252.25,1,0
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,chair3-car3,dot,2637161.5,2772053.75,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,truck10-car3,dot,2637161.5,2518118.0,1,0
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,truck1-car3,dot,2637161.5,2516823.5,1,0
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,truck3-car3,dot,2637161.5,2560010.75,1,0
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,truck2-car3,dot,2637161.5,2677469.25,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,bird6-car3,dot,2637161.5,2777104.25,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,bird2-car3,dot,2637161.5,2705751.0,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,airplane10-car3,dot,2637161.5,2817217.25,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,bicycle5-car3,dot,2637161.5,2847926.75,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,bottle9-car3,dot,2637161.5,2755052.0,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,bottle4-car3,dot,2637161.5,2808567.75,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,keyboard1-car3,dot,2637161.5,2706978.5,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,keyboard7-car3,dot,2637161.5,2625297.0,1,0
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,knife1-car3,dot,2637161.5,2712547.75,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,knife2-car3,dot,2637161.5,2676829.5,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,elephant7-car3,dot,2637161.5,2763091.5,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,elephant6-car3,dot,2637161.5,2495999.5,1,0
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,elephant1-car3,dot,2637161.5,2694036.25,0,1
resnet50_random,boat5-car3,boat5,car3,boat5-bicycle3,elephant4-car3,dot,2637161.5,2625195.0,1,0
resnet50_random,boat5-car3,boat5,car3,boat5-airplane1,cat2-car3,dot,2826691.0,2630106.25,1,0
resnet50_random,boat5-car3,boat5,car3,boat5-airplane1,dog10-car3,dot,2826691.0,2806244.25,1,0
resnet50_random,boat5-car3,boat5,car3,boat5-airplane1,dog5-car3,dot,2826691.0,2631107.75,1,0
