Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,car4-cat3,dot,1970887.5,1564071.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,car2-cat3,dot,1970887.5,1387971.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,dog4-cat3,dot,1970887.5,1656558.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,dog1-cat3,dot,1970887.5,1383986.375,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,bear4-cat3,dot,1970887.5,1603532.625,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,bear6-cat3,dot,1970887.5,1419434.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,boat3-cat3,dot,1970887.5,1494643.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,boat9-cat3,dot,1970887.5,1541019.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,oven8-cat3,dot,1970887.5,1308533.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,chair5-cat3,dot,1970887.5,1596900.125,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,chair1-cat3,dot,1970887.5,1574939.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,truck5-cat3,dot,1970887.5,1482118.375,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,bird7-cat3,dot,1970887.5,1626418.75,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,bird4-cat3,dot,1970887.5,1602992.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,airplane7-cat3,dot,1970887.5,1692569.0,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,airplane4-cat3,dot,1970887.5,1674110.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,bicycle9-cat3,dot,1970887.5,1647375.75,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,bottle1-cat3,dot,1970887.5,1645002.0,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,bottle3-cat3,dot,1970887.5,1633223.0,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,keyboard8-cat3,dot,1970887.5,1409100.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-elephant3,knife2-cat3,dot,1970887.5,1596158.75,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,car4-cat3,dot,2003707.0,1564071.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,car2-cat3,dot,2003707.0,1387971.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,dog4-cat3,dot,2003707.0,1656558.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,dog1-cat3,dot,2003707.0,1383986.375,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,bear4-cat3,dot,2003707.0,1603532.625,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,bear6-cat3,dot,2003707.0,1419434.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,boat3-cat3,dot,2003707.0,1494643.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,boat9-cat3,dot,2003707.0,1541019.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,oven8-cat3,dot,2003707.0,1308533.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,chair5-cat3,dot,2003707.0,1596900.125,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,chair1-cat3,dot,2003707.0,1574939.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,truck5-cat3,dot,2003707.0,1482118.375,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,bird7-cat3,dot,2003707.0,1626418.75,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,bird4-cat3,dot,2003707.0,1602992.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,airplane7-cat3,dot,2003707.0,1692569.0,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,airplane4-cat3,dot,2003707.0,1674110.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,bicycle9-cat3,dot,2003707.0,1647375.75,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,bottle1-cat3,dot,2003707.0,1645002.0,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,bottle3-cat3,dot,2003707.0,1633223.0,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,keyboard8-cat3,dot,2003707.0,1409100.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-bottle1,knife2-cat3,dot,2003707.0,1596158.75,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,car4-cat3,dot,1770228.5,1564071.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,car2-cat3,dot,1770228.5,1387971.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,dog4-cat3,dot,1770228.5,1656558.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,dog1-cat3,dot,1770228.5,1383986.375,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,bear4-cat3,dot,1770228.5,1603532.625,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,bear6-cat3,dot,1770228.5,1419434.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,boat3-cat3,dot,1770228.5,1494643.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,boat9-cat3,dot,1770228.5,1541019.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,oven8-cat3,dot,1770228.5,1308533.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,chair5-cat3,dot,1770228.5,1596900.125,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,chair1-cat3,dot,1770228.5,1574939.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,truck5-cat3,dot,1770228.5,1482118.375,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,bird7-cat3,dot,1770228.5,1626418.75,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,bird4-cat3,dot,1770228.5,1602992.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,airplane7-cat3,dot,1770228.5,1692569.0,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,airplane4-cat3,dot,1770228.5,1674110.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,bicycle9-cat3,dot,1770228.5,1647375.75,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,bottle1-cat3,dot,1770228.5,1645002.0,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,bottle3-cat3,dot,1770228.5,1633223.0,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,keyboard8-cat3,dot,1770228.5,1409100.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-truck2,knife2-cat3,dot,1770228.5,1596158.75,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,car4-cat3,dot,1653770.5,1564071.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,car2-cat3,dot,1653770.5,1387971.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,dog4-cat3,dot,1653770.5,1656558.25,0,1
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,dog1-cat3,dot,1653770.5,1383986.375,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,bear4-cat3,dot,1653770.5,1603532.625,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,bear6-cat3,dot,1653770.5,1419434.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,boat3-cat3,dot,1653770.5,1494643.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,boat9-cat3,dot,1653770.5,1541019.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,oven8-cat3,dot,1653770.5,1308533.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,chair5-cat3,dot,1653770.5,1596900.125,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,chair1-cat3,dot,1653770.5,1574939.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,truck5-cat3,dot,1653770.5,1482118.375,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,bird7-cat3,dot,1653770.5,1626418.75,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,bird4-cat3,dot,1653770.5,1602992.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,airplane7-cat3,dot,1653770.5,1692569.0,0,1
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,airplane4-cat3,dot,1653770.5,1674110.5,0,1
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,bicycle9-cat3,dot,1653770.5,1647375.75,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,bottle1-cat3,dot,1653770.5,1645002.0,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,bottle3-cat3,dot,1653770.5,1633223.0,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,keyboard8-cat3,dot,1653770.5,1409100.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-chair1,knife2-cat3,dot,1653770.5,1596158.75,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-clock3,car4-cat3,dot,1880761.0,1564071.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-clock3,car2-cat3,dot,1880761.0,1387971.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-clock3,dog4-cat3,dot,1880761.0,1656558.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-clock3,dog1-cat3,dot,1880761.0,1383986.375,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-clock3,bear4-cat3,dot,1880761.0,1603532.625,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-clock3,bear6-cat3,dot,1880761.0,1419434.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-clock3,boat3-cat3,dot,1880761.0,1494643.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-clock3,boat9-cat3,dot,1880761.0,1541019.5,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-clock3,oven8-cat3,dot,1880761.0,1308533.25,1,0
resnet50_random,boat7-cat3,boat7,cat3,boat7-clock3,chair5-cat3,dot,1880761.0,1596900.125,1,0
