Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,cat5-chair3,dot,2362272.0,1728674.625,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,cat6-chair3,dot,2362272.0,1863414.0,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,car1-chair3,dot,2362272.0,1662148.25,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,car6-chair3,dot,2362272.0,1692564.25,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,dog8-chair3,dot,2362272.0,2074747.5,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,boat3-chair3,dot,2362272.0,1936481.0,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,boat1-chair3,dot,2362272.0,1892557.0,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,oven6-chair3,dot,2362272.0,1832053.5,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,truck9-chair3,dot,2362272.0,1749772.125,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,airplane5-chair3,dot,2362272.0,2003589.25,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,airplane6-chair3,dot,2362272.0,2108967.0,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,airplane3-chair3,dot,2362272.0,2110095.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,bottle3-chair3,dot,2362272.0,2022831.25,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,keyboard7-chair3,dot,2362272.0,1790334.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,clock6-chair3,dot,2362272.0,1938999.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,clock9-chair3,dot,2362272.0,1794844.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,clock5-chair3,dot,2362272.0,1726633.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,knife6-chair3,dot,2362272.0,2043056.5,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,elephant4-chair3,dot,2362272.0,1814777.875,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-car2,elephant5-chair3,dot,2362272.0,1776973.625,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,cat5-chair3,dot,2126307.5,1728674.625,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,cat6-chair3,dot,2126307.5,1863414.0,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,car1-chair3,dot,2126307.5,1662148.25,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,car6-chair3,dot,2126307.5,1692564.25,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,dog8-chair3,dot,2126307.5,2074747.5,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,boat3-chair3,dot,2126307.5,1936481.0,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,boat1-chair3,dot,2126307.5,1892557.0,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,oven6-chair3,dot,2126307.5,1832053.5,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,truck9-chair3,dot,2126307.5,1749772.125,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,airplane5-chair3,dot,2126307.5,2003589.25,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,airplane6-chair3,dot,2126307.5,2108967.0,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,airplane3-chair3,dot,2126307.5,2110095.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,bottle3-chair3,dot,2126307.5,2022831.25,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,keyboard7-chair3,dot,2126307.5,1790334.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,clock6-chair3,dot,2126307.5,1938999.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,clock9-chair3,dot,2126307.5,1794844.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,clock5-chair3,dot,2126307.5,1726633.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,knife6-chair3,dot,2126307.5,2043056.5,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,elephant4-chair3,dot,2126307.5,1814777.875,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-knife3,elephant5-chair3,dot,2126307.5,1776973.625,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,cat5-chair3,dot,2284256.5,1728674.625,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,cat6-chair3,dot,2284256.5,1863414.0,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,car1-chair3,dot,2284256.5,1662148.25,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,car6-chair3,dot,2284256.5,1692564.25,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,dog8-chair3,dot,2284256.5,2074747.5,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,boat3-chair3,dot,2284256.5,1936481.0,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,boat1-chair3,dot,2284256.5,1892557.0,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,oven6-chair3,dot,2284256.5,1832053.5,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,truck9-chair3,dot,2284256.5,1749772.125,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,airplane5-chair3,dot,2284256.5,2003589.25,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,airplane6-chair3,dot,2284256.5,2108967.0,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,airplane3-chair3,dot,2284256.5,2110095.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,bottle3-chair3,dot,2284256.5,2022831.25,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,keyboard7-chair3,dot,2284256.5,1790334.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,clock6-chair3,dot,2284256.5,1938999.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,clock9-chair3,dot,2284256.5,1794844.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,clock5-chair3,dot,2284256.5,1726633.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,knife6-chair3,dot,2284256.5,2043056.5,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,elephant4-chair3,dot,2284256.5,1814777.875,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-clock1,elephant5-chair3,dot,2284256.5,1776973.625,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,cat5-chair3,dot,1815728.25,1728674.625,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,cat6-chair3,dot,1815728.25,1863414.0,0,1
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,car1-chair3,dot,1815728.25,1662148.25,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,car6-chair3,dot,1815728.25,1692564.25,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,dog8-chair3,dot,1815728.25,2074747.5,0,1
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,boat3-chair3,dot,1815728.25,1936481.0,0,1
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,boat1-chair3,dot,1815728.25,1892557.0,0,1
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,oven6-chair3,dot,1815728.25,1832053.5,0,1
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,truck9-chair3,dot,1815728.25,1749772.125,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,airplane5-chair3,dot,1815728.25,2003589.25,0,1
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,airplane6-chair3,dot,1815728.25,2108967.0,0,1
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,airplane3-chair3,dot,1815728.25,2110095.75,0,1
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,bottle3-chair3,dot,1815728.25,2022831.25,0,1
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,keyboard7-chair3,dot,1815728.25,1790334.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,clock6-chair3,dot,1815728.25,1938999.75,0,1
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,clock9-chair3,dot,1815728.25,1794844.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,clock5-chair3,dot,1815728.25,1726633.75,1,0
resnet50_random,bottle2-chair3,bottle2,chair3,bottle2-elephant1,knife6-chair3,dot,1815728.25,2043056.5,0,1
