Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,cat10-clock1,dot,2557550.0,2322526.5,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,car7-clock1,dot,2557550.0,2437079.25,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,car4-clock1,dot,2557550.0,2392319.0,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,dog3-clock1,dot,2557550.0,2504282.5,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,dog10-clock1,dot,2557550.0,2510608.0,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,dog6-clock1,dot,2557550.0,2413214.5,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,dog4-clock1,dot,2557550.0,2510380.0,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,bear6-clock1,dot,2557550.0,2252546.5,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,bear10-clock1,dot,2557550.0,2454435.75,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,bear7-clock1,dot,2557550.0,2045748.5,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,boat9-clock1,dot,2557550.0,2400554.25,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,chair10-clock1,dot,2557550.0,2457162.0,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,truck2-clock1,dot,2557550.0,2303988.5,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,truck10-clock1,dot,2557550.0,2195906.25,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,bird8-clock1,dot,2557550.0,2492691.5,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,bird4-clock1,dot,2557550.0,2436621.5,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,bird10-clock1,dot,2557550.0,2493478.75,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,airplane3-clock1,dot,2557550.0,2440082.0,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,airplane1-clock1,dot,2557550.0,2492552.5,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,airplane9-clock1,dot,2557550.0,2576338.0,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,bottle1-clock1,dot,2557550.0,2458605.75,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,bottle7-clock1,dot,2557550.0,2415279.0,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,keyboard2-clock1,dot,2557550.0,2243612.0,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,keyboard1-clock1,dot,2557550.0,2392657.5,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,knife5-clock1,dot,2557550.0,2438424.75,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-car2,elephant2-clock1,dot,2557550.0,2431920.0,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,cat10-clock1,dot,2284256.5,2322526.5,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,car7-clock1,dot,2284256.5,2437079.25,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,car4-clock1,dot,2284256.5,2392319.0,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,dog3-clock1,dot,2284256.5,2504282.5,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,dog10-clock1,dot,2284256.5,2510608.0,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,dog6-clock1,dot,2284256.5,2413214.5,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,dog4-clock1,dot,2284256.5,2510380.0,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,bear6-clock1,dot,2284256.5,2252546.5,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,bear10-clock1,dot,2284256.5,2454435.75,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,bear7-clock1,dot,2284256.5,2045748.5,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,boat9-clock1,dot,2284256.5,2400554.25,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,chair10-clock1,dot,2284256.5,2457162.0,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,truck2-clock1,dot,2284256.5,2303988.5,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,truck10-clock1,dot,2284256.5,2195906.25,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,bird8-clock1,dot,2284256.5,2492691.5,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,bird4-clock1,dot,2284256.5,2436621.5,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,bird10-clock1,dot,2284256.5,2493478.75,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,airplane3-clock1,dot,2284256.5,2440082.0,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,airplane1-clock1,dot,2284256.5,2492552.5,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,airplane9-clock1,dot,2284256.5,2576338.0,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,bottle1-clock1,dot,2284256.5,2458605.75,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,bottle7-clock1,dot,2284256.5,2415279.0,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,keyboard2-clock1,dot,2284256.5,2243612.0,1,0
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,keyboard1-clock1,dot,2284256.5,2392657.5,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,knife5-clock1,dot,2284256.5,2438424.75,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-chair3,elephant2-clock1,dot,2284256.5,2431920.0,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-knife3,cat10-clock1,dot,2301759.5,2322526.5,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-knife3,car7-clock1,dot,2301759.5,2437079.25,0,1
resnet50_random,bottle2-clock1,bottle2,clock1,bottle2-knife3,car4-clock1,dot,2301759.5,2392319.0,0,1
