Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,cat8-bicycle3,dot,2202933.5,2448506.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,cat5-bicycle3,dot,2202933.5,2359636.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,car4-bicycle3,dot,2202933.5,2466337.75,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,car6-bicycle3,dot,2202933.5,2293458.75,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,dog9-bicycle3,dot,2202933.5,2546714.25,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,bear5-bicycle3,dot,2202933.5,2392629.0,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,bear8-bicycle3,dot,2202933.5,2338124.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,bear1-bicycle3,dot,2202933.5,2268461.0,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,boat4-bicycle3,dot,2202933.5,2460053.0,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,boat5-bicycle3,dot,2202933.5,2570509.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,chair8-bicycle3,dot,2202933.5,2638911.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,chair9-bicycle3,dot,2202933.5,2556096.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,chair3-bicycle3,dot,2202933.5,2504003.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,truck1-bicycle3,dot,2202933.5,2176746.5,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,bird9-bicycle3,dot,2202933.5,2567012.75,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,airplane8-bicycle3,dot,2202933.5,2519004.0,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,bottle3-bicycle3,dot,2202933.5,2594308.75,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,keyboard2-bicycle3,dot,2202933.5,2464305.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,knife2-bicycle3,dot,2202933.5,2522378.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,elephant8-bicycle3,dot,2202933.5,2449263.0,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-oven3,elephant5-bicycle3,dot,2202933.5,2392658.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,cat8-bicycle3,dot,2492903.5,2448506.5,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,cat5-bicycle3,dot,2492903.5,2359636.5,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,car4-bicycle3,dot,2492903.5,2466337.75,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,car6-bicycle3,dot,2492903.5,2293458.75,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,dog9-bicycle3,dot,2492903.5,2546714.25,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,bear5-bicycle3,dot,2492903.5,2392629.0,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,bear8-bicycle3,dot,2492903.5,2338124.5,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,bear1-bicycle3,dot,2492903.5,2268461.0,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,boat4-bicycle3,dot,2492903.5,2460053.0,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,boat5-bicycle3,dot,2492903.5,2570509.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,chair8-bicycle3,dot,2492903.5,2638911.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,chair9-bicycle3,dot,2492903.5,2556096.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,chair3-bicycle3,dot,2492903.5,2504003.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,truck1-bicycle3,dot,2492903.5,2176746.5,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,bird9-bicycle3,dot,2492903.5,2567012.75,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,airplane8-bicycle3,dot,2492903.5,2519004.0,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,bottle3-bicycle3,dot,2492903.5,2594308.75,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,keyboard2-bicycle3,dot,2492903.5,2464305.5,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,knife2-bicycle3,dot,2492903.5,2522378.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,elephant8-bicycle3,dot,2492903.5,2449263.0,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-dog3,elephant5-bicycle3,dot,2492903.5,2392658.5,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,cat8-bicycle3,dot,2310663.5,2448506.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,cat5-bicycle3,dot,2310663.5,2359636.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,car4-bicycle3,dot,2310663.5,2466337.75,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,car6-bicycle3,dot,2310663.5,2293458.75,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,dog9-bicycle3,dot,2310663.5,2546714.25,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,bear5-bicycle3,dot,2310663.5,2392629.0,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,bear8-bicycle3,dot,2310663.5,2338124.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,bear1-bicycle3,dot,2310663.5,2268461.0,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,boat4-bicycle3,dot,2310663.5,2460053.0,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,boat5-bicycle3,dot,2310663.5,2570509.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,chair8-bicycle3,dot,2310663.5,2638911.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,chair9-bicycle3,dot,2310663.5,2556096.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,chair3-bicycle3,dot,2310663.5,2504003.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,truck1-bicycle3,dot,2310663.5,2176746.5,1,0
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,bird9-bicycle3,dot,2310663.5,2567012.75,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,airplane8-bicycle3,dot,2310663.5,2519004.0,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,bottle3-bicycle3,dot,2310663.5,2594308.75,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,keyboard2-bicycle3,dot,2310663.5,2464305.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,knife2-bicycle3,dot,2310663.5,2522378.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,elephant8-bicycle3,dot,2310663.5,2449263.0,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-knife3,elephant5-bicycle3,dot,2310663.5,2392658.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-chair2,cat8-bicycle3,dot,2251433.0,2448506.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-chair2,cat5-bicycle3,dot,2251433.0,2359636.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-chair2,car4-bicycle3,dot,2251433.0,2466337.75,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-chair2,car6-bicycle3,dot,2251433.0,2293458.75,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-chair2,dog9-bicycle3,dot,2251433.0,2546714.25,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-chair2,bear5-bicycle3,dot,2251433.0,2392629.0,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-chair2,bear8-bicycle3,dot,2251433.0,2338124.5,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-chair2,bear1-bicycle3,dot,2251433.0,2268461.0,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-chair2,boat4-bicycle3,dot,2251433.0,2460053.0,0,1
resnet50_random,bottle6-bicycle3,bottle6,bicycle3,bottle6-chair2,boat5-bicycle3,dot,2251433.0,2570509.5,0,1
