Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,cat4-keyboard2,dot,1914603.5,1642856.0,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,car10-keyboard2,dot,1914603.5,1602110.875,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,car9-keyboard2,dot,1914603.5,1525508.375,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,dog10-keyboard2,dot,1914603.5,1703189.125,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,dog4-keyboard2,dot,1914603.5,1648980.75,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,bear2-keyboard2,dot,1914603.5,1678853.75,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,bear3-keyboard2,dot,1914603.5,1771507.25,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,boat9-keyboard2,dot,1914603.5,1605636.75,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,boat3-keyboard2,dot,1914603.5,1624795.25,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,oven5-keyboard2,dot,1914603.5,1606746.125,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,chair5-keyboard2,dot,1914603.5,1606908.75,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,chair2-keyboard2,dot,1914603.5,1630663.125,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,chair4-keyboard2,dot,1914603.5,1532622.75,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,chair9-keyboard2,dot,1914603.5,1720654.25,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,truck8-keyboard2,dot,1914603.5,1553872.25,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,bird8-keyboard2,dot,1914603.5,1614559.875,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,bird5-keyboard2,dot,1914603.5,1686072.625,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,airplane3-keyboard2,dot,1914603.5,1377145.875,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,airplane9-keyboard2,dot,1914603.5,1583916.5,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,bicycle2-keyboard2,dot,1914603.5,1647339.875,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,bottle5-keyboard2,dot,1914603.5,1686143.25,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,bottle7-keyboard2,dot,1914603.5,1568619.5,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,clock7-keyboard2,dot,1914603.5,1238352.0,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,clock9-keyboard2,dot,1914603.5,1584158.5,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car10-dog1,elephant3-keyboard2,dot,1914603.5,1658512.25,1,0
resnet50_random,car1-keyboard2,car1,keyboard2,car1-oven3,cat4-keyboard2,dot,1327912.25,1642856.0,0,1
resnet50_random,car1-keyboard2,car1,keyboard2,car1-oven3,car10-keyboard2,dot,1327912.25,1602110.875,0,1
resnet50_random,car1-keyboard2,car1,keyboard2,car1-oven3,car9-keyboard2,dot,1327912.25,1525508.375,0,1
resnet50_random,car1-keyboard2,car1,keyboard2,car1-oven3,dog10-keyboard2,dot,1327912.25,1703189.125,0,1
resnet50_random,car1-keyboard2,car1,keyboard2,car1-oven3,dog4-keyboard2,dot,1327912.25,1648980.75,0,1
resnet50_random,car1-keyboard2,car1,keyboard2,car1-oven3,bear2-keyboard2,dot,1327912.25,1678853.75,0,1
resnet50_random,car1-keyboard2,car1,keyboard2,car1-oven3,bear3-keyboard2,dot,1327912.25,1771507.25,0,1
resnet50_random,car1-keyboard2,car1,keyboard2,car1-oven3,boat9-keyboard2,dot,1327912.25,1605636.75,0,1
