Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,cat2-bottle3,dot,2322448.0,3342291.5,0,1
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,car10-bottle3,dot,2322448.0,3340037.75,0,1
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,car3-bottle3,dot,2322448.0,3399417.5,0,1
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,bear6-bottle3,dot,2322448.0,3271120.25,0,1
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,oven3-bottle3,dot,2322448.0,3288652.75,0,1
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,oven5-bottle3,dot,2322448.0,3381470.25,0,1
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,chair10-bottle3,dot,2322448.0,3369808.75,0,1
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,chair5-bottle3,dot,2322448.0,3393048.5,0,1
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,chair9-bottle3,dot,2322448.0,3400924.5,0,1
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,chair3-bottle3,dot,2322448.0,3434137.25,0,1
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,truck2-bottle3,dot,2322448.0,3314440.75,0,1
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,truck6-bottle3,dot,2322448.0,3354014.5,0,1
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,bird9-bottle3,dot,2322448.0,3469903.0,0,1
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,bird6-bottle3,dot,2322448.0,3444321.0,0,1
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,airplane7-bottle3,dot,2322448.0,3447603.0,0,1
resnet50_random,clock2-bottle3,clock2,bottle3,clock2-dog1,airplane5-bottle3,dot,2322448.0,3429065.5,0,1
