Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,cat7-boat3,dot,1906643.5,1659017.125,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,car8-boat3,dot,1906643.5,1882302.125,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,car7-boat3,dot,1906643.5,1877966.0,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,dog8-boat3,dot,1906643.5,1876423.875,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,dog5-boat3,dot,1906643.5,1709232.25,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,dog1-boat3,dot,1906643.5,1678053.25,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,bear6-boat3,dot,1906643.5,1663887.25,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,oven1-boat3,dot,1906643.5,1610401.375,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,oven3-boat3,dot,1906643.5,1802055.875,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,oven2-boat3,dot,1906643.5,1631441.5,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,chair5-boat3,dot,1906643.5,1942769.125,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,chair7-boat3,dot,1906643.5,1867765.25,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,truck4-boat3,dot,1906643.5,1861388.5,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,truck9-boat3,dot,1906643.5,1788511.75,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,truck2-boat3,dot,1906643.5,1779378.5,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,bird3-boat3,dot,1906643.5,1809871.75,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,bird8-boat3,dot,1906643.5,1879450.625,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,airplane10-boat3,dot,1906643.5,1940515.5,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,airplane5-boat3,dot,1906643.5,1877776.625,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,airplane4-boat3,dot,1906643.5,1874735.875,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,bicycle10-boat3,dot,1906643.5,1914577.375,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,bicycle1-boat3,dot,1906643.5,1953060.75,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,bottle3-boat3,dot,1906643.5,1833323.0,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,bottle7-boat3,dot,1906643.5,1825877.75,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,bottle10-boat3,dot,1906643.5,1909572.625,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,bottle6-boat3,dot,1906643.5,1821098.875,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,clock1-boat3,dot,1906643.5,1666761.25,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,clock4-boat3,dot,1906643.5,1629419.375,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,knife6-boat3,dot,1906643.5,1769919.375,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,knife7-boat3,dot,1906643.5,1785825.125,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,elephant9-boat3,dot,1906643.5,1713547.0,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bicycle1,elephant4-boat3,dot,1906643.5,1815685.875,1,0
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,cat7-boat3,dot,1382640.75,1659017.125,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,car8-boat3,dot,1382640.75,1882302.125,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,car7-boat3,dot,1382640.75,1877966.0,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,dog8-boat3,dot,1382640.75,1876423.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,dog5-boat3,dot,1382640.75,1709232.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,dog1-boat3,dot,1382640.75,1678053.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,bear6-boat3,dot,1382640.75,1663887.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,oven1-boat3,dot,1382640.75,1610401.375,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,oven3-boat3,dot,1382640.75,1802055.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,oven2-boat3,dot,1382640.75,1631441.5,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,chair5-boat3,dot,1382640.75,1942769.125,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,chair7-boat3,dot,1382640.75,1867765.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,truck4-boat3,dot,1382640.75,1861388.5,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,truck9-boat3,dot,1382640.75,1788511.75,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,truck2-boat3,dot,1382640.75,1779378.5,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,bird3-boat3,dot,1382640.75,1809871.75,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,bird8-boat3,dot,1382640.75,1879450.625,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,airplane10-boat3,dot,1382640.75,1940515.5,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,airplane5-boat3,dot,1382640.75,1877776.625,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,airplane4-boat3,dot,1382640.75,1874735.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,bicycle10-boat3,dot,1382640.75,1914577.375,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,bicycle1-boat3,dot,1382640.75,1953060.75,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,bottle3-boat3,dot,1382640.75,1833323.0,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,bottle7-boat3,dot,1382640.75,1825877.75,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,bottle10-boat3,dot,1382640.75,1909572.625,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,bottle6-boat3,dot,1382640.75,1821098.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,clock1-boat3,dot,1382640.75,1666761.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,clock4-boat3,dot,1382640.75,1629419.375,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,knife6-boat3,dot,1382640.75,1769919.375,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,knife7-boat3,dot,1382640.75,1785825.125,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,elephant9-boat3,dot,1382640.75,1713547.0,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-bear2,elephant4-boat3,dot,1382640.75,1815685.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,cat7-boat3,dot,1527351.5,1659017.125,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,car8-boat3,dot,1527351.5,1882302.125,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,car7-boat3,dot,1527351.5,1877966.0,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,dog8-boat3,dot,1527351.5,1876423.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,dog5-boat3,dot,1527351.5,1709232.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,dog1-boat3,dot,1527351.5,1678053.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,bear6-boat3,dot,1527351.5,1663887.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,oven1-boat3,dot,1527351.5,1610401.375,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,oven3-boat3,dot,1527351.5,1802055.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,oven2-boat3,dot,1527351.5,1631441.5,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,chair5-boat3,dot,1527351.5,1942769.125,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,chair7-boat3,dot,1527351.5,1867765.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,truck4-boat3,dot,1527351.5,1861388.5,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,truck9-boat3,dot,1527351.5,1788511.75,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,truck2-boat3,dot,1527351.5,1779378.5,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,bird3-boat3,dot,1527351.5,1809871.75,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,bird8-boat3,dot,1527351.5,1879450.625,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,airplane10-boat3,dot,1527351.5,1940515.5,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,airplane5-boat3,dot,1527351.5,1877776.625,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,airplane4-boat3,dot,1527351.5,1874735.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,bicycle10-boat3,dot,1527351.5,1914577.375,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,bicycle1-boat3,dot,1527351.5,1953060.75,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,bottle3-boat3,dot,1527351.5,1833323.0,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,bottle7-boat3,dot,1527351.5,1825877.75,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,bottle10-boat3,dot,1527351.5,1909572.625,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,bottle6-boat3,dot,1527351.5,1821098.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,clock1-boat3,dot,1527351.5,1666761.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,clock4-boat3,dot,1527351.5,1629419.375,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,knife6-boat3,dot,1527351.5,1769919.375,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,knife7-boat3,dot,1527351.5,1785825.125,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,elephant9-boat3,dot,1527351.5,1713547.0,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-truck3,elephant4-boat3,dot,1527351.5,1815685.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,cat7-boat3,dot,1279511.5,1659017.125,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,car8-boat3,dot,1279511.5,1882302.125,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,car7-boat3,dot,1279511.5,1877966.0,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,dog8-boat3,dot,1279511.5,1876423.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,dog5-boat3,dot,1279511.5,1709232.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,dog1-boat3,dot,1279511.5,1678053.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,bear6-boat3,dot,1279511.5,1663887.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,oven1-boat3,dot,1279511.5,1610401.375,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,oven3-boat3,dot,1279511.5,1802055.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,oven2-boat3,dot,1279511.5,1631441.5,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,chair5-boat3,dot,1279511.5,1942769.125,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,chair7-boat3,dot,1279511.5,1867765.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,truck4-boat3,dot,1279511.5,1861388.5,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,truck9-boat3,dot,1279511.5,1788511.75,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,truck2-boat3,dot,1279511.5,1779378.5,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,bird3-boat3,dot,1279511.5,1809871.75,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,bird8-boat3,dot,1279511.5,1879450.625,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,airplane10-boat3,dot,1279511.5,1940515.5,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,airplane5-boat3,dot,1279511.5,1877776.625,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,airplane4-boat3,dot,1279511.5,1874735.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,bicycle10-boat3,dot,1279511.5,1914577.375,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,bicycle1-boat3,dot,1279511.5,1953060.75,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,bottle3-boat3,dot,1279511.5,1833323.0,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,bottle7-boat3,dot,1279511.5,1825877.75,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,bottle10-boat3,dot,1279511.5,1909572.625,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,bottle6-boat3,dot,1279511.5,1821098.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,clock1-boat3,dot,1279511.5,1666761.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,clock4-boat3,dot,1279511.5,1629419.375,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,knife6-boat3,dot,1279511.5,1769919.375,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,knife7-boat3,dot,1279511.5,1785825.125,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,elephant9-boat3,dot,1279511.5,1713547.0,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-cat2,elephant4-boat3,dot,1279511.5,1815685.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-keyboard2,cat7-boat3,dot,1195151.75,1659017.125,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-keyboard2,car8-boat3,dot,1195151.75,1882302.125,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-keyboard2,car7-boat3,dot,1195151.75,1877966.0,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-keyboard2,dog8-boat3,dot,1195151.75,1876423.875,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-keyboard2,dog5-boat3,dot,1195151.75,1709232.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-keyboard2,dog1-boat3,dot,1195151.75,1678053.25,0,1
resnet50_random,clock7-boat3,clock7,boat3,clock7-keyboard2,bear6-boat3,dot,1195151.75,1663887.25,0,1
