Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-elephant2,cat10-keyboard1,dot,1587072.0,1645532.0,0,1
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-elephant2,boat2-keyboard1,dot,1587072.0,1670491.75,0,1
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-elephant2,oven9-keyboard1,dot,1587072.0,1635084.25,0,1
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-elephant2,oven7-keyboard1,dot,1587072.0,1564050.0,1,0
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-elephant2,truck5-keyboard1,dot,1587072.0,1642911.5,0,1
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-elephant2,truck2-keyboard1,dot,1587072.0,1621735.0,0,1
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-elephant2,bird9-keyboard1,dot,1587072.0,1812396.0,0,1
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-elephant2,airplane7-keyboard1,dot,1587072.0,1801372.25,0,1
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-elephant2,bicycle3-keyboard1,dot,1587072.0,1833690.375,0,1
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-elephant2,bottle9-keyboard1,dot,1587072.0,1738679.25,0,1
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-elephant2,clock8-keyboard1,dot,1587072.0,1590764.5,0,1
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-elephant2,clock5-keyboard1,dot,1587072.0,1508112.375,1,0
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-elephant2,knife4-keyboard1,dot,1587072.0,1619923.75,0,1
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-elephant2,elephant10-keyboard1,dot,1587072.0,1550089.5,1,0
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-boat1,cat10-keyboard1,dot,2541316.5,1645532.0,1,0
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-boat1,boat2-keyboard1,dot,2541316.5,1670491.75,1,0
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-boat1,oven9-keyboard1,dot,2541316.5,1635084.25,1,0
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-boat1,oven7-keyboard1,dot,2541316.5,1564050.0,1,0
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-boat1,truck5-keyboard1,dot,2541316.5,1642911.5,1,0
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-boat1,truck2-keyboard1,dot,2541316.5,1621735.0,1,0
resnet50_random,dog3-keyboard1,dog3,keyboard1,dog3-boat1,bird9-keyboard1,dot,2541316.5,1812396.0,1,0
