Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,cat2-car3,dot,2237706.5,2559587.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,dog10-car3,dot,2237706.5,2730707.25,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,bear4-car3,dot,2237706.5,2648174.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,boat3-car3,dot,2237706.5,2613525.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,boat4-car3,dot,2237706.5,2528911.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,boat5-car3,dot,2237706.5,2631107.75,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,oven7-car3,dot,2237706.5,2422453.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,chair3-car3,dot,2237706.5,2697622.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,truck10-car3,dot,2237706.5,2449659.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,truck1-car3,dot,2237706.5,2448641.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,truck3-car3,dot,2237706.5,2490832.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,truck2-car3,dot,2237706.5,2605728.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,bird6-car3,dot,2237706.5,2702153.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,bird2-car3,dot,2237706.5,2632523.25,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,airplane10-car3,dot,2237706.5,2740890.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,bicycle5-car3,dot,2237706.5,2770414.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,bottle9-car3,dot,2237706.5,2680694.25,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,bottle4-car3,dot,2237706.5,2732396.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,keyboard1-car3,dot,2237706.5,2634607.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,keyboard7-car3,dot,2237706.5,2555175.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,knife1-car3,dot,2237706.5,2638301.25,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,knife2-car3,dot,2237706.5,2603822.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,elephant7-car3,dot,2237706.5,2688218.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,elephant6-car3,dot,2237706.5,2429286.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,elephant1-car3,dot,2237706.5,2621970.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-truck2,elephant4-car3,dot,2237706.5,2554180.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,cat2-car3,dot,2165982.5,2559587.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,dog10-car3,dot,2165982.5,2730707.25,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,bear4-car3,dot,2165982.5,2648174.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,boat3-car3,dot,2165982.5,2613525.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,boat4-car3,dot,2165982.5,2528911.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,boat5-car3,dot,2165982.5,2631107.75,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,oven7-car3,dot,2165982.5,2422453.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,chair3-car3,dot,2165982.5,2697622.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,truck10-car3,dot,2165982.5,2449659.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,truck1-car3,dot,2165982.5,2448641.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,truck3-car3,dot,2165982.5,2490832.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,truck2-car3,dot,2165982.5,2605728.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,bird6-car3,dot,2165982.5,2702153.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,bird2-car3,dot,2165982.5,2632523.25,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,airplane10-car3,dot,2165982.5,2740890.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,bicycle5-car3,dot,2165982.5,2770414.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,bottle9-car3,dot,2165982.5,2680694.25,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,bottle4-car3,dot,2165982.5,2732396.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,keyboard1-car3,dot,2165982.5,2634607.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,keyboard7-car3,dot,2165982.5,2555175.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,knife1-car3,dot,2165982.5,2638301.25,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,knife2-car3,dot,2165982.5,2603822.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,elephant7-car3,dot,2165982.5,2688218.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,elephant6-car3,dot,2165982.5,2429286.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,elephant1-car3,dot,2165982.5,2621970.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-bear3,elephant4-car3,dot,2165982.5,2554180.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,cat2-car3,dot,2215113.5,2559587.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,dog10-car3,dot,2215113.5,2730707.25,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,bear4-car3,dot,2215113.5,2648174.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,boat3-car3,dot,2215113.5,2613525.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,boat4-car3,dot,2215113.5,2528911.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,boat5-car3,dot,2215113.5,2631107.75,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,oven7-car3,dot,2215113.5,2422453.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,chair3-car3,dot,2215113.5,2697622.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,truck10-car3,dot,2215113.5,2449659.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,truck1-car3,dot,2215113.5,2448641.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,truck3-car3,dot,2215113.5,2490832.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,truck2-car3,dot,2215113.5,2605728.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,bird6-car3,dot,2215113.5,2702153.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,bird2-car3,dot,2215113.5,2632523.25,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,airplane10-car3,dot,2215113.5,2740890.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,bicycle5-car3,dot,2215113.5,2770414.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,bottle9-car3,dot,2215113.5,2680694.25,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,bottle4-car3,dot,2215113.5,2732396.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,keyboard1-car3,dot,2215113.5,2634607.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,keyboard7-car3,dot,2215113.5,2555175.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,knife1-car3,dot,2215113.5,2638301.25,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,knife2-car3,dot,2215113.5,2603822.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,elephant7-car3,dot,2215113.5,2688218.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,elephant6-car3,dot,2215113.5,2429286.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,elephant1-car3,dot,2215113.5,2621970.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-boat3,elephant4-car3,dot,2215113.5,2554180.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-oven1,cat2-car3,dot,2141886.5,2559587.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-oven1,dog10-car3,dot,2141886.5,2730707.25,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-oven1,bear4-car3,dot,2141886.5,2648174.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-oven1,boat3-car3,dot,2141886.5,2613525.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-oven1,boat4-car3,dot,2141886.5,2528911.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-oven1,boat5-car3,dot,2141886.5,2631107.75,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-oven1,oven7-car3,dot,2141886.5,2422453.5,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-oven1,chair3-car3,dot,2141886.5,2697622.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-oven1,truck10-car3,dot,2141886.5,2449659.0,0,1
resnet50_random,dog5-car3,dog5,car3,dog5-oven1,truck1-car3,dot,2141886.5,2448641.5,0,1
