Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,cat5-bottle1,dot,2594713.75,2469841.25,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,cat10-bottle1,dot,2594713.75,2593539.0,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,cat7-bottle1,dot,2594713.75,2524383.0,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,car5-bottle1,dot,2594713.75,2631760.5,0,1
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,car6-bottle1,dot,2594713.75,2389793.0,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,car4-bottle1,dot,2594713.75,2634571.0,0,1
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,dog10-bottle1,dot,2594713.75,2668622.5,0,1
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,bear8-bottle1,dot,2594713.75,2630415.25,0,1
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,bear10-bottle1,dot,2594713.75,2645370.0,0,1
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,bear5-bottle1,dot,2594713.75,2631328.5,0,1
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,boat7-bottle1,dot,2594713.75,2555795.5,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,boat8-bottle1,dot,2594713.75,2636564.0,0,1
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,oven7-bottle1,dot,2594713.75,2480350.5,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,oven2-bottle1,dot,2594713.75,2439841.0,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,chair7-bottle1,dot,2594713.75,2651255.5,0,1
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,bird8-bottle1,dot,2594713.75,2561431.75,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,bird7-bottle1,dot,2594713.75,2504568.25,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,airplane4-bottle1,dot,2594713.75,2462046.75,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,airplane2-bottle1,dot,2594713.75,2503923.5,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,bicycle9-bottle1,dot,2594713.75,2724985.25,0,1
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,bicycle2-bottle1,dot,2594713.75,2686935.25,0,1
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,bicycle4-bottle1,dot,2594713.75,2785902.0,0,1
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,keyboard7-bottle1,dot,2594713.75,2659439.0,0,1
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,keyboard2-bottle1,dot,2594713.75,2539299.0,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,keyboard5-bottle1,dot,2594713.75,2608361.0,0,1
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,clock6-bottle1,dot,2594713.75,2507301.5,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,clock10-bottle1,dot,2594713.75,2569931.0,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-airplane3,elephant1-bottle1,dot,2594713.75,2696216.75,0,1
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,cat5-bottle1,dot,2781521.5,2469841.25,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,cat10-bottle1,dot,2781521.5,2593539.0,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,cat7-bottle1,dot,2781521.5,2524383.0,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,car5-bottle1,dot,2781521.5,2631760.5,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,car6-bottle1,dot,2781521.5,2389793.0,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,car4-bottle1,dot,2781521.5,2634571.0,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,dog10-bottle1,dot,2781521.5,2668622.5,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,bear8-bottle1,dot,2781521.5,2630415.25,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,bear10-bottle1,dot,2781521.5,2645370.0,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,bear5-bottle1,dot,2781521.5,2631328.5,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,boat7-bottle1,dot,2781521.5,2555795.5,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,boat8-bottle1,dot,2781521.5,2636564.0,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,oven7-bottle1,dot,2781521.5,2480350.5,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,oven2-bottle1,dot,2781521.5,2439841.0,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,chair7-bottle1,dot,2781521.5,2651255.5,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,bird8-bottle1,dot,2781521.5,2561431.75,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,bird7-bottle1,dot,2781521.5,2504568.25,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,airplane4-bottle1,dot,2781521.5,2462046.75,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,airplane2-bottle1,dot,2781521.5,2503923.5,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,bicycle9-bottle1,dot,2781521.5,2724985.25,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,bicycle2-bottle1,dot,2781521.5,2686935.25,1,0
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,bicycle4-bottle1,dot,2781521.5,2785902.0,0,1
resnet50_random,dog9-bottle1,dog9,bottle1,dog9-car1,keyboard7-bottle1,dot,2781521.5,2659439.0,1,0
