Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,car5-cat1,dot,2255809.0,1677414.0,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,car9-cat1,dot,2255809.0,1668625.0,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,car8-cat1,dot,2255809.0,1739411.25,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,dog2-cat1,dot,2255809.0,1394482.75,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,dog6-cat1,dot,2255809.0,1727366.375,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,bear3-cat1,dot,2255809.0,1616776.75,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,boat6-cat1,dot,2255809.0,1854623.75,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,boat10-cat1,dot,2255809.0,1796087.5,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,oven7-cat1,dot,2255809.0,1493483.75,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,oven1-cat1,dot,2255809.0,1301381.25,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,chair10-cat1,dot,2255809.0,1758390.5,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,chair7-cat1,dot,2255809.0,1666899.5,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,truck1-cat1,dot,2255809.0,1397201.25,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,truck3-cat1,dot,2255809.0,1536810.5,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,bird10-cat1,dot,2255809.0,1843031.5,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,bird3-cat1,dot,2255809.0,1783965.5,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,airplane3-cat1,dot,2255809.0,1840664.25,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,airplane2-cat1,dot,2255809.0,1734845.25,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,bicycle4-cat1,dot,2255809.0,1907137.75,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,bicycle5-cat1,dot,2255809.0,1851337.875,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,bicycle7-cat1,dot,2255809.0,1844207.5,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,bicycle6-cat1,dot,2255809.0,1847666.625,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,bottle5-cat1,dot,2255809.0,1885809.5,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,keyboard5-cat1,dot,2255809.0,1558145.25,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,keyboard3-cat1,dot,2255809.0,1839594.625,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,keyboard9-cat1,dot,2255809.0,1584917.25,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,clock3-cat1,dot,2255809.0,1389771.0,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,clock9-cat1,dot,2255809.0,1587401.0,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,clock8-cat1,dot,2255809.0,1520127.75,1,0
resnet50_random,dog9-cat1,dog9,cat1,dog9-airplane3,clock10-cat1,dot,2255809.0,1811887.75,1,0
