Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,cat10-keyboard1,dot,1404363.875,1386470.5,1,0
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,dog3-keyboard1,dot,1404363.875,1550089.5,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,boat2-keyboard1,dot,1404363.875,1405603.25,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,oven9-keyboard1,dot,1404363.875,1377212.25,1,0
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,oven7-keyboard1,dot,1404363.875,1317410.75,1,0
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,truck5-keyboard1,dot,1404363.875,1383233.5,1,0
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,truck2-keyboard1,dot,1404363.875,1365463.375,1,0
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,bird9-keyboard1,dot,1404363.875,1525686.625,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,airplane7-keyboard1,dot,1404363.875,1516042.25,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,bicycle3-keyboard1,dot,1404363.875,1543064.375,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,bottle9-keyboard1,dot,1404363.875,1463336.25,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,clock8-keyboard1,dot,1404363.875,1339336.0,1,0
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,clock5-keyboard1,dot,1404363.875,1270533.25,1,0
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,knife4-keyboard1,dot,1404363.875,1362135.25,1,0
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,cat10-keyboard1,dot,1312698.0,1386470.5,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,dog3-keyboard1,dot,1312698.0,1550089.5,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,boat2-keyboard1,dot,1312698.0,1405603.25,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,oven9-keyboard1,dot,1312698.0,1377212.25,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,oven7-keyboard1,dot,1312698.0,1317410.75,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,truck5-keyboard1,dot,1312698.0,1383233.5,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,truck2-keyboard1,dot,1312698.0,1365463.375,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,bird9-keyboard1,dot,1312698.0,1525686.625,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,airplane7-keyboard1,dot,1312698.0,1516042.25,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,bicycle3-keyboard1,dot,1312698.0,1543064.375,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,bottle9-keyboard1,dot,1312698.0,1463336.25,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,clock8-keyboard1,dot,1312698.0,1339336.0,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,clock5-keyboard1,dot,1312698.0,1270533.25,1,0
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-bear1,knife4-keyboard1,dot,1312698.0,1362135.25,0,1
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,cat10-keyboard1,cos,0.9994063377380371,0.9988734126091003,1,0
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,dog3-keyboard1,cos,0.9994063377380371,0.9980654716491699,1,0
resnet50_random,elephant10-keyboard1,elephant10,keyboard1,elephant10-knife3,boat2-keyboard1,cos,0.9994063377380371,0.9980705976486206,1,0
