Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,cat7-airplane2,dot,1850225.0,2016320.375,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,cat5-airplane2,dot,1850225.0,2022871.125,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,car7-airplane2,dot,1850225.0,2327908.25,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,dog2-airplane2,dot,1850225.0,2011278.75,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,boat9-airplane2,dot,1850225.0,2265918.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,boat3-airplane2,dot,1850225.0,2258973.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,boat6-airplane2,dot,1850225.0,2295587.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,oven9-airplane2,dot,1850225.0,2112975.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,oven10-airplane2,dot,1850225.0,2190156.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,chair3-airplane2,dot,1850225.0,2307934.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,chair10-airplane2,dot,1850225.0,2201329.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,chair1-airplane2,dot,1850225.0,2144459.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,truck9-airplane2,dot,1850225.0,2270232.75,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,truck5-airplane2,dot,1850225.0,2232767.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,bird6-airplane2,dot,1850225.0,2361839.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,bird1-airplane2,dot,1850225.0,2147520.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,bicycle9-airplane2,dot,1850225.0,2424944.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,bicycle1-airplane2,dot,1850225.0,2440991.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,bicycle6-airplane2,dot,1850225.0,2330478.25,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,bicycle10-airplane2,dot,1850225.0,2366629.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,bottle3-airplane2,dot,1850225.0,2149392.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,keyboard1-airplane2,dot,1850225.0,2375309.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,keyboard8-airplane2,dot,1850225.0,2023661.875,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,clock8-airplane2,dot,1850225.0,1981072.75,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,knife9-airplane2,dot,1850225.0,2158313.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-chair2,elephant1-airplane2,dot,1850225.0,2293219.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,cat7-airplane2,dot,1982430.125,2016320.375,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,cat5-airplane2,dot,1982430.125,2022871.125,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,car7-airplane2,dot,1982430.125,2327908.25,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,dog2-airplane2,dot,1982430.125,2011278.75,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,boat9-airplane2,dot,1982430.125,2265918.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,boat3-airplane2,dot,1982430.125,2258973.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,boat6-airplane2,dot,1982430.125,2295587.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,oven9-airplane2,dot,1982430.125,2112975.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,oven10-airplane2,dot,1982430.125,2190156.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,chair3-airplane2,dot,1982430.125,2307934.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,chair10-airplane2,dot,1982430.125,2201329.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,chair1-airplane2,dot,1982430.125,2144459.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,truck9-airplane2,dot,1982430.125,2270232.75,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,truck5-airplane2,dot,1982430.125,2232767.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,bird6-airplane2,dot,1982430.125,2361839.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,bird1-airplane2,dot,1982430.125,2147520.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,bicycle9-airplane2,dot,1982430.125,2424944.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,bicycle1-airplane2,dot,1982430.125,2440991.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,bicycle6-airplane2,dot,1982430.125,2330478.25,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,bicycle10-airplane2,dot,1982430.125,2366629.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,bottle3-airplane2,dot,1982430.125,2149392.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,keyboard1-airplane2,dot,1982430.125,2375309.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,keyboard8-airplane2,dot,1982430.125,2023661.875,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,clock8-airplane2,dot,1982430.125,1981072.75,1,0
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,knife9-airplane2,dot,1982430.125,2158313.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-bicycle2,elephant1-airplane2,dot,1982430.125,2293219.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,cat7-airplane2,dot,1921219.75,2016320.375,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,cat5-airplane2,dot,1921219.75,2022871.125,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,car7-airplane2,dot,1921219.75,2327908.25,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,dog2-airplane2,dot,1921219.75,2011278.75,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,boat9-airplane2,dot,1921219.75,2265918.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,boat3-airplane2,dot,1921219.75,2258973.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,boat6-airplane2,dot,1921219.75,2295587.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,oven9-airplane2,dot,1921219.75,2112975.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,oven10-airplane2,dot,1921219.75,2190156.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,chair3-airplane2,dot,1921219.75,2307934.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,chair10-airplane2,dot,1921219.75,2201329.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,chair1-airplane2,dot,1921219.75,2144459.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,truck9-airplane2,dot,1921219.75,2270232.75,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,truck5-airplane2,dot,1921219.75,2232767.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,bird6-airplane2,dot,1921219.75,2361839.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,bird1-airplane2,dot,1921219.75,2147520.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,bicycle9-airplane2,dot,1921219.75,2424944.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,bicycle1-airplane2,dot,1921219.75,2440991.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,bicycle6-airplane2,dot,1921219.75,2330478.25,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,bicycle10-airplane2,dot,1921219.75,2366629.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,bottle3-airplane2,dot,1921219.75,2149392.5,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,keyboard1-airplane2,dot,1921219.75,2375309.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,keyboard8-airplane2,dot,1921219.75,2023661.875,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,clock8-airplane2,dot,1921219.75,1981072.75,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,knife9-airplane2,dot,1921219.75,2158313.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-clock3,elephant1-airplane2,dot,1921219.75,2293219.0,0,1
resnet50_random,elephant9-airplane2,elephant9,airplane2,elephant9-boat3,cat7-airplane2,dot,1969312.75,2016320.375,0,1
