Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,cat9-bird3,dot,1708022.0,2277911.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,car2-bird3,dot,1708022.0,1987222.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,car7-bird3,dot,1708022.0,2216882.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,dog7-bird3,dot,1708022.0,2251114.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,bear2-bird3,dot,1708022.0,2192070.25,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,bear3-bird3,dot,1708022.0,2145006.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,boat1-bird3,dot,1708022.0,2069981.75,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,oven9-bird3,dot,1708022.0,1971232.25,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,chair9-bird3,dot,1708022.0,2314425.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,chair10-bird3,dot,1708022.0,2220382.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,airplane4-bird3,dot,1708022.0,2301013.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,airplane2-bird3,dot,1708022.0,2174969.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,airplane7-bird3,dot,1708022.0,2319193.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,bicycle9-bird3,dot,1708022.0,2343780.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,bicycle2-bird3,dot,1708022.0,2324364.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,bottle5-bird3,dot,1708022.0,2331545.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,bottle1-bird3,dot,1708022.0,2247052.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,keyboard5-bird3,dot,1708022.0,1943812.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,keyboard3-bird3,dot,1708022.0,2257136.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,clock6-bird3,dot,1708022.0,2206065.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,clock10-bird3,dot,1708022.0,2248680.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,clock4-bird3,dot,1708022.0,1920738.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-boat3,knife7-bird3,dot,1708022.0,2203306.75,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,cat9-bird3,dot,1538200.625,2277911.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,car2-bird3,dot,1538200.625,1987222.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,car7-bird3,dot,1538200.625,2216882.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,dog7-bird3,dot,1538200.625,2251114.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,bear2-bird3,dot,1538200.625,2192070.25,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,bear3-bird3,dot,1538200.625,2145006.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,boat1-bird3,dot,1538200.625,2069981.75,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,oven9-bird3,dot,1538200.625,1971232.25,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,chair9-bird3,dot,1538200.625,2314425.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,chair10-bird3,dot,1538200.625,2220382.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,airplane4-bird3,dot,1538200.625,2301013.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,airplane2-bird3,dot,1538200.625,2174969.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,airplane7-bird3,dot,1538200.625,2319193.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,bicycle9-bird3,dot,1538200.625,2343780.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,bicycle2-bird3,dot,1538200.625,2324364.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,bottle5-bird3,dot,1538200.625,2331545.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,bottle1-bird3,dot,1538200.625,2247052.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,keyboard5-bird3,dot,1538200.625,1943812.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,keyboard3-bird3,dot,1538200.625,2257136.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,clock6-bird3,dot,1538200.625,2206065.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,clock10-bird3,dot,1538200.625,2248680.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,clock4-bird3,dot,1538200.625,1920738.0,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven1-clock3,knife7-bird3,dot,1538200.625,2203306.75,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven10-boat2,cat9-bird3,dot,1980985.0,2277911.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven10-boat2,car2-bird3,dot,1980985.0,1987222.5,0,1
resnet50_random,oven1-bird3,oven1,bird3,oven10-boat2,car7-bird3,dot,1980985.0,2216882.5,0,1
