Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,car5-cat1,dot,1232578.75,1150148.0,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,car9-cat1,dot,1232578.75,1143852.25,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,car8-cat1,dot,1232578.75,1192247.5,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,dog2-cat1,dot,1232578.75,955673.3125,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,dog9-cat1,dot,1232578.75,1301381.25,0,1
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,dog6-cat1,dot,1232578.75,1183401.375,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,bear3-cat1,dot,1232578.75,1108843.375,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,boat6-cat1,dot,1232578.75,1269486.375,0,1
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,boat10-cat1,dot,1232578.75,1230739.75,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,oven7-cat1,dot,1232578.75,1024382.125,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,chair10-cat1,dot,1232578.75,1204925.125,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,chair7-cat1,dot,1232578.75,1143080.25,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,truck1-cat1,dot,1232578.75,957323.5,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,truck3-cat1,dot,1232578.75,1053918.875,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,bird10-cat1,dot,1232578.75,1261728.625,0,1
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,bird3-cat1,dot,1232578.75,1220823.5,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,airplane3-cat1,dot,1232578.75,1259279.625,0,1
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,airplane2-cat1,dot,1232578.75,1188310.75,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,bicycle4-cat1,dot,1232578.75,1306086.5,0,1
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,bicycle5-cat1,dot,1232578.75,1267361.625,0,1
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,bicycle7-cat1,dot,1232578.75,1262794.25,0,1
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,bicycle6-cat1,dot,1232578.75,1265523.5,0,1
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,bottle5-cat1,dot,1232578.75,1290965.5,0,1
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,keyboard5-cat1,dot,1232578.75,1068861.5,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,keyboard3-cat1,dot,1232578.75,1258974.5,0,1
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,keyboard9-cat1,dot,1232578.75,1086909.375,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,clock3-cat1,dot,1232578.75,954072.0625,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,clock9-cat1,dot,1232578.75,1088615.0,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,clock8-cat1,dot,1232578.75,1042556.375,1,0
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,clock10-cat1,dot,1232578.75,1240872.75,0,1
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,knife3-cat1,dot,1232578.75,1250553.5,0,1
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,elephant7-cat1,dot,1232578.75,1255355.25,0,1
resnet50_random,oven1-cat1,oven1,cat1,oven1-boat3,elephant8-cat1,dot,1232578.75,1165347.0,1,0
