Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,car8-bicycle2,dot,1793268.625,2182337.0,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,car9-bicycle2,dot,1793268.625,2154603.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,car10-bicycle2,dot,1793268.625,2178399.0,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,dog2-bicycle2,dot,1793268.625,1933201.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,bear3-bicycle2,dot,1793268.625,2057814.5,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,bear7-bicycle2,dot,1793268.625,1883109.625,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,boat3-bicycle2,dot,1793268.625,2164002.5,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,boat6-bicycle2,dot,1793268.625,2231393.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,boat1-bicycle2,dot,1793268.625,2130950.0,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,truck2-bicycle2,dot,1793268.625,2086555.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,bird4-bicycle2,dot,1793268.625,2188516.0,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,bird1-bicycle2,dot,1793268.625,2172277.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,airplane4-bicycle2,dot,1793268.625,2261854.5,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,airplane1-bicycle2,dot,1793268.625,2254776.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,keyboard3-bicycle2,dot,1793268.625,2253022.5,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,keyboard9-bicycle2,dot,1793268.625,2118944.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,clock3-bicycle2,dot,1793268.625,1986925.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,knife5-bicycle2,dot,1793268.625,2235698.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,elephant9-bicycle2,dot,1793268.625,1994331.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-elephant3,elephant4-bicycle2,dot,1793268.625,2046765.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,car8-bicycle2,dot,2316115.0,2182337.0,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,car9-bicycle2,dot,2316115.0,2154603.75,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,car10-bicycle2,dot,2316115.0,2178399.0,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,dog2-bicycle2,dot,2316115.0,1933201.75,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,bear3-bicycle2,dot,2316115.0,2057814.5,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,bear7-bicycle2,dot,2316115.0,1883109.625,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,boat3-bicycle2,dot,2316115.0,2164002.5,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,boat6-bicycle2,dot,2316115.0,2231393.75,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,boat1-bicycle2,dot,2316115.0,2130950.0,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,truck2-bicycle2,dot,2316115.0,2086555.25,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,bird4-bicycle2,dot,2316115.0,2188516.0,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,bird1-bicycle2,dot,2316115.0,2172277.25,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,airplane4-bicycle2,dot,2316115.0,2261854.5,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,airplane1-bicycle2,dot,2316115.0,2254776.25,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,keyboard3-bicycle2,dot,2316115.0,2253022.5,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,keyboard9-bicycle2,dot,2316115.0,2118944.25,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,clock3-bicycle2,dot,2316115.0,1986925.75,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,knife5-bicycle2,dot,2316115.0,2235698.25,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,elephant9-bicycle2,dot,2316115.0,1994331.25,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-car1,elephant4-bicycle2,dot,2316115.0,2046765.75,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,car8-bicycle2,dot,1683853.75,2182337.0,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,car9-bicycle2,dot,1683853.75,2154603.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,car10-bicycle2,dot,1683853.75,2178399.0,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,dog2-bicycle2,dot,1683853.75,1933201.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,bear3-bicycle2,dot,1683853.75,2057814.5,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,bear7-bicycle2,dot,1683853.75,1883109.625,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,boat3-bicycle2,dot,1683853.75,2164002.5,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,boat6-bicycle2,dot,1683853.75,2231393.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,boat1-bicycle2,dot,1683853.75,2130950.0,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,truck2-bicycle2,dot,1683853.75,2086555.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,bird4-bicycle2,dot,1683853.75,2188516.0,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,bird1-bicycle2,dot,1683853.75,2172277.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,airplane4-bicycle2,dot,1683853.75,2261854.5,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,airplane1-bicycle2,dot,1683853.75,2254776.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,keyboard3-bicycle2,dot,1683853.75,2253022.5,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,keyboard9-bicycle2,dot,1683853.75,2118944.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,clock3-bicycle2,dot,1683853.75,1986925.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,knife5-bicycle2,dot,1683853.75,2235698.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,elephant9-bicycle2,dot,1683853.75,1994331.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-knife2,elephant4-bicycle2,dot,1683853.75,2046765.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,car8-bicycle2,dot,1894048.25,2182337.0,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,car9-bicycle2,dot,1894048.25,2154603.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,car10-bicycle2,dot,1894048.25,2178399.0,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,dog2-bicycle2,dot,1894048.25,1933201.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,bear3-bicycle2,dot,1894048.25,2057814.5,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,bear7-bicycle2,dot,1894048.25,1883109.625,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,boat3-bicycle2,dot,1894048.25,2164002.5,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,boat6-bicycle2,dot,1894048.25,2231393.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,boat1-bicycle2,dot,1894048.25,2130950.0,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,truck2-bicycle2,dot,1894048.25,2086555.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,bird4-bicycle2,dot,1894048.25,2188516.0,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,bird1-bicycle2,dot,1894048.25,2172277.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,airplane4-bicycle2,dot,1894048.25,2261854.5,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,airplane1-bicycle2,dot,1894048.25,2254776.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,keyboard3-bicycle2,dot,1894048.25,2253022.5,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,keyboard9-bicycle2,dot,1894048.25,2118944.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,clock3-bicycle2,dot,1894048.25,1986925.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,knife5-bicycle2,dot,1894048.25,2235698.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,elephant9-bicycle2,dot,1894048.25,1994331.25,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-chair1,elephant4-bicycle2,dot,1894048.25,2046765.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-clock2,car8-bicycle2,dot,2090022.75,2182337.0,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-clock2,car9-bicycle2,dot,2090022.75,2154603.75,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-clock2,car10-bicycle2,dot,2090022.75,2178399.0,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-clock2,dog2-bicycle2,dot,2090022.75,1933201.75,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-clock2,bear3-bicycle2,dot,2090022.75,2057814.5,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-clock2,bear7-bicycle2,dot,2090022.75,1883109.625,1,0
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-clock2,boat3-bicycle2,dot,2090022.75,2164002.5,0,1
resnet50_random,oven4-bicycle2,oven4,bicycle2,oven4-clock2,boat6-bicycle2,dot,2090022.75,2231393.75,0,1
