Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,cat6-keyboard3,dot,1192248.25,1021694.125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,cat1-keyboard3,dot,1192248.25,1073704.0,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,cat5-keyboard3,dot,1192248.25,885796.875,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,car5-keyboard3,dot,1192248.25,1042281.0,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,car7-keyboard3,dot,1192248.25,1053415.0,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,dog8-keyboard3,dot,1192248.25,1015915.75,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,dog7-keyboard3,dot,1192248.25,1078670.125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,bear4-keyboard3,dot,1192248.25,981918.9375,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,bear10-keyboard3,dot,1192248.25,1124571.625,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,bear9-keyboard3,dot,1192248.25,1095770.75,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,boat1-keyboard3,dot,1192248.25,898516.125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,boat7-keyboard3,dot,1192248.25,869851.75,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,oven8-keyboard3,dot,1192248.25,1004418.0625,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,chair8-keyboard3,dot,1192248.25,889834.0,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,truck3-keyboard3,dot,1192248.25,945897.125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,truck7-keyboard3,dot,1192248.25,816388.75,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,bird1-keyboard3,dot,1192248.25,947754.875,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,bird7-keyboard3,dot,1192248.25,935765.875,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,airplane4-keyboard3,dot,1192248.25,967739.5625,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,airplane6-keyboard3,dot,1192248.25,962146.875,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,bicycle5-keyboard3,dot,1192248.25,953190.0,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,bicycle4-keyboard3,dot,1192248.25,1028802.8125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,bicycle9-keyboard3,dot,1192248.25,1020759.1875,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,bottle1-keyboard3,dot,1192248.25,1033677.75,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,bottle8-keyboard3,dot,1192248.25,1080374.0,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,clock3-keyboard3,dot,1192248.25,836873.4375,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,knife5-keyboard3,dot,1192248.25,988959.9375,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,knife1-keyboard3,dot,1192248.25,859598.8125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,knife10-keyboard3,dot,1192248.25,975758.875,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,knife3-keyboard3,dot,1192248.25,883772.25,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,elephant2-keyboard3,dot,1192248.25,1109864.5,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,elephant1-keyboard3,dot,1192248.25,1113174.125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-elephant3,elephant7-keyboard3,dot,1192248.25,1128082.125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,cat6-keyboard3,dot,1539738.75,1021694.125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,cat1-keyboard3,dot,1539738.75,1073704.0,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,cat5-keyboard3,dot,1539738.75,885796.875,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,car5-keyboard3,dot,1539738.75,1042281.0,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,car7-keyboard3,dot,1539738.75,1053415.0,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,dog8-keyboard3,dot,1539738.75,1015915.75,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,dog7-keyboard3,dot,1539738.75,1078670.125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,bear4-keyboard3,dot,1539738.75,981918.9375,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,bear10-keyboard3,dot,1539738.75,1124571.625,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,bear9-keyboard3,dot,1539738.75,1095770.75,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,boat1-keyboard3,dot,1539738.75,898516.125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,boat7-keyboard3,dot,1539738.75,869851.75,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,oven8-keyboard3,dot,1539738.75,1004418.0625,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,chair8-keyboard3,dot,1539738.75,889834.0,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,truck3-keyboard3,dot,1539738.75,945897.125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,truck7-keyboard3,dot,1539738.75,816388.75,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,bird1-keyboard3,dot,1539738.75,947754.875,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,bird7-keyboard3,dot,1539738.75,935765.875,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,airplane4-keyboard3,dot,1539738.75,967739.5625,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,airplane6-keyboard3,dot,1539738.75,962146.875,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,bicycle5-keyboard3,dot,1539738.75,953190.0,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,bicycle4-keyboard3,dot,1539738.75,1028802.8125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,bicycle9-keyboard3,dot,1539738.75,1020759.1875,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,bottle1-keyboard3,dot,1539738.75,1033677.75,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,bottle8-keyboard3,dot,1539738.75,1080374.0,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,clock3-keyboard3,dot,1539738.75,836873.4375,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,knife5-keyboard3,dot,1539738.75,988959.9375,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,knife1-keyboard3,dot,1539738.75,859598.8125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,knife10-keyboard3,dot,1539738.75,975758.875,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,knife3-keyboard3,dot,1539738.75,883772.25,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,elephant2-keyboard3,dot,1539738.75,1109864.5,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,elephant1-keyboard3,dot,1539738.75,1113174.125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-car1,elephant7-keyboard3,dot,1539738.75,1128082.125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-knife2,cat6-keyboard3,dot,1120710.75,1021694.125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-knife2,cat1-keyboard3,dot,1120710.75,1073704.0,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-knife2,cat5-keyboard3,dot,1120710.75,885796.875,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-knife2,car5-keyboard3,dot,1120710.75,1042281.0,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-knife2,car7-keyboard3,dot,1120710.75,1053415.0,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-knife2,dog8-keyboard3,dot,1120710.75,1015915.75,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-knife2,dog7-keyboard3,dot,1120710.75,1078670.125,1,0
resnet50_random,oven4-keyboard3,oven4,keyboard3,oven4-knife2,bear4-keyboard3,dot,1120710.75,981918.9375,1,0
