Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,cat5-chair3,dot,1711614.75,1501815.25,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,cat6-chair3,dot,1711614.75,1619028.5,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,car1-chair3,dot,1711614.75,1445043.5,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,car6-chair3,dot,1711614.75,1470688.125,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,dog8-chair3,dot,1711614.75,1801934.75,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,boat3-chair3,dot,1711614.75,1682080.25,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,boat1-chair3,dot,1711614.75,1643983.25,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,truck9-chair3,dot,1711614.75,1520602.5,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,airplane5-chair3,dot,1711614.75,1740240.125,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,airplane6-chair3,dot,1711614.75,1830871.25,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,airplane3-chair3,dot,1711614.75,1831409.0,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,bottle3-chair3,dot,1711614.75,1756666.375,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,bottle2-chair3,dot,1711614.75,1832053.5,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,keyboard7-chair3,dot,1711614.75,1555882.5,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,clock6-chair3,dot,1711614.75,1684312.875,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,clock9-chair3,dot,1711614.75,1559873.0,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,clock5-chair3,dot,1711614.75,1500453.0,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,knife6-chair3,dot,1711614.75,1773796.125,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,elephant4-chair3,dot,1711614.75,1577847.625,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-knife3,elephant5-chair3,dot,1711614.75,1544031.375,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,cat5-chair3,dot,2178153.0,1501815.25,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,cat6-chair3,dot,2178153.0,1619028.5,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,car1-chair3,dot,2178153.0,1445043.5,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,car6-chair3,dot,2178153.0,1470688.125,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,dog8-chair3,dot,2178153.0,1801934.75,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,boat3-chair3,dot,2178153.0,1682080.25,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,boat1-chair3,dot,2178153.0,1643983.25,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,truck9-chair3,dot,2178153.0,1520602.5,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,airplane5-chair3,dot,2178153.0,1740240.125,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,airplane6-chair3,dot,2178153.0,1830871.25,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,airplane3-chair3,dot,2178153.0,1831409.0,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,bottle3-chair3,dot,2178153.0,1756666.375,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,bottle2-chair3,dot,2178153.0,1832053.5,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,keyboard7-chair3,dot,2178153.0,1555882.5,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,clock6-chair3,dot,2178153.0,1684312.875,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,clock9-chair3,dot,2178153.0,1559873.0,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,clock5-chair3,dot,2178153.0,1500453.0,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,knife6-chair3,dot,2178153.0,1773796.125,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,elephant4-chair3,dot,2178153.0,1577847.625,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bicycle1,elephant5-chair3,dot,2178153.0,1544031.375,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,cat5-chair3,dot,1058600.0,1501815.25,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,cat6-chair3,dot,1058600.0,1619028.5,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,car1-chair3,dot,1058600.0,1445043.5,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,car6-chair3,dot,1058600.0,1470688.125,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,dog8-chair3,dot,1058600.0,1801934.75,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,boat3-chair3,dot,1058600.0,1682080.25,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,boat1-chair3,dot,1058600.0,1643983.25,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,truck9-chair3,dot,1058600.0,1520602.5,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,airplane5-chair3,dot,1058600.0,1740240.125,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,airplane6-chair3,dot,1058600.0,1830871.25,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,airplane3-chair3,dot,1058600.0,1831409.0,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,bottle3-chair3,dot,1058600.0,1756666.375,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,bottle2-chair3,dot,1058600.0,1832053.5,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,keyboard7-chair3,dot,1058600.0,1555882.5,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,clock6-chair3,dot,1058600.0,1684312.875,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,clock9-chair3,dot,1058600.0,1559873.0,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,clock5-chair3,dot,1058600.0,1500453.0,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,knife6-chair3,dot,1058600.0,1773796.125,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,elephant4-chair3,dot,1058600.0,1577847.625,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bird1,elephant5-chair3,dot,1058600.0,1544031.375,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bear2,cat5-chair3,dot,1546146.5,1501815.25,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bear2,cat6-chair3,dot,1546146.5,1619028.5,0,1
resnet50_random,oven6-chair3,oven6,chair3,oven6-bear2,car1-chair3,dot,1546146.5,1445043.5,1,0
resnet50_random,oven6-chair3,oven6,chair3,oven6-bear2,car6-chair3,dot,1546146.5,1470688.125,1,0
