Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,car8-bicycle2,dot,3646028.0,3341008.25,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,car9-bicycle2,dot,3646028.0,3265655.0,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,car10-bicycle2,dot,3646028.0,3470610.75,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,dog2-bicycle2,dot,3646028.0,2745577.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,bear3-bicycle2,dot,3646028.0,3026813.0,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,bear7-bicycle2,dot,3646028.0,2659115.0,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,boat3-bicycle2,dot,3646028.0,3326843.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,boat6-bicycle2,dot,3646028.0,3613018.0,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,boat1-bicycle2,dot,3646028.0,3251160.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,oven4-bicycle2,dot,3646028.0,2923089.75,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,truck2-bicycle2,dot,3646028.0,3073379.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,bird4-bicycle2,dot,3646028.0,3403255.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,bird1-bicycle2,dot,3646028.0,3450485.25,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,airplane4-bicycle2,dot,3646028.0,3693935.25,0,1
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,keyboard3-bicycle2,dot,3646028.0,3635743.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,keyboard9-bicycle2,dot,3646028.0,3092345.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,clock3-bicycle2,dot,3646028.0,2819614.75,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,knife5-bicycle2,dot,3646028.0,3615776.25,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,elephant9-bicycle2,dot,3646028.0,2928903.25,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-boat3,elephant4-bicycle2,dot,3646028.0,3016930.75,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,car8-bicycle2,dot,3477969.25,3341008.25,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,car9-bicycle2,dot,3477969.25,3265655.0,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,car10-bicycle2,dot,3477969.25,3470610.75,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,dog2-bicycle2,dot,3477969.25,2745577.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,bear3-bicycle2,dot,3477969.25,3026813.0,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,bear7-bicycle2,dot,3477969.25,2659115.0,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,boat3-bicycle2,dot,3477969.25,3326843.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,boat6-bicycle2,dot,3477969.25,3613018.0,0,1
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,boat1-bicycle2,dot,3477969.25,3251160.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,oven4-bicycle2,dot,3477969.25,2923089.75,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,truck2-bicycle2,dot,3477969.25,3073379.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,bird4-bicycle2,dot,3477969.25,3403255.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,bird1-bicycle2,dot,3477969.25,3450485.25,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,airplane4-bicycle2,dot,3477969.25,3693935.25,0,1
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,keyboard3-bicycle2,dot,3477969.25,3635743.5,0,1
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,keyboard9-bicycle2,dot,3477969.25,3092345.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,clock3-bicycle2,dot,3477969.25,2819614.75,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,knife5-bicycle2,dot,3477969.25,3615776.25,0,1
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,elephant9-bicycle2,dot,3477969.25,2928903.25,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-bear3,elephant4-bicycle2,dot,3477969.25,3016930.75,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,car8-bicycle2,dot,3802960.25,3341008.25,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,car9-bicycle2,dot,3802960.25,3265655.0,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,car10-bicycle2,dot,3802960.25,3470610.75,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,dog2-bicycle2,dot,3802960.25,2745577.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,bear3-bicycle2,dot,3802960.25,3026813.0,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,bear7-bicycle2,dot,3802960.25,2659115.0,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,boat3-bicycle2,dot,3802960.25,3326843.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,boat6-bicycle2,dot,3802960.25,3613018.0,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,boat1-bicycle2,dot,3802960.25,3251160.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,oven4-bicycle2,dot,3802960.25,2923089.75,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,truck2-bicycle2,dot,3802960.25,3073379.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,bird4-bicycle2,dot,3802960.25,3403255.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,bird1-bicycle2,dot,3802960.25,3450485.25,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,airplane4-bicycle2,dot,3802960.25,3693935.25,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,keyboard3-bicycle2,dot,3802960.25,3635743.5,1,0
resnet50_random,airplane1-bicycle2,airplane1,bicycle2,airplane10-car3,keyboard9-bicycle2,dot,3802960.25,3092345.5,1,0
