Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,cat2-knife3,dot,3444497.0,2756005.75,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,car2-knife3,dot,3444497.0,2571289.5,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,dog3-knife3,dot,3444497.0,3305674.25,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,dog1-knife3,dot,3444497.0,2663601.25,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,dog2-knife3,dot,3444497.0,2231446.0,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,dog7-knife3,dot,3444497.0,3108085.25,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,bear8-knife3,dot,3444497.0,2856156.5,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,oven6-knife3,dot,3444497.0,2809923.5,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,oven9-knife3,dot,3444497.0,2423519.5,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,chair5-knife3,dot,3444497.0,3213069.0,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,truck5-knife3,dot,3444497.0,2763615.5,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,bird1-knife3,dot,3444497.0,3057749.25,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,bird3-knife3,dot,3444497.0,3109712.75,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,airplane9-knife3,dot,3444497.0,3407162.5,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,bicycle4-knife3,dot,3444497.0,3499393.0,0,1
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,bicycle9-knife3,dot,3444497.0,3623780.25,0,1
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,bicycle1-knife3,dot,3444497.0,3625131.25,0,1
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,bottle6-knife3,dot,3444497.0,3269016.75,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,bottle3-knife3,dot,3444497.0,3311019.0,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,bottle2-knife3,dot,3444497.0,3279427.75,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,clock10-knife3,dot,3444497.0,3259775.0,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-boat3,elephant10-knife3,dot,3444497.0,2402595.0,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-bear3,cat2-knife3,dot,3285854.0,2756005.75,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-bear3,car2-knife3,dot,3285854.0,2571289.5,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-bear3,dog3-knife3,dot,3285854.0,3305674.25,0,1
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-bear3,dog1-knife3,dot,3285854.0,2663601.25,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-bear3,dog2-knife3,dot,3285854.0,2231446.0,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-bear3,dog7-knife3,dot,3285854.0,3108085.25,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-bear3,bear8-knife3,dot,3285854.0,2856156.5,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-bear3,oven6-knife3,dot,3285854.0,2809923.5,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-bear3,oven9-knife3,dot,3285854.0,2423519.5,1,0
resnet50_random,airplane10-knife3,airplane10,knife3,airplane10-bear3,chair5-knife3,dot,3285854.0,3213069.0,1,0
