Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,cat4-truck3,dot,2972297.25,2996884.0,0,1
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,cat3-truck3,dot,2972297.25,2702635.0,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,cat2-truck3,dot,2972297.25,2586433.5,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,car6-truck3,dot,2972297.25,2279880.0,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,car9-truck3,dot,2972297.25,2688459.0,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,car5-truck3,dot,2972297.25,2667034.0,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,car8-truck3,dot,2972297.25,2806567.5,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,bear4-truck3,dot,2972297.25,2935151.5,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,bear3-truck3,dot,2972297.25,2691795.75,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,boat1-truck3,dot,2972297.25,2605991.0,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,boat6-truck3,dot,2972297.25,3012911.5,0,1
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,oven2-truck3,dot,2972297.25,2185826.5,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,oven4-truck3,dot,2972297.25,2398352.0,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,chair5-truck3,dot,2972297.25,2940603.0,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,chair7-truck3,dot,2972297.25,2845908.5,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,chair1-truck3,dot,2972297.25,2878204.0,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,bird3-truck3,dot,2972297.25,2871853.75,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,airplane8-truck3,dot,2972297.25,3010958.75,0,1
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,bicycle3-truck3,dot,2972297.25,3082726.5,0,1
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,bicycle4-truck3,dot,2972297.25,3197726.75,0,1
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,bicycle7-truck3,dot,2972297.25,3169720.25,0,1
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,bottle10-truck3,dot,2972297.25,2973806.5,0,1
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,keyboard9-truck3,dot,2972297.25,2520174.0,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,keyboard4-truck3,dot,2972297.25,2452115.0,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,keyboard8-truck3,dot,2972297.25,2472238.5,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,clock7-truck3,dot,2972297.25,2105483.5,1,0
resnet50_random,bear8-truck3,bear8,truck3,bear8-bottle1,clock1-truck3,dot,2972297.25,2271044.5,1,0
