Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-truck3,cat10-keyboard1,dot,3377888.5,2674152.5,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-truck3,dog3-keyboard1,dot,3377888.5,3112679.5,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-truck3,boat2-keyboard1,dot,3377888.5,2950182.5,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-truck3,oven9-keyboard1,dot,3377888.5,2401308.5,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-truck3,oven7-keyboard1,dot,3377888.5,2348123.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-truck3,truck5-keyboard1,dot,3377888.5,2576030.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-truck3,truck2-keyboard1,dot,3377888.5,2527971.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-truck3,bird9-keyboard1,dot,3377888.5,3161669.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-truck3,airplane7-keyboard1,dot,3377888.5,3091899.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-truck3,bottle9-keyboard1,dot,3377888.5,3008808.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-truck3,clock8-keyboard1,dot,3377888.5,2464119.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-truck3,clock5-keyboard1,dot,3377888.5,2264836.5,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-truck3,knife4-keyboard1,dot,3377888.5,2956015.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-truck3,elephant10-keyboard1,dot,3377888.5,2307560.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-bird1,cat10-keyboard1,dot,2773203.75,2674152.5,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-bird1,dog3-keyboard1,dot,2773203.75,3112679.5,0,1
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-bird1,boat2-keyboard1,dot,2773203.75,2950182.5,0,1
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-bird1,oven9-keyboard1,dot,2773203.75,2401308.5,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-bird1,oven7-keyboard1,dot,2773203.75,2348123.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-bird1,truck5-keyboard1,dot,2773203.75,2576030.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-bird1,truck2-keyboard1,dot,2773203.75,2527971.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-bird1,bird9-keyboard1,dot,2773203.75,3161669.0,0,1
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-bird1,airplane7-keyboard1,dot,2773203.75,3091899.0,0,1
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-bird1,bottle9-keyboard1,dot,2773203.75,3008808.0,0,1
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-bird1,clock8-keyboard1,dot,2773203.75,2464119.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-bird1,clock5-keyboard1,dot,2773203.75,2264836.5,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-bird1,knife4-keyboard1,dot,2773203.75,2956015.0,0,1
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-bird1,elephant10-keyboard1,dot,2773203.75,2307560.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-elephant2,cat10-keyboard1,dot,3028052.75,2674152.5,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-elephant2,dog3-keyboard1,dot,3028052.75,3112679.5,0,1
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-elephant2,boat2-keyboard1,dot,3028052.75,2950182.5,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-elephant2,oven9-keyboard1,dot,3028052.75,2401308.5,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-elephant2,oven7-keyboard1,dot,3028052.75,2348123.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-elephant2,truck5-keyboard1,dot,3028052.75,2576030.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-elephant2,truck2-keyboard1,dot,3028052.75,2527971.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-elephant2,bird9-keyboard1,dot,3028052.75,3161669.0,0,1
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-elephant2,airplane7-keyboard1,dot,3028052.75,3091899.0,0,1
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-elephant2,bottle9-keyboard1,dot,3028052.75,3008808.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-elephant2,clock8-keyboard1,dot,3028052.75,2464119.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-elephant2,clock5-keyboard1,dot,3028052.75,2264836.5,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-elephant2,knife4-keyboard1,dot,3028052.75,2956015.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-elephant2,elephant10-keyboard1,dot,3028052.75,2307560.0,1,0
resnet50_random,bicycle3-keyboard1,bicycle3,keyboard1,bicycle3-oven3,cat10-keyboard1,dot,3260355.75,2674152.5,1,0
