Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,cat7-airplane2,dot,3476848.0,2957867.5,1,0
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,cat5-airplane2,dot,3476848.0,2906545.25,1,0
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,car7-airplane2,dot,3476848.0,3504815.75,0,1
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,dog2-airplane2,dot,3476848.0,2799467.5,1,0
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,boat9-airplane2,dot,3476848.0,3402520.75,1,0
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,boat3-airplane2,dot,3476848.0,3356159.25,1,0
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,boat6-airplane2,dot,3476848.0,3624535.5,0,1
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,oven9-airplane2,dot,3476848.0,2944865.5,1,0
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,oven10-airplane2,dot,3476848.0,3030769.75,1,0
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,chair3-airplane2,dot,3476848.0,3525336.0,0,1
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,chair10-airplane2,dot,3476848.0,3464105.5,1,0
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,chair1-airplane2,dot,3476848.0,3352980.75,1,0
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,truck9-airplane2,dot,3476848.0,3143133.75,1,0
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,truck5-airplane2,dot,3476848.0,3201055.0,1,0
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,bird1-airplane2,dot,3476848.0,3352652.0,1,0
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,bicycle9-airplane2,dot,3476848.0,3969632.0,0,1
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,bicycle1-airplane2,dot,3476848.0,3959160.75,0,1
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,bicycle6-airplane2,dot,3476848.0,3821976.75,0,1
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,bicycle10-airplane2,dot,3476848.0,3810559.75,0,1
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,bottle3-airplane2,dot,3476848.0,3397469.0,1,0
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,keyboard1-airplane2,dot,3476848.0,3506161.5,0,1
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,keyboard8-airplane2,dot,3476848.0,2934816.25,1,0
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,clock8-airplane2,dot,3476848.0,2867945.5,1,0
resnet50_random,bird6-airplane2,bird6,airplane2,bird6-truck2,knife9-airplane2,dot,3476848.0,3467521.0,1,0
